#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403638127295097088.000000,0.000000,0.000000,26.473393,2.630625,0.004064,11.489810,2.800996,0.002880,33.673452
1403638127345096960.000000,0.000000,0.000000,19.317622,2.686786,0.082818,2.329374,3.132967,0.001440,25.936361
1403638127395097088.000000,0.000000,0.000000,18.759695,5.106369,0.075777,2.234684,2.650626,0.000992,27.896002
1403638127445096960.000000,0.000000,0.000000,21.207918,4.407224,0.083841,2.447775,2.832324,0.000960,29.486999
1403638127495097088.000000,0.000000,0.000000,21.311599,6.118574,0.106177,2.511264,2.631682,0.528423,31.501617
1403638127545096960.000000,0.000000,0.000000,20.106400,6.559571,0.126913,3.194312,3.152488,0.001152,31.207405
1403638127595097088.000000,0.000000,0.000000,19.175987,6.419441,0.121761,2.734563,2.915877,0.000992,29.749466
1403638127645096960.000000,0.000000,0.000000,20.112256,6.491026,0.120161,2.500640,3.394891,0.000928,30.815655
1403638127695097088.000000,0.000000,0.000000,19.051794,6.527602,0.125217,2.421919,3.423083,0.000896,29.743258
1403638127745096960.000000,0.000000,0.000000,19.007314,6.508818,0.146146,2.453663,3.338794,0.845866,29.922013
1403638127795097088.000000,0.000000,0.000000,21.715636,6.152591,0.124066,5.810282,4.556857,0.000896,32.241818
1403638127845096960.000000,0.000000,0.000000,19.135796,6.470674,0.127329,3.935506,4.718780,0.001088,29.923228
1403638127895097088.000000,0.000000,0.000000,20.330339,6.403345,0.136066,3.880081,4.592026,0.000992,31.121387
1403638127945096960.000000,0.000000,0.000000,18.413130,6.319504,0.125473,3.588686,4.735132,0.001056,28.914255
1403638127995097088.000000,0.000000,0.000000,19.156083,6.665557,0.121057,3.353835,4.461721,0.661000,30.211040
1403638128045096960.000000,0.000000,0.000000,18.242760,6.660245,0.122882,4.788989,4.741916,0.000928,29.606808
1403638128095097088.000000,0.000000,0.000000,19.013521,6.479666,0.121825,4.680316,5.964044,0.001440,30.114558
1403638128145096960.000000,0.000000,0.000000,19.546648,6.847063,0.123777,4.193045,5.019328,0.000992,30.728263
1403638128195097088.000000,0.000000,0.000000,19.145587,6.404529,0.121985,3.910642,5.289251,0.001248,29.944316
1403638128245096960.000000,0.000000,0.000000,18.905264,6.326385,0.122562,3.198985,5.028864,0.808874,29.549912
1403638128295097088.000000,0.000000,0.000000,21.028363,6.511475,0.119457,6.271728,5.786346,0.001376,31.985782
1403638128345096960.000000,0.000000,0.000000,24.176531,6.645173,0.127873,4.658203,5.229986,0.001312,35.012541
1403638128395097088.000000,0.000000,0.000000,20.059359,6.487763,0.128226,4.605882,5.933580,0.001056,30.961993
1403638128445096960.000000,0.000000,0.000000,20.882506,6.995481,0.127106,3.655183,5.818154,0.000864,32.282266
1403638128495097088.000000,0.000000,0.000000,19.072882,6.356785,0.123841,4.345943,5.680520,0.888523,30.230016
1403638128545096960.000000,0.000000,0.000000,19.220501,6.209007,0.127874,6.959960,7.754627,0.001184,30.015581
1403638128595097088.000000,0.000000,0.000000,19.632825,6.409234,0.126082,6.172655,7.775395,0.001152,30.252128
1403638128645096960.000000,0.000000,0.000000,19.358006,6.635220,0.128354,4.460792,5.576711,0.001024,30.350914
1403638128695097088.000000,0.000000,0.000000,19.205844,6.287855,0.127202,4.535450,6.523923,0.001248,29.980573
1403638128745096960.000000,0.000000,0.000000,19.671578,6.426097,0.123170,4.277271,6.635572,0.761418,30.638437
1403638128795097088.000000,0.000000,0.000000,19.609370,6.687125,0.133665,7.809251,8.700175,0.001248,30.695942
1403638128845096960.000000,0.000000,0.000000,20.580838,6.337616,0.130018,6.796694,7.550783,0.001248,31.338127
1403638128895097088.000000,0.000000,0.000000,20.236353,6.471218,0.130082,7.340349,8.093255,0.001152,32.346747
1403638128945096960.000000,0.000000,0.000000,20.053663,6.286352,0.135905,5.683592,6.291376,0.000800,45.275583
1403638128995097088.000000,0.000000,0.000000,19.823804,6.422610,0.100257,6.075533,7.867076,0.642824,36.437135
1403638129045096960.000000,0.000000,0.000000,19.093299,6.515059,0.127458,9.003923,9.172084,0.001024,34.887836
1403638129095097088.000000,0.000000,0.000000,18.900752,6.437394,0.138562,5.381956,7.181564,0.000864,35.129854
1403638129145096960.000000,0.000000,0.000000,20.339714,6.731094,0.101761,6.121774,8.854672,0.000832,37.147480
1403638129195097088.000000,0.000000,0.000000,20.270913,7.383966,0.137570,5.469894,7.176859,0.001120,38.611851
1403638129245096960.000000,0.000000,0.000000,20.918634,8.179944,0.133666,4.983552,7.885444,0.618888,39.120817
1403638129295097088.000000,0.000000,0.000000,21.748020,9.254774,0.101537,6.785974,8.226473,0.000992,42.658366
1403638129345096960.000000,0.000000,0.000000,18.191527,9.291862,0.102785,4.926046,6.644821,0.000928,37.865314
1403638129395097088.000000,0.000000,0.000000,18.634541,11.597299,0.098561,4.725308,6.936664,0.000928,41.291693
