#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.014976,3,1,0,480
0.004512,4,1,0,647
0.152834,5,1,0,833
0.454629,6,1,0,1284
0.541766,7,1,0,1739
0.608999,8,1,0,2267
0.445509,9,1,0,2673
0.896970,10,1,0,3045
0.811625,0,0,0,0
73.465655,0,0,0,0
1.134029,0,0,0,0
0.872555,0,0,0,0
1.301647,0,0,0,0
1.455569,0,0,0,0
1.583731,0,0,0,0
1.719988,0,0,0,0
2.108376,0,0,0,0
2.171994,0,0,0,0
2.169625,0,0,0,0
2.567358,0,0,0,0
2.763072,0,0,0,0
4.160208,0,0,0,0
3.868941,0,0,0,0
4.545269,0,0,0,0
4.253650,0,0,0,0
4.237585,0,0,0,0
3.893229,0,0,0,0
4.255441,0,0,0,0
3.922157,0,0,0,0
4.414484,0,0,0,0
2.937058,0,0,0,0
3.577609,0,0,0,0
5.011418,0,0,0,0
3.858253,0,0,0,0
5.469568,0,0,0,0
4.105296,0,0,0,0
5.869189,0,0,0,0
5.225981,0,0,0,0
6.506604,0,0,0,0
3.885389,0,0,0,0
5.194076,3,1,0,500
5.227901,4,1,0,642
0.005216,5,1,0,784
0.004928,6,1,0,922
0.290883,7,1,0,1063
0.447205,8,1,0,1220
0.749289,9,1,0,1377
0.802570,10,1,0,1482
0.879786,0,0,0,0
0.958795,3,1,0,510
1.175341,4,1,0,679
58.206215,5,1,0,814
1.037388,6,1,0,976
0.005696,7,1,0,1109
0.004960,8,1,0,1213
0.337636,9,1,0,1370
0.655688,10,1,0,1489
0.699016,0,0,0,0
0.818986,3,1,0,763
0.917259,4,1,0,1172
0.999723,5,1,0,1457
1.128397,6,1,0,2089
60.662563,7,1,0,2818
1.170477,8,1,0,3213
0.005312,9,1,0,3794
0.004736,10,1,0,4499
0.370405,0,0,0,0
0.920266,0,0,0,0
1.024204,0,0,0,0
1.333904,0,0,0,0
1.231919,0,0,0,0
1.355151,0,0,0,0
1.479186,0,0,0,0
103.287958,0,0,0,0
1.436848,0,0,0,0
1.685204,0,0,0,0
1.886710,0,0,0,0
2.151961,0,0,0,0
2.099161,0,0,0,0
2.577374,0,0,0,0
2.790497,0,0,0,0
3.083748,0,0,0,0
3.413896,0,0,0,0
3.530953,0,0,0,0
3.880941,0,0,0,0
5.045627,0,0,0,0
5.050043,0,0,0,0
5.097340,0,0,0,0
4.858905,0,0,0,0
3.849933,0,0,0,0
4.164049,0,0,0,0
5.470400,0,0,0,0
9.091114,0,0,0,0
3.349351,0,0,0,0
3.224326,0,0,0,0
2.762528,0,0,0,0
3.335943,0,0,0,0
2.941283,0,0,0,0
3.358280,0,0,0,0
3.721835,0,0,0,0
6.216297,0,0,0,0
5.243165,0,0,0,0
5.409983,0,0,0,0
6.411659,0,0,0,0
7.322325,0,0,0,0
6.648846,0,0,0,0
7.012018,0,0,0,0
6.829744,0,0,0,0
9.502703,0,0,0,0
4.469621,0,0,0,0
5.579905,0,0,0,0
5.943334,0,0,0,0
5.762692,0,0,0,0
5.876325,0,0,0,0
6.796559,0,0,0,0
6.732014,0,0,0,0
4.157744,0,0,0,0
5.517376,0,0,0,0
7.214420,0,0,0,0
5.322398,0,0,0,0
5.546305,0,0,0,0
5.345919,0,0,0,0
9.814130,0,0,0,0
8.473315,0,0,0,0
5.791524,0,0,0,0
8.085855,0,0,0,0
5.762724,0,0,0,0
9.420910,0,0,0,0
8.062303,0,0,0,0
8.282561,0,0,0,0
9.600145,0,0,0,0
12.616116,0,0,0,0
7.696762,0,0,0,0
11.086850,0,0,0,0
8.109375,0,0,0,0
