#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.121103,0.035232,0.397029,0.015969,0.015969,9.581493
9.448403,0.133826,1.455698,0.005088,0.005088,11.047303
10.015130,0.281923,6.210700,0.072609,0.072609,32.250377
9.466259,0.306244,13.584293,0.468902,0.468902,49.403802
8.460231,0.333252,10.171836,0.732361,0.732361,60.740836
10.020986,0.288932,13.867081,0.878187,0.878187,61.111593
12.395639,0.408485,24.637324,1.175887,1.175887,88.288212
12.340726,0.389541,20.955935,1.184494,1.184494,84.938858
11.717999,0.312163,22.247919,1.554547,1.554547,90.088521
14.197901,0.257379,30.576468,73.166491,73.166491,177.967575
15.121176,0.310692,32.444427,0.810825,0.810825,91.244503
14.472688,0.322596,22.298640,1.096365,1.096365,83.604314
15.181305,0.358692,31.410399,1.315569,1.315569,100.544905
17.535381,0.437989,41.880991,1.549906,1.549906,126.599526
19.062120,0.352452,37.457000,1.542259,1.542259,135.681236
19.410508,0.253699,40.306475,1.885943,1.885943,138.076658
14.440528,0.365124,35.497809,1.788950,1.788950,131.751973
14.064811,0.222979,28.771454,2.084601,2.084601,121.948589
16.660459,0.265827,32.739823,2.271228,2.271228,152.073180
19.667664,0.337604,46.077745,2.470046,2.470046,181.291040
21.528774,0.295364,59.939386,2.546623,2.546623,182.668689
19.097608,0.329220,42.407205,3.824911,3.824911,189.087391
19.946931,0.321956,45.177414,3.732621,3.732621,184.787147
20.626972,0.361668,46.480790,3.765453,3.765453,198.683668
11.285674,0.308803,30.314226,3.333448,3.333448,134.870475
11.803312,0.213410,30.262609,3.388297,3.388297,321.057447
11.146984,0.308100,25.779290,3.905359,3.905359,128.739264
14.275374,0.247747,33.095507,3.406601,3.406601,163.897740
21.843178,0.424197,49.007477,3.361129,3.361129,182.909524
22.165838,0.364100,49.113367,3.939728,3.939728,189.794984
21.189378,0.371013,47.431041,4.218195,4.218195,166.750127
23.505150,0.422885,69.118058,3.691341,3.691341,202.054045
23.836706,0.390789,58.530633,3.001061,3.001061,188.228693
22.367953,0.382500,47.487651,3.142054,3.142054,187.905425
15.533406,0.369764,36.236794,3.886480,3.886480,161.079275
11.423787,0.164130,28.102774,5.605924,5.605924,152.781253
9.349746,0.199203,21.706984,2.854755,2.854755,137.025030
19.141417,0.293412,41.144309,5.300673,5.300673,185.991706
17.155057,0.278211,50.418278,3.918960,3.918960,187.599213
15.375163,0.229667,40.105865,2.924324,2.924324,157.511071
16.528681,0.257731,47.381666,4.125715,4.125715,185.699799
12.929949,0.187619,35.985046,4.035953,4.035953,158.243816
9.708023,0.044256,0.514150,0.005408,0.005408,10.276190
0.944523,0.122946,1.605747,0.004672,0.004672,2.681760
10.038107,0.259235,2.703425,0.372133,0.372133,31.125404
10.569953,0.372068,4.496247,0.691305,0.691305,39.122397
10.999462,0.340516,15.024279,1.080813,1.080813,58.188421
11.613134,0.400677,16.237990,1.124557,1.124557,67.272756
12.354327,0.403909,22.537682,1.306192,1.306192,81.940519
13.375427,0.449285,28.529692,1.494258,1.494258,96.777563
12.805180,0.503206,36.265274,1.482962,1.482962,107.393053
13.793993,0.507750,37.973519,64.242479,64.242479,178.617922
13.707015,0.501318,41.256759,1.271632,1.271632,109.913340
14.228557,0.508486,40.625392,1.399217,1.399217,119.864085
13.597862,0.574983,42.821674,1.625587,1.625587,134.730443
10.197564,0.228579,2.236059,0.005568,0.005568,12.672474
11.314986,0.457829,6.902709,0.004960,0.004960,18.684452
11.034791,1.190222,11.228905,0.696745,0.696745,62.392921
11.557389,0.727721,16.281126,1.130606,1.130606,73.696451
11.154728,0.450309,19.756209,1.582708,1.582708,83.482298
9.820376,0.495974,23.174267,1.540978,1.540978,89.060062
13.925162,0.563143,27.264588,1.637012,1.637012,109.661401
14.225134,0.590183,31.202204,1.252079,1.252079,112.505884
13.598405,0.607144,34.676679,1.414449,1.414449,120.976579
13.774184,0.531366,37.339976,73.421088,73.421088,195.958262
12.479384,0.515110,39.699205,1.696373,1.696373,113.773452
15.076184,0.495142,41.663548,1.890391,1.890391,125.106613
15.900546,0.465765,42.983308,2.023001,2.023001,133.493180
17.020336,0.440005,46.006577,2.136346,2.136346,147.264708
17.505749,0.416357,46.899132,2.302557,2.302557,149.123323
17.775225,0.396517,47.429666,2.528447,2.528447,155.585994
17.994492,0.428037,49.018646,2.732257,2.732257,263.663184
12.445048,0.333188,30.921721,2.894179,2.894179,133.573949
17.807961,0.424677,51.761879,3.147366,3.147366,190.262768
18.332991,0.464294,54.599962,3.291496,3.291496,200.430028
18.563203,0.461797,54.600826,3.471403,3.471403,188.599485
18.783429,0.449926,54.961310,3.163527,3.163527,196.443324
19.002056,0.454053,56.327439,3.193191,3.193191,203.247919
19.297451,0.486630,57.165626,4.063890,4.063890,236.016383
19.321867,0.415461,43.714134,4.207924,4.207924,197.839469
19.211274,0.424933,56.079980,4.305557,4.305557,219.303635
18.644260,0.456357,53.689103,4.501399,4.501399,220.164734
18.486754,0.493318,54.089620,4.867740,4.867740,261.380917
18.733541,0.548871,47.507619,6.205708,6.205708,222.773022
19.365484,0.585447,55.539750,4.960924,4.960924,233.661378
19.843378,0.578759,47.453699,6.162027,6.162027,223.820586
19.640624,0.629800,49.199032,5.548868,5.548868,223.435046
20.132853,0.663176,53.776400,5.804838,5.804838,232.527540
19.636592,0.657832,53.416011,8.324965,8.324965,275.279678
20.183990,0.675624,51.821880,7.549756,7.549756,234.293642
20.774397,0.615560,46.690329,6.448782,6.448782,223.589127
17.120624,0.639720,53.141225,7.133751,7.133751,230.187096
21.303524,0.595495,54.366839,7.105687,7.105687,237.976951
21.447526,0.560199,45.775694,10.374590,10.374590,229.515472
22.474226,0.571463,54.133141,9.433395,9.433395,252.314502
22.493043,0.603399,53.138760,12.587321,12.587321,253.932602
23.136091,0.534918,54.622363,8.392647,8.392647,239.834543
24.033637,0.489190,54.279190,8.483463,8.483463,239.191430
24.496011,0.492902,54.200501,9.102255,9.102255,253.085936
24.735950,0.470374,53.680655,13.268738,13.268738,244.505480
24.276104,0.489926,52.413088,9.533076,9.533076,254.850085
20.666877,0.465893,52.602786,9.488820,9.488820,276.979380
23.353053,0.580423,59.116946,9.666326,9.666326,251.753152
24.215400,0.580839,53.513933,10.072379,10.072379,242.510479
24.052325,0.538631,43.681781,10.257469,10.257469,229.970422
24.733293,0.498695,46.843035,14.619314,14.619314,235.648219
24.010213,0.499174,53.302506,13.793096,13.793096,242.216331
21.719209,0.397349,43.758518,13.122784,13.122784,225.860292
22.472402,0.497734,51.984922,12.972479,12.972479,235.679164
21.677865,0.530502,56.287695,11.812176,11.812176,261.795163
14.673171,0.396165,35.069068,10.860804,10.860804,604.425264
8.407303,0.400837,24.551403,10.016730,10.016730,177.299508
15.413180,0.733065,51.497589,10.648354,10.648354,222.741663
15.165753,0.917035,53.218762,12.957566,12.957566,221.470415
14.273518,0.783338,52.326239,12.173940,12.173940,217.076057
12.139156,0.907435,52.716803,8.202789,8.202789,160.584744
12.298550,1.047469,54.226390,8.544360,8.544360,160.275300
12.579290,0.942571,50.419496,9.698582,9.698582,208.213933
11.648238,1.106350,49.976226,7.515323,7.515323,202.875372
11.295722,0.936235,50.179205,6.558192,6.558192,197.173223
11.884401,0.963724,50.843788,7.152407,7.152407,197.722509
12.236790,0.752713,54.876990,7.617437,7.617437,209.281051
12.829692,0.743017,52.601090,6.821619,6.821619,207.470884
11.752016,0.722121,51.493108,6.154123,6.154123,202.673034
12.846781,0.846827,48.623377,5.761222,5.761222,201.609373
13.334115,0.785929,50.640011,5.554563,5.554563,209.658047
13.480549,0.736201,48.636946,6.099114,6.099114,207.265634
14.045579,0.757482,50.052227,3.997009,3.997009,214.797214
14.460337,0.791465,49.164952,5.807463,5.807463,215.215235
11.206793,0.847531,47.504867,3.334441,3.334441,142.302634
11.186856,0.899275,48.814580,3.268903,3.268903,139.142243
10.965861,0.820010,52.446689,4.351381,4.351381,140.048013
11.598542,0.679912,53.309995,4.429718,4.429718,138.064342
11.240777,0.673928,53.901746,3.692493,3.692493,138.366265
11.225129,0.655752,49.438747,2.885443,2.885443,129.293514
12.019987,0.596935,51.030575,4.215475,4.215475,135.767097
11.797904,0.579047,50.774764,6.294189,6.294189,190.752121
11.931409,0.663688,48.971894,3.991921,3.991921,186.345635
11.498316,0.778410,50.302342,2.432958,2.432958,118.365253
13.532997,0.878347,46.158868,3.730989,3.730989,139.100322
9.990074,0.662504,43.013261,3.293768,3.293768,121.781903
11.064200,0.678120,41.964352,2.454654,2.454654,127.514261
10.341534,0.860811,41.403033,3.169958,3.169958,108.976402
10.412704,1.157326,41.021269,1.930328,1.930328,112.156250
10.370527,1.293904,39.450753,3.356585,3.356585,111.846870
11.589197,1.400593,42.481255,3.061957,3.061957,114.616535
11.660110,1.280880,44.849604,3.505995,3.505995,115.479874
11.662927,1.359120,45.868080,3.459626,3.459626,118.653449
11.940946,1.380497,46.525624,3.273864,3.273864,119.736887
11.931666,1.403761,49.184185,2.682881,2.682881,123.335075
12.128404,1.381521,50.748940,3.936624,3.936624,123.411459
12.241237,1.405105,52.031356,3.996784,3.996784,129.859250
11.922098,1.454161,51.340019,4.253300,4.253300,128.883590
11.424779,1.358673,50.615658,3.877168,3.877168,125.753952
10.854628,1.355985,48.725875,2.107706,2.107706,130.661947
10.726275,1.653588,48.465456,1.599540,1.599540,131.366884
10.954086,1.704725,45.124999,1.784566,1.784566,122.310198
10.849220,1.710837,43.347217,2.297116,2.297116,122.103379
10.720227,1.902967,44.049882,2.276060,2.276060,120.452639
10.719075,1.807190,43.562132,2.243291,2.243291,119.374833
10.701538,1.767094,43.801335,1.761526,1.761526,126.778412
10.860613,1.847062,41.358138,1.760406,1.760406,120.096955
10.899397,1.871927,42.633065,1.812342,1.812342,120.284413
10.604545,1.894551,42.181700,1.971192,1.971192,116.273996
8.129827,1.756950,44.193979,1.719029,1.719029,114.531735
10.803908,1.673909,45.883120,2.084921,2.084921,115.016829
11.121160,1.638580,46.615737,2.213084,2.213084,118.677162
11.286089,1.671317,48.458928,1.539187,1.539187,122.925373
11.536717,1.612948,50.835341,1.849559,1.849559,125.153369
11.386955,1.531219,51.093904,1.943512,1.943512,123.942314
11.343371,1.409841,57.391901,1.303792,1.303792,131.172770
11.458124,1.392145,53.499022,1.056461,1.056461,126.225350
11.253545,1.334576,54.251159,1.115629,1.115629,133.245275
11.379019,1.378352,53.337484,1.027949,1.027949,132.221167
11.787568,1.501747,49.880065,2.371421,2.371421,137.538864
12.399415,1.551059,46.897949,1.540307,1.540307,136.822855
12.612602,1.615060,48.027851,1.576915,1.576915,137.618801
12.894686,1.712789,48.302478,2.636544,2.636544,143.840893
13.226530,1.656884,49.738975,1.764214,1.764214,144.379332
13.306562,1.895672,33.817917,1.614484,1.614484,123.213921
13.518789,1.832310,53.515438,3.899791,3.899791,148.358132
12.116788,1.548659,43.687541,1.687381,1.687381,133.583936
13.775401,1.643060,46.030162,1.833751,1.833751,133.648033
10.879301,1.279824,41.098262,1.857335,1.857335,131.204419
12.546489,1.363409,44.958245,2.707713,2.707713,131.155778
13.807017,1.427313,47.663142,1.996056,1.996056,136.390050
14.539601,1.399057,50.374472,1.531123,1.531123,133.398493
14.608946,1.289104,58.089190,2.712001,2.712001,156.770235
9.338290,0.900523,38.182771,1.466642,1.466642,120.791748
14.449073,1.018732,53.977171,2.792098,2.792098,145.377840
13.558469,1.074157,55.943340,1.889367,1.889367,153.115726
8.628521,0.631720,37.366952,2.083385,2.083385,109.054516
7.636733,0.554311,33.130773,3.082694,3.082694,102.050047
7.303033,0.498150,33.383608,2.937188,2.937188,110.288003
7.498300,0.474342,36.312123,2.753601,2.753601,125.318747
11.186761,0.630695,49.112472,3.347753,3.347753,133.079322
