#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403715273262142976.000000,0.000000,0.000000,25.130523,5.010143,0.004224,15.119133,10.952746,0.002976,33.324289
1403715273312143104.000000,0.000000,0.000000,23.387076,5.095264,0.076800,8.152742,10.441923,0.001120,32.380629
1403715273362142976.000000,0.000000,0.000000,21.511533,7.709280,0.072481,6.994008,10.126398,1.424210,33.150495
1403715273412143104.000000,0.000000,0.000000,23.938251,10.262817,0.083841,10.941897,14.653207,0.001952,38.253855
1403715273462142976.000000,0.000000,0.000000,20.522913,11.071754,0.113602,7.921347,16.476302,1.462450,36.055843
1403715273512143104.000000,0.000000,0.000000,21.826545,12.181848,0.125090,11.533200,16.860243,1.312720,38.120861
1403715273562142976.000000,0.000000,0.000000,21.116648,12.147448,0.117089,16.147786,17.729086,0.002208,37.600534
1403715273612143104.000000,0.000000,0.000000,21.023687,12.103031,0.128801,11.610001,18.847468,1.151470,37.270898
1403715273662142976.000000,0.000000,0.000000,21.334475,12.131000,0.117730,11.464047,13.921454,0.001664,37.573782
1403715273712143104.000000,0.000000,0.000000,21.274986,12.530685,0.128705,8.438506,12.316858,0.000992,38.008220
1403715273762142976.000000,0.000000,0.000000,19.681143,12.291770,0.127778,7.766561,11.027882,0.000864,36.436648
1403715273812143104.000000,0.000000,0.000000,21.474829,12.013462,0.125537,6.499217,10.122175,0.000832,37.865722
1403715273862142976.000000,0.000000,0.000000,21.373227,12.459963,0.122978,6.524977,10.742919,0.000992,37.993691
1403715273912143104.000000,0.000000,0.000000,20.277757,12.371226,0.121345,11.219884,16.326732,1.079725,37.084368
1403715273962142976.000000,0.000000,0.000000,21.469453,12.140792,0.129090,12.537341,15.621764,0.001280,38.219550
1403715274012143104.000000,0.000000,0.000000,20.309502,12.270458,0.117505,8.231719,12.656702,0.001280,36.792236
1403715274062142976.000000,0.000000,0.000000,21.634287,12.265913,0.123586,6.729460,13.280678,0.876779,38.217790
1403715274112143104.000000,0.000000,0.000000,21.951795,12.361403,0.118593,7.739073,12.249881,0.001504,38.510722
1403715274162142976.000000,0.000000,0.000000,20.423168,12.164376,0.128481,6.777461,12.407579,0.001728,36.782924
