#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.014561,3,1,0,1959
0.005632,4,1,0,2378
0.338885,5,1,0,2910
1.236591,6,1,0,3318
1.628468,7,1,0,3976
1.563444,8,1,0,4429
2.295645,9,1,0,4794
2.205180,10,1,0,5485
2.496543,0,0,0,0
107.536995,0,0,0,0
3.224329,0,0,0,0
4.021106,0,0,0,0
3.887728,0,0,0,0
4.285142,0,0,0,0
4.881502,0,0,0,0
5.014398,0,0,0,0
6.192941,0,0,0,0
5.487397,0,0,0,0
6.331088,0,0,0,0
6.416241,0,0,0,0
7.271835,0,0,0,0
7.699744,0,0,0,0
8.412969,0,0,0,0
7.314395,0,0,0,0
7.745697,0,0,0,0
8.953456,0,0,0,0
8.981360,0,0,0,0
9.004529,0,0,0,0
8.042725,0,0,0,0
7.185306,0,0,0,0
7.641088,0,0,0,0
8.592076,0,0,0,0
8.952816,0,0,0,0
8.802766,0,0,0,0
7.730656,0,0,0,0
11.721907,0,0,0,0
8.913359,0,0,0,0
9.053682,0,0,0,0
10.077310,0,0,0,0
13.134501,0,0,0,0
14.802618,0,0,0,0
11.339182,0,0,0,0
12.088151,0,0,0,0
12.757472,0,0,0,0
12.389436,0,0,0,0
12.291706,0,0,0,0
11.397262,0,0,0,0
10.937001,0,0,0,0
12.944770,0,0,0,0
13.466761,0,0,0,0
13.329863,0,0,0,0
13.752269,0,0,0,0
14.210642,0,0,0,0
13.269062,0,0,0,0
16.181195,0,0,0,0
12.506716,0,0,0,0
13.630763,0,0,0,0
15.313760,0,0,0,0
18.167395,0,0,0,0
14.465717,0,0,0,0
15.370720,0,0,0,0
13.774861,0,0,0,0
11.031914,0,0,0,0
12.091192,0,0,0,0
10.626949,0,0,0,0
14.858874,0,0,0,0
10.554853,0,0,0,0
10.141535,0,0,0,0
10.589573,0,0,0,0
10.232992,0,0,0,0
8.625548,0,0,0,0
11.141260,0,0,0,0
11.796275,0,0,0,0
7.490814,0,0,0,0
8.158822,0,0,0,0
12.142680,0,0,0,0
8.383242,0,0,0,0
8.730061,0,0,0,0
8.288904,0,0,0,0
7.902499,0,0,0,0
5.377732,0,0,0,0
6.342672,0,0,0,0
5.602439,0,0,0,0
5.700519,0,0,0,0
4.801564,0,0,0,0
4.221909,0,0,0,0
4.361846,0,0,0,0
4.299830,0,0,0,0
5.378052,0,0,0,0
4.839933,0,0,0,0
3.529772,0,0,0,0
3.081190,0,0,0,0
0.994893,0,0,0,0
3.057894,0,0,0,0
1.984504,0,0,0,0
1.997241,0,0,0,0
1.875319,0,0,0,0
1.017996,0,0,0,0
1.514963,0,0,0,0
1.699733,0,0,0,0
1.177135,0,0,0,0
1.166959,0,0,0,0
1.224240,0,0,0,0
1.178575,0,0,0,0
1.330224,0,0,0,0
1.311408,0,0,0,0
1.263472,0,0,0,0
1.575027,0,0,0,0
1.585300,0,0,0,0
1.336081,0,0,0,0
1.317009,0,0,0,0
1.593972,0,0,0,0
1.306640,0,0,0,0
1.493171,0,0,0,0
1.584308,0,0,0,0
1.312016,0,0,0,0
1.610260,0,0,0,0
1.328176,0,0,0,0
1.173167,0,0,0,0
1.315280,0,0,0,0
1.269840,0,0,0,0
1.307984,0,0,0,0
1.382609,0,0,0,0
1.679573,0,0,0,0
1.804919,0,0,0,0
1.307472,0,0,0,0
0.988044,0,0,0,0
1.262511,0,0,0,0
1.105134,0,0,0,0
1.058541,0,0,0,0
0.626343,0,0,0,0
0.703753,0,0,0,0
0.501094,0,0,0,0
0.012224,0,0,0,0
0.013921,0,0,0,0
0.011392,0,0,0,0
0.011424,0,0,0,0
0.500807,0,0,0,0
0.527623,0,0,0,0
0.549735,0,0,0,0
0.550311,0,0,0,0
0.541351,3,1,0,1747
0.318852,4,1,0,1957
0.005793,5,1,0,2347
0.005152,6,1,0,2702
0.817226,7,1,0,3073
0.750602,8,1,0,3474
1.827479,9,1,0,3841
2.044666,10,1,0,4241
1.393170,0,0,0,0
2.103674,0,0,0,0
2.184187,0,0,0,0
70.923256,0,0,0,0
3.324682,0,0,0,0
3.443883,0,0,0,0
3.803696,0,0,0,0
4.208853,0,0,0,0
4.791964,0,0,0,0
5.273410,0,0,0,0
5.571365,0,0,0,0
6.617939,0,0,0,0
