#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403715523912143104.000000,0.000000,0.000000,25.986945,1.540403,0.004064,8.461321,1.281135,0.002592,32.510769
1403715523962142976.000000,0.000000,0.000000,20.711520,2.677889,0.104258,1.130222,1.089645,0.000928,27.580980
1403715524012143104.000000,0.000000,0.000000,21.365032,1.571123,0.095137,1.074669,1.328176,0.499975,26.924396
1403715524062142976.000000,0.000000,0.000000,22.760857,2.718721,0.105569,1.774645,1.806039,0.000928,29.854896
1403715524112143104.000000,0.000000,0.000000,19.738324,3.418922,0.133217,1.252879,2.372093,0.000960,27.548884
1403715524162142976.000000,0.000000,0.000000,21.796557,3.311785,0.096897,0.577895,2.124090,0.000960,29.283370
1403715524212143104.000000,0.000000,0.000000,21.984208,3.442986,0.120961,1.157166,1.954872,0.647912,29.586765
1403715524262142976.000000,0.000000,0.000000,22.274770,3.236936,0.131778,1.943128,2.725697,0.001152,29.690670
1403715524312143104.000000,0.000000,0.000000,21.867757,3.283017,0.125186,2.148859,3.112486,0.001152,29.383595
1403715524362142976.000000,0.000000,0.000000,21.883662,3.407626,0.120450,1.573619,2.972869,1.010796,29.475851
1403715524412143104.000000,0.000000,0.000000,21.055204,1.449522,0.061504,4.902044,4.970365,0.001376,26.213507
1403715524462142976.000000,0.000000,0.000000,22.789402,3.355849,0.134113,3.656973,5.242785,0.001088,30.363414
1403715524512143104.000000,0.000000,0.000000,23.104989,3.443530,0.125890,2.535936,5.426115,0.001120,31.071903
1403715524562142976.000000,0.000000,0.000000,21.682059,3.128295,0.125762,2.170235,4.328246,0.001440,29.131527
1403715524612143104.000000,0.000000,0.000000,20.866177,3.387593,0.125121,1.820343,4.095122,1.910903,28.742754
1403715524662142976.000000,0.000000,0.000000,22.211762,3.290153,0.124738,10.153982,8.289478,0.001152,29.889649
1403715524712143104.000000,0.000000,0.000000,20.919458,3.437995,0.127874,5.149696,8.880301,0.001120,28.579681
1403715524762142976.000000,0.000000,0.000000,21.256710,3.318985,0.120353,5.084575,9.263410,0.000960,28.778659
1403715524812143104.000000,0.000000,0.000000,21.206342,3.386282,0.122306,6.320654,8.793100,0.001120,29.052518
1403715524862142976.000000,0.000000,0.000000,21.827213,3.382698,0.125858,4.170067,8.213606,1.396561,29.342538
1403715524912143104.000000,0.000000,0.000000,21.104292,3.292841,0.123233,9.391732,10.396768,0.002144,28.612801
1403715524962142976.000000,0.000000,0.000000,22.146546,3.153287,0.126050,5.995338,9.663032,0.001120,29.520493
1403715525012143104.000000,0.000000,0.000000,20.573278,3.546956,0.121313,6.374767,10.226494,0.000896,29.750799
1403715525062142976.000000,0.000000,0.000000,20.765120,3.306153,0.126817,4.917916,8.806733,0.001504,28.468383
1403715525112143104.000000,0.000000,0.000000,21.686603,3.236968,0.128162,5.412163,10.658243,1.170382,29.216425
1403715525162142976.000000,0.000000,0.000000,21.938351,3.198952,0.130914,9.379796,10.714244,0.000992,29.695214
1403715525212143104.000000,0.000000,0.000000,21.991439,3.327401,0.130785,6.058059,11.029832,0.001088,29.712783
1403715525262142976.000000,0.000000,0.000000,21.549898,3.446922,0.129889,5.830984,11.800754,0.001184,29.398666
1403715525312143104.000000,0.000000,0.000000,22.087473,3.525163,0.127329,6.141676,11.228106,0.000832,30.018066
1403715525362142976.000000,0.000000,0.000000,20.792961,3.360682,0.126978,5.393602,9.890202,1.077325,29.791024
1403715525412143104.000000,0.000000,0.000000,20.330971,3.244328,0.128097,10.994824,12.080181,0.001344,28.333342
1403715525462142976.000000,0.000000,0.000000,21.742156,1.343728,0.059617,7.433979,12.364345,0.001024,26.952077
1403715525512143104.000000,0.000000,0.000000,22.310388,3.239336,0.129538,6.544336,12.557339,0.001312,29.855217
1403715525562142976.000000,0.000000,0.000000,21.074436,3.395498,0.121217,6.227917,12.295031,0.000960,28.719970
1403715525612143104.000000,0.000000,0.000000,21.814349,3.415754,0.124385,5.642245,13.007041,0.896587,29.690606
1403715525662142976.000000,0.000000,0.000000,21.904782,3.544172,0.126241,9.215218,14.673141,0.001280,29.856817
1403715525712143104.000000,0.000000,0.000000,20.670015,3.250888,0.121761,6.021354,10.882758,0.000800,28.478495
1403715525762142976.000000,0.000000,0.000000,23.073053,3.204872,0.125858,5.739911,11.891251,0.001216,30.667354
1403715525812143104.000000,0.000000,0.000000,21.999247,3.196200,0.123682,4.914364,11.142826,0.000960,29.534796
1403715525862142976.000000,0.000000,0.000000,24.459662,3.391594,0.128161,5.243009,11.193066,1.045549,32.274766
1403715525912143104.000000,0.000000,0.000000,19.522704,3.321513,0.125922,9.298066,12.850175,0.001984,27.228880
