#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403715886584058112.000000,0.000000,0.000000,25.471069,2.685729,0.004384,11.793331,4.697818,0.003137,32.216752
1403715886634057984.000000,0.000000,0.000000,23.116415,4.065042,0.090081,3.750158,4.207477,0.001024,31.181860
1403715886684058112.000000,0.000000,0.000000,20.439166,4.111507,0.091201,3.221064,4.864253,0.001120,28.943815
1403715886734057984.000000,0.000000,0.000000,20.153115,5.398947,0.122050,3.493452,4.034034,1.719477,29.692337
1403715886784058112.000000,0.000000,0.000000,22.060626,5.479140,0.124898,11.760178,8.514473,0.001216,31.965549
1403715886834057984.000000,0.000000,0.000000,20.810915,5.746311,0.120577,5.643366,7.696255,0.000896,30.830655
1403715886884058112.000000,0.000000,0.000000,21.386026,5.336706,0.118849,6.191565,8.313960,0.001088,31.025378
1403715886934057984.000000,0.000000,0.000000,20.863779,5.416100,0.119105,6.102155,7.461565,0.001056,30.509947
1403715886984058112.000000,0.000000,0.000000,21.592492,5.508068,0.117697,4.859644,7.935235,1.004013,31.386342
1403715887034057984.000000,0.000000,0.000000,20.934116,5.365538,0.121217,9.000880,8.372264,0.001152,30.483578
1403715887084058112.000000,0.000000,0.000000,23.328289,5.424004,0.121762,6.189581,8.462793,0.000928,33.193116
1403715887134057984.000000,0.000000,0.000000,19.939448,5.334434,0.123649,5.018846,8.602827,0.001056,29.617616
1403715887184058112.000000,0.000000,0.000000,21.206343,5.421539,0.124001,5.702567,9.109873,0.001152,31.007233
1403715887234057984.000000,0.000000,0.000000,20.175354,2.329501,0.064353,6.818260,8.706733,1.014253,26.213125
1403715887284058112.000000,0.000000,0.000000,21.990033,5.448676,0.124513,8.969744,9.378292,0.001025,32.019853
1403715887334057984.000000,0.000000,0.000000,23.211968,5.628934,0.124385,7.110073,9.768057,0.000992,33.378238
1403715887384058112.000000,0.000000,0.000000,20.493919,5.308674,0.119713,5.532325,10.458625,0.001248,30.368089
1403715887434057984.000000,0.000000,0.000000,23.399267,5.573541,0.119905,5.734759,8.433417,0.000832,33.400254
1403715887484058112.000000,0.000000,0.000000,21.599276,5.066207,0.123522,5.228481,9.157746,1.097006,31.060098
1403715887534057984.000000,0.000000,0.000000,21.890640,5.712135,0.125313,10.930440,9.781209,0.001728,32.143407
1403715887584058112.000000,0.000000,0.000000,20.208859,5.539845,0.120833,6.618066,9.567255,0.000992,30.489467
1403715887634057984.000000,0.000000,0.000000,19.635731,5.376707,0.125377,6.252014,10.215903,0.000928,29.346797
1403715887684058112.000000,0.000000,0.000000,21.626157,5.389475,0.121442,5.782919,11.214636,0.001024,31.360645
1403715887734057984.000000,0.000000,0.000000,21.793007,2.466719,0.060480,5.392195,11.455182,0.754826,28.023868
1403715887784058112.000000,0.000000,0.000000,20.195931,5.461156,0.123969,8.023332,12.446362,0.001152,29.924947
1403715887834057984.000000,0.000000,0.000000,20.322717,5.549669,0.121058,7.810657,12.366010,0.001216,30.281624
1403715887884058112.000000,0.000000,0.000000,20.951076,5.271713,0.126434,6.292366,13.015457,0.001344,30.651325
1403715887934057984.000000,0.000000,0.000000,21.713357,5.516837,0.125666,5.455780,11.609136,0.000896,31.546887
1403715887984058112.000000,0.000000,0.000000,21.467979,5.237441,0.123489,5.070079,11.462446,0.783210,32.513588
1403715888034057984.000000,0.000000,0.000000,21.293065,2.730466,0.072673,7.200570,14.605493,0.001792,28.013531
1403715888084058112.000000,0.000000,0.000000,20.007801,5.330434,0.124353,4.968925,12.777919,0.000832,29.909459
1403715888134057984.000000,0.000000,0.000000,21.110470,5.575269,0.126882,5.429475,11.015945,0.001024,31.041633
1403715888184058112.000000,0.000000,0.000000,19.629588,5.692135,0.125281,5.721927,11.865843,0.000992,29.840371
