#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.402901,0.056193,0.632520,0.014912,0.014912,10.118238
10.063773,0.228547,3.885936,0.005057,0.005057,14.188177
11.170571,0.464742,6.300590,0.311779,0.311779,60.474864
12.085527,0.529350,9.158482,0.986124,0.986124,62.977200
12.679325,0.570791,19.589172,1.360369,1.360369,82.517122
13.961454,0.589191,24.684627,1.676469,1.676469,111.782415
14.278706,0.649416,31.148451,1.880375,1.880375,115.716063
14.475092,0.682504,36.816714,1.903768,1.903768,122.311857
14.674967,0.724041,40.819387,2.164219,2.164219,136.975144
14.186896,0.851211,42.677555,98.382663,98.382663,227.655407
11.610064,0.699209,37.576467,2.704865,2.704865,122.481203
12.143639,0.471686,36.671816,2.717409,2.717409,118.074588
12.291513,0.543143,40.367862,3.509452,3.509452,122.999418
13.056418,0.502215,44.057220,3.463851,3.463851,131.485699
14.354034,0.489926,43.340155,3.636013,3.636013,129.570699
14.455316,0.525190,42.918390,4.132948,4.132948,133.196025
12.716414,0.431397,38.152411,4.606841,4.606841,132.838292
13.964045,0.368997,43.658623,5.161184,5.161184,143.303350
13.940141,0.456582,42.771700,5.774376,5.774376,148.960221
9.807162,0.385701,34.077128,6.136364,6.136364,140.641589
10.357952,0.445638,35.206742,6.597170,6.597170,149.125982
9.415797,0.453797,28.866919,8.374408,8.374408,147.341544
9.461110,0.378789,29.414862,7.824482,7.824482,146.106682
8.800173,0.347812,29.297197,7.812834,7.812834,146.410525
8.750509,0.400517,32.606997,8.448361,8.448361,150.178124
7.929410,0.439686,28.527203,7.802689,7.802689,141.659650
8.411017,0.409637,29.083657,7.162745,7.162745,142.415243
6.488336,0.443622,22.578393,7.171385,7.171385,313.758398
8.079877,0.607271,24.530545,7.395420,7.395420,131.845672
9.026032,0.825610,22.557145,4.290966,4.290966,157.969933
12.180119,1.349233,31.870733,1.086477,1.086477,161.489496
11.879347,0.821899,20.042041,1.756886,1.756886,149.760358
7.587198,0.504710,18.753961,2.108250,2.108250,139.462406
9.736953,0.842219,31.738186,2.251388,2.251388,163.544850
6.581586,0.374661,16.444492,2.609697,2.609697,139.298565
8.053765,0.512518,23.213505,2.784194,2.784194,152.033667
6.364111,0.553319,18.986252,3.296617,3.296617,148.738105
5.997290,0.541415,17.145813,2.149403,2.149403,144.721064
5.167520,0.611368,14.989018,4.529016,4.529016,141.196956
5.673383,0.506918,17.259063,3.679630,3.679630,146.156026
5.071711,0.410437,15.218397,3.554733,3.554733,138.739774
5.377442,0.392613,15.556738,3.958738,3.958738,137.007496
6.982519,0.358852,20.860356,3.434155,3.434155,96.626962
