#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.397661,0.214595,2.315934,0.015201,0.015201,11.955551
8.338254,0.246499,3.676017,0.004320,0.004320,12.269026
8.179596,0.358373,4.977538,0.402854,0.402854,58.810891
10.317481,0.384581,14.433183,1.154351,1.154351,76.615287
15.217737,0.430086,18.282418,1.779064,1.779064,94.462851
15.899731,0.480294,22.062117,1.789432,1.789432,103.675262
11.643578,0.277827,20.256141,2.796069,2.796069,99.568486
11.215861,0.404197,20.129547,2.866950,2.866950,118.377856
18.626967,0.454726,35.187346,3.358348,3.358348,138.001029
18.628182,0.502823,38.465405,112.549907,112.549907,262.604822
9.399388,0.276772,16.056500,4.216280,4.216280,81.964829
20.499983,0.399941,43.201757,5.046339,5.046339,146.326930
21.262938,0.614216,48.058204,5.622763,5.622763,158.088398
22.118245,0.602088,51.799278,5.870670,5.870670,182.968951
17.255076,0.459014,38.579967,6.917148,6.917148,148.914804
23.663993,0.630728,60.120349,7.416834,7.416834,199.358064
25.166413,0.600456,56.400267,8.850037,8.850037,190.703774
25.625011,0.605736,57.373560,8.902166,8.902166,347.907199
16.253335,0.405221,38.359228,9.591231,9.591231,169.115871
28.528506,0.560935,60.765701,9.796642,9.796642,213.152071
29.858059,0.568040,64.522774,11.346870,11.346870,245.823095
20.807956,0.406021,48.415009,13.149006,13.149006,209.478998
14.283965,0.347173,36.732774,11.448247,11.448247,186.217633
28.191158,0.430565,61.762386,13.489715,13.489715,238.261427
24.861865,0.549383,65.307969,13.060269,13.060269,276.482284
14.664547,0.492038,41.352676,13.609780,13.609780,201.266345
17.609833,0.483943,50.227193,13.392849,13.392849,224.194392
25.192174,0.527815,66.535536,13.171374,13.171374,246.338205
24.782024,0.640745,53.461251,13.152526,13.152526,224.989826
23.259251,0.583464,59.231824,13.176718,13.176718,232.787977
22.326088,0.812234,51.720621,12.490885,12.490885,219.605659
20.464239,0.747178,62.419418,12.618951,12.618951,253.123383
20.889812,0.743594,57.552378,12.283075,12.283075,227.805415
21.901666,0.698057,58.457254,11.874973,11.874973,231.223764
21.110231,0.644681,58.416485,10.502283,10.502283,228.572497
18.379315,0.739178,55.225467,11.898270,11.898270,228.778612
20.560496,0.745770,54.213901,12.154017,12.154017,227.847687
19.398081,0.747241,53.975883,11.334614,11.334614,208.924013
19.270239,0.769130,51.612363,13.541075,13.541075,223.374220
18.800633,0.683209,52.907004,11.275477,11.275477,223.491374
19.224319,0.689193,51.461353,11.027154,11.027154,220.457765
18.848217,0.757514,48.647044,10.100486,10.100486,208.730538
19.392288,0.802283,50.296633,8.506961,8.506961,213.016034
18.070287,0.838123,52.487286,10.439882,10.439882,219.477336
19.049180,0.809387,51.169381,10.290280,10.290280,217.292763
18.373075,0.848363,51.572651,8.938326,8.938326,218.431114
18.517205,0.934412,54.566194,11.412471,11.412471,373.766097
16.248055,1.049518,49.894996,7.912872,7.912872,164.823300
12.670727,1.084847,37.758931,7.844072,7.844072,144.550744
12.726728,1.244720,36.022237,8.373583,8.373583,136.378028
12.166017,0.936621,50.970178,9.259674,9.259674,213.415559
15.489133,1.107662,46.081314,10.326536,10.326536,207.322902
16.248695,1.239408,57.791068,9.244635,9.244635,224.926847
13.422833,1.383187,52.573687,9.230074,9.230074,151.813816
12.971468,1.090510,48.248382,7.295329,7.295329,148.996659
6.773753,1.780984,22.015171,5.094116,5.094116,130.506654
6.567031,1.710935,20.179307,1.552820,1.552820,106.314558
12.127873,1.002637,33.539932,1.859160,1.859160,177.706031
12.474405,1.280977,35.777017,4.363001,4.363001,179.680232
12.438629,1.256945,35.910650,5.473833,5.473833,186.577700
10.980945,1.680470,36.427970,1.822040,1.822040,127.959804
11.036466,1.556117,38.410844,2.491297,2.491297,123.835334
11.609113,1.743863,38.093080,2.046779,2.046779,117.164109
11.762012,1.416274,40.102739,3.429902,3.429902,168.565237
12.849161,1.319410,43.038841,3.164841,3.164841,167.388932
12.672039,1.063983,44.232328,3.433421,3.433421,167.794506
