#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.014848,3,1,0,2066
0.005088,4,1,0,2597
0.502726,5,1,0,3120
1.448690,6,1,0,3690
1.159758,7,1,0,4193
2.508320,8,1,0,4806
2.504512,9,1,0,5009
2.541697,10,1,0,5385
2.476448,0,0,0,0
66.977236,0,0,0,0
3.746544,0,0,0,0
4.198006,0,0,0,0
4.644923,0,0,0,0
4.762972,0,0,0,0
5.318276,0,0,0,0
5.577415,0,0,0,0
5.881771,0,0,0,0
5.767401,0,0,0,0
6.278224,0,0,0,0
7.501664,0,0,0,0
7.657122,0,0,0,0
9.847229,0,0,0,0
9.476344,0,0,0,0
9.225461,0,0,0,0
8.824336,0,0,0,0
8.603150,0,0,0,0
9.109332,0,0,0,0
7.842979,0,0,0,0
7.270396,0,0,0,0
7.199227,0,0,0,0
9.741275,0,0,0,0
7.651425,0,0,0,0
8.635501,0,0,0,0
9.794172,0,0,0,0
7.088858,0,0,0,0
7.820644,0,0,0,0
7.675490,0,0,0,0
8.933106,0,0,0,0
6.327472,0,0,0,0
8.988690,0,0,0,0
6.188847,0,0,0,0
5.989037,0,0,0,0
6.080557,0,0,0,0
7.185307,0,0,0,0
6.467122,0,0,0,0
6.848471,0,0,0,0
7.358974,0,0,0,0
5.947212,0,0,0,0
3.632367,0,0,0,0
4.914815,0,0,0,0
9.872637,0,0,0,0
7.547232,0,0,0,0
6.440050,0,0,0,0
8.236937,0,0,0,0
7.761379,0,0,0,0
6.861495,0,0,0,0
8.997619,0,0,0,0
10.182145,0,0,0,0
7.444479,0,0,0,0
8.629518,0,0,0,0
7.123675,0,0,0,0
9.815261,0,0,0,0
7.936773,0,0,0,0
8.806000,0,0,0,0
8.249641,0,0,0,0
9.798237,0,0,0,0
9.486136,0,0,0,0
8.202792,0,0,0,0
7.538496,0,0,0,0
6.241039,0,0,0,0
8.884465,0,0,0,0
6.061517,0,0,0,0
10.601319,0,0,0,0
6.329297,0,0,0,0
8.980114,0,0,0,0
6.801239,0,0,0,0
5.793418,0,0,0,0
5.611175,0,0,0,0
5.032640,0,0,0,0
5.404164,0,0,0,0
5.717641,0,0,0,0
4.498169,0,0,0,0
6.058221,0,0,0,0
6.851128,0,0,0,0
6.982905,0,0,0,0
9.447640,0,0,0,0
5.036992,0,0,0,0
9.351671,0,0,0,0
9.663962,0,0,0,0
13.835312,0,0,0,0
13.313065,0,0,0,0
10.033760,0,0,0,0
10.916875,0,0,0,0
11.187919,0,0,0,0
7.803139,0,0,0,0
12.045721,0,0,0,0
7.996006,0,0,0,0
8.488268,0,0,0,0
8.159624,0,0,0,0
8.377931,0,0,0,0
8.781839,0,0,0,0
11.270288,0,0,0,0
10.830346,0,0,0,0
10.002175,0,0,0,0
4.894814,0,0,0,0
4.567514,0,0,0,0
3.698703,0,0,0,0
4.750780,0,0,0,0
2.255900,0,0,0,0
5.324548,0,0,0,0
2.658274,0,0,0,0
4.348791,0,0,0,0
4.730332,0,0,0,0
3.695407,0,0,0,0
8.032934,0,0,0,0
5.713992,0,0,0,0
4.893278,0,0,0,0
2.332765,0,0,0,0
3.152808,0,0,0,0
5.757609,0,0,0,0
5.592615,0,0,0,0
5.595591,0,0,0,0
2.884388,0,0,0,0
5.930156,0,0,0,0
6.285104,0,0,0,0
6.578291,0,0,0,0
7.163324,0,0,0,0
7.054138,0,0,0,0
6.338320,0,0,0,0
6.944376,0,0,0,0
3.266985,0,0,0,0
4.778396,0,0,0,0
7.496351,0,0,0,0
8.665902,0,0,0,0
7.875684,0,0,0,0
7.651585,0,0,0,0
7.279516,0,0,0,0
5.621159,0,0,0,0
8.760335,0,0,0,0
8.307242,0,0,0,0
8.568973,0,0,0,0
6.543763,0,0,0,0
6.485810,0,0,0,0
6.407122,0,0,0,0
6.603156,0,0,0,0
7.878244,0,0,0,0
7.843044,0,0,0,0
9.992928,0,0,0,0
9.810205,0,0,0,0
7.593856,0,0,0,0
5.690280,0,0,0,0
5.678216,0,0,0,0
4.632634,0,0,0,0
6.533171,0,0,0,0
5.516710,0,0,0,0
5.882891,0,0,0,0
7.655618,0,0,0,0
5.578567,0,0,0,0
5.970988,0,0,0,0
6.233487,0,0,0,0
3.944210,0,0,0,0
6.985593,0,0,0,0
4.592699,0,0,0,0
4.245974,0,0,0,0
3.854961,0,0,0,0
5.186818,0,0,0,0
4.547962,0,0,0,0
6.307952,0,0,0,0
5.058817,0,0,0,0
9.174164,0,0,0,0
9.080723,0,0,0,0
8.162472,0,0,0,0
9.392984,0,0,0,0
8.782416,0,0,0,0
9.482585,0,0,0,0
8.324490,0,0,0,0
10.946507,0,0,0,0
9.342199,0,0,0,0
11.461714,0,0,0,0
12.311164,0,0,0,0
11.695765,0,0,0,0
10.662152,0,0,0,0
15.283683,0,0,0,0
10.941227,0,0,0,0
16.523379,0,0,0,0
13.731151,0,0,0,0
17.123994,0,0,0,0
12.129690,0,0,0,0
13.850736,0,0,0,0
17.226299,0,0,0,0
14.175284,0,0,0,0
15.789993,0,0,0,0
17.187387,0,0,0,0
14.686299,0,0,0,0
13.181287,0,0,0,0
14.155732,0,0,0,0
13.898193,0,0,0,0
11.926136,0,0,0,0
11.670420,0,0,0,0
10.670216,0,0,0,0
11.451858,0,0,0,0
6.053133,0,0,0,0
6.897815,0,0,0,0
10.176481,0,0,0,0
8.561773,0,0,0,0
7.395262,0,0,0,0
6.475634,0,0,0,0
11.140686,0,0,0,0
6.766870,0,0,0,0
7.567936,0,0,0,0
10.867722,0,0,0,0
9.200565,0,0,0,0
11.114029,0,0,0,0
8.316682,0,0,0,0
12.085978,0,0,0,0
6.496467,0,0,0,0
8.078951,0,0,0,0
10.665736,0,0,0,0
7.237757,0,0,0,0
9.545753,0,0,0,0
13.333769,0,0,0,0
14.673787,0,0,0,0
7.857316,0,0,0,0
14.917469,0,0,0,0
9.002259,0,0,0,0
13.760719,0,0,0,0
15.735656,0,0,0,0
9.978078,0,0,0,0
12.849571,0,0,0,0
11.023149,0,0,0,0
13.227561,0,0,0,0
14.913918,0,0,0,0
17.656289,0,0,0,0
13.833840,0,0,0,0
10.725864,0,0,0,0
18.085254,0,0,0,0
11.821846,0,0,0,0
16.529202,0,0,0,0
18.165831,0,0,0,0
13.323785,0,0,0,0
19.229077,0,0,0,0
0.000000,0,0,0,0
40.255424,0,0,0,0
19.746907,0,0,0,0
28.476394,0,0,0,0
0.000000,0,0,0,0
33.874191,0,0,0,0
28.412713,0,0,0,0
28.370825,0,0,0,0
24.090706,0,0,0,0
24.735067,0,0,0,0
21.682388,0,0,0,0
29.298421,0,0,0,0
24.062322,0,0,0,0
22.497534,0,0,0,0
18.957553,0,0,0,0
25.122239,0,0,0,0
25.270914,0,0,0,0
22.493054,0,0,0,0
26.201901,0,0,0,0
21.801749,0,0,0,0
25.476548,0,0,0,0
17.022617,0,0,0,0
20.686407,0,0,0,0
25.645510,0,0,0,0
26.236174,0,0,0,0
26.121708,0,0,0,0
26.375663,0,0,0,0
33.152869,0,0,0,0
32.712800,0,0,0,0
26.554929,0,0,0,0
23.209351,0,0,0,0
28.105798,0,0,0,0
24.821372,0,0,0,0
24.577176,0,0,0,0
28.603915,0,0,0,0
16.910935,0,0,0,0
16.158381,0,0,0,0
20.217601,0,0,0,0
18.892240,0,0,0,0
16.833590,0,0,0,0
19.926557,0,0,0,0
15.517605,0,0,0,0
19.760476,0,0,0,0
15.071360,0,0,0,0
18.585388,0,0,0,0
20.713159,0,0,0,0
18.787566,0,0,0,0
21.026795,0,0,0,0
20.233441,0,0,0,0
22.076792,0,0,0,0
18.863888,0,0,0,0
28.342472,0,0,0,0
25.995722,0,0,0,0
32.544190,0,0,0,0
31.699155,0,0,0,0
33.960239,0,0,0,0
36.303181,0,0,0,0
