#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.399383,0.139714,1.253936,0.014496,0.014496,10.820073
8.598478,0.277763,3.706639,0.003968,0.003968,12.590848
12.192315,0.613991,12.345021,0.707529,0.707529,71.423402
12.605760,0.538087,8.174600,1.381777,1.381777,67.053011
14.372726,0.587816,18.205606,1.479826,1.479826,90.650909
10.528774,0.368933,15.260225,1.846807,1.846807,79.089355
15.899242,0.469926,26.388302,2.130203,2.130203,107.151855
14.840605,0.476870,30.240575,2.660514,2.660514,123.007896
15.516996,0.821003,33.625738,3.085192,3.085192,123.437565
16.057228,0.625704,39.177745,106.296228,106.296228,236.046257
16.268174,0.794122,38.389319,3.607502,3.607502,119.758670
17.361340,0.695721,37.856096,4.134740,4.134740,126.441827
11.321616,0.551911,29.686744,4.922174,4.922174,123.451325
11.061356,0.558119,27.523069,4.699516,4.699516,118.474878
10.342243,0.538535,25.361218,5.191074,5.191074,130.925660
15.914346,0.886027,37.822207,5.348804,5.348804,145.791800
12.027353,0.618024,31.941813,5.692617,5.692617,142.611665
11.925335,0.658504,35.651940,6.221263,6.221263,146.874374
11.422225,0.502278,31.152971,6.703701,6.703701,141.752517
11.211854,0.548135,30.053341,7.055098,7.055098,142.929076
11.021228,0.483238,30.952904,7.774050,7.774050,150.274961
10.789705,0.441957,31.031146,9.242165,9.242165,156.740227
10.818729,0.410597,30.775814,9.671195,9.671195,155.925497
10.922410,0.409189,31.684050,9.142228,9.142228,290.052317
13.486507,0.493990,38.136452,9.100179,9.100179,164.453829
10.465124,0.397093,28.723468,8.869904,8.869904,150.291313
9.809308,0.403046,28.034243,8.736879,8.736879,146.975784
18.543915,0.754730,46.739248,7.273756,7.273756,174.536453
18.019044,0.626344,58.547270,7.836259,7.836259,202.539431
12.113561,0.773322,39.702168,9.885917,9.885917,171.797922
16.019019,0.945324,45.308319,7.016889,7.016889,184.518052
11.653268,0.746249,36.744274,9.406871,9.406871,165.959800
15.303682,0.812554,40.597347,6.981049,6.981049,187.066788
11.343888,0.708360,34.835866,11.191182,11.191182,180.963382
9.857853,0.617672,29.187378,6.424657,6.424657,148.226775
16.100396,0.750153,45.057819,8.361930,8.361930,189.413409
12.490878,0.629960,33.566570,8.226024,8.226024,168.999134
15.396068,0.754825,37.828608,10.528549,10.528549,187.563402
12.182778,0.593672,31.449103,6.410994,6.410994,155.503412
9.125683,0.346309,23.482218,10.724968,10.724968,150.658102
8.187560,0.434470,20.292001,6.201071,6.201071,136.615557
9.169332,0.488326,22.974180,10.801065,10.801065,149.355622
6.863575,0.459846,18.122661,5.902379,5.902379,136.866887
7.170107,0.517414,18.177703,6.876952,6.876952,132.966198
9.295446,0.778474,25.198751,9.592154,9.592154,152.065768
8.383018,0.630856,21.396207,7.361885,7.361885,145.464564
12.167578,0.733225,34.425813,5.759273,5.759273,165.026700
8.896977,0.655880,31.198348,8.200808,8.200808,160.993689
9.130868,0.871051,31.114667,5.222754,5.222754,122.305519
9.719771,0.969869,30.601252,6.159886,6.159886,170.533074
11.860854,1.307665,46.445229,5.017120,5.017120,196.856800
11.666420,1.223536,39.258385,8.954225,8.954225,172.812655
15.394627,0.737001,40.083164,10.031359,10.031359,193.830265
9.358647,0.558567,31.021001,8.861297,8.861297,158.370328
7.749890,0.436838,24.707257,9.822589,9.822589,153.075445
7.311197,0.502758,23.148773,5.191042,5.191042,144.199076
7.930309,0.493158,25.599972,7.253340,7.253340,186.815745
9.042835,0.715401,32.015382,7.587265,7.587265,164.732873
10.022335,1.022989,37.850016,7.337725,7.337725,184.939689
11.608115,0.685417,37.629245,8.375243,8.375243,191.411899
10.236961,0.560711,30.546468,7.648289,7.648289,162.168552
14.545209,0.745929,43.337029,9.792988,9.792988,192.127716
19.080465,1.091854,66.253896,7.196572,7.196572,219.357181
20.258689,0.822027,54.961496,9.100948,9.100948,208.339442
11.909079,0.548551,37.251417,7.714593,7.714593,185.267693
14.989246,0.597191,42.292312,10.040480,10.040480,188.986620
13.698446,0.571751,37.043734,8.294570,8.294570,174.257666
16.165901,0.631688,43.294277,9.608506,9.608506,186.812224
12.995109,0.741033,36.371982,8.660078,8.660078,169.580518
14.388886,0.774154,45.479041,9.981119,9.981119,196.339065
11.341104,0.746474,34.008207,6.638836,6.638836,165.749782
15.867818,0.780649,47.489051,9.232757,9.232757,193.740665
12.979652,0.882443,51.967763,6.492722,6.492722,191.794495
14.345398,0.840522,51.470157,10.450340,10.450340,400.467637
13.944209,1.324881,42.466074,8.009285,8.009285,201.575100
12.069753,1.358481,34.642743,8.099111,8.099111,185.344430
9.351735,1.056781,27.562941,5.871562,5.871562,141.130621
12.811331,1.715894,37.490523,5.774985,5.774985,182.556907
11.717141,1.233743,31.494064,4.649211,4.649211,192.196613
13.925168,0.985069,42.712221,5.075201,5.075201,202.240356
13.580429,1.001068,42.651645,6.102253,6.102253,196.307993
15.171712,0.925388,40.223934,5.436997,5.436997,189.452706
15.485156,0.793802,39.069232,6.146926,6.146926,189.532547
12.296059,0.708969,31.939349,7.571040,7.571040,172.569771
16.659507,0.743306,52.069780,8.455499,8.455499,212.309188
16.902774,0.827658,53.155074,7.950149,7.950149,210.310954
17.445341,0.733514,49.921305,8.182216,8.182216,211.682428
11.483218,0.579271,31.592561,9.032530,9.032530,195.429038
16.093196,0.820138,42.386394,12.357533,12.357533,215.858865
16.754837,0.899499,45.092188,12.555359,12.555359,216.089588
16.873142,0.892619,49.126063,7.289757,7.289757,210.263594
17.685120,0.894636,55.438271,6.358737,6.358737,224.657057
9.400056,0.717641,25.560100,8.557676,8.557676,172.563308
13.880592,0.850858,38.536201,9.265622,9.265622,196.793567
9.678650,0.609768,27.763904,7.877380,7.877380,199.348959
10.749640,0.697961,29.131537,9.386551,9.386551,198.557365
10.544902,0.705737,31.798227,8.272681,8.272681,201.062933
