#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.013888,3,1,0,1264
0.005792,4,1,0,1929
0.870219,5,1,0,2485
1.008301,6,1,0,2872
1.311536,7,1,0,3338
1.153071,8,1,0,3563
1.795606,9,1,0,3844
1.566036,10,1,0,3885
1.547059,0,0,0,0
106.795562,0,0,0,0
1.534100,0,0,0,0
2.151739,0,0,0,0
2.152443,0,0,0,0
2.371230,0,0,0,0
2.629921,0,0,0,0
2.793763,0,0,0,0
3.007686,0,0,0,0
3.439595,0,0,0,0
3.229897,0,0,0,0
3.813040,0,0,0,0
4.059924,0,0,0,0
4.965823,0,0,0,0
5.059968,0,0,0,0
4.985727,0,0,0,0
4.887838,0,0,0,0
5.021919,0,0,0,0
4.343319,0,0,0,0
4.433976,0,0,0,0
4.400056,0,0,0,0
4.580314,0,0,0,0
4.310743,0,0,0,0
4.032308,0,0,0,0
3.883473,0,0,0,0
6.158542,0,0,0,0
5.462213,0,0,0,0
5.340132,0,0,0,0
5.568806,0,0,0,0
4.982367,0,0,0,0
4.957951,0,0,0,0
6.841687,0,0,0,0
4.871550,0,0,0,0
4.082547,0,0,0,0
3.448044,0,0,0,0
2.676706,0,0,0,0
1.700053,0,0,0,0
1.701686,0,0,0,0
1.963608,0,0,0,0
2.150011,0,0,0,0
4.181461,0,0,0,0
2.916997,0,0,0,0
4.241878,0,0,0,0
4.439193,0,0,0,0
3.367339,0,0,0,0
4.100820,0,0,0,0
4.801020,0,0,0,0
2.777124,0,0,0,0
5.266338,0,0,0,0
4.485081,0,0,0,0
6.632148,0,0,0,0
5.517286,0,0,0,0
4.430360,0,0,0,0
5.229251,0,0,0,0
5.023487,0,0,0,0
4.703388,0,0,0,0
5.631496,0,0,0,0
5.792201,0,0,0,0
5.030623,0,0,0,0
6.101006,0,0,0,0
6.078157,0,0,0,0
5.462534,0,0,0,0
6.160462,0,0,0,0
6.230415,0,0,0,0
4.764509,0,0,0,0
5.061056,0,0,0,0
5.053248,0,0,0,0
6.590740,0,0,0,0
5.462437,0,0,0,0
4.013202,0,0,0,0
3.700655,0,0,0,0
3.777039,0,0,0,0
4.737596,0,0,0,0
1.633172,0,0,0,0
2.289917,0,0,0,0
2.215004,0,0,0,0
2.354462,0,0,0,0
3.834321,0,0,0,0
2.364894,0,0,0,0
2.919269,0,0,0,0
4.186805,0,0,0,0
4.464696,0,0,0,0
3.719471,0,0,0,0
4.554746,0,0,0,0
5.992364,0,0,0,0
4.541690,0,0,0,0
12.106394,0,0,0,0
5.318979,0,0,0,0
5.942859,0,0,0,0
5.294819,0,0,0,0
