#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403636579763555584.000000,0.000000,0.000000,30.092220,5.045669,0.003968,15.767031,10.214316,0.002721,37.976231
1403636579813555456.000000,0.000000,0.000000,27.322069,5.872272,0.081217,4.168729,7.128673,0.000832,37.467008
1403636579863555584.000000,0.000000,0.000000,24.884564,8.734135,0.084577,5.153830,8.269233,0.000960,37.643458
1403636579913555456.000000,0.000000,0.000000,26.806031,7.253603,0.111906,3.349902,6.776988,0.000864,38.159177
1403636579963555584.000000,0.000000,0.000000,23.921895,11.452348,0.123202,3.033129,7.199138,0.769354,42.253986
1403636580013555456.000000,0.000000,0.000000,24.296268,10.495312,0.130210,5.657965,8.536213,0.001024,65.791459
1403636580063555584.000000,0.000000,0.000000,25.137079,6.930847,0.135842,4.402396,8.992027,0.001088,47.861742
1403636580113555456.000000,0.000000,0.000000,24.324077,8.433363,0.117410,4.163033,8.574454,0.000928,50.739413
1403636580163555584.000000,0.000000,0.000000,23.119772,7.109857,0.095265,3.427950,9.837830,0.001088,44.685987
1403636580213555456.000000,0.000000,0.000000,24.863764,7.644873,0.105090,2.966633,9.681156,0.607176,47.500970
1403636580263555584.000000,0.000000,0.000000,23.999880,7.388357,0.122882,3.535440,5.121254,0.001120,49.870602
1403636580313555456.000000,0.000000,0.000000,23.409312,7.069761,0.131010,2.794342,5.557804,0.000960,48.135153
1403636580363555584.000000,0.000000,0.000000,23.588771,6.987711,0.131329,3.199755,6.531802,0.000992,47.824301
1403636580413555456.000000,0.000000,0.000000,21.975532,4.636671,0.143010,1.978075,6.796413,0.001056,45.463629
1403636580463555584.000000,0.000000,0.000000,24.778963,7.174114,0.156322,3.358638,6.956895,0.845612,49.722823
1403636580513555456.000000,0.000000,0.000000,22.918681,2.521955,0.092834,6.111444,7.191650,0.001280,38.453102
1403636580563555584.000000,0.000000,0.000000,24.316716,5.637325,0.156482,4.313531,6.815485,0.001216,42.806953
1403636580613555456.000000,0.000000,0.000000,23.793509,6.749629,0.169795,4.282330,6.710652,0.000992,44.808421
1403636580663555584.000000,0.000000,0.000000,22.090670,5.725070,0.082977,3.215660,5.939185,0.001088,40.951183
1403636580713555456.000000,0.000000,0.000000,21.800714,8.381970,0.166562,3.485520,6.165204,1.304082,46.151639
1403636580763555584.000000,0.000000,0.000000,22.460275,6.212085,0.123074,7.853004,9.443873,0.001280,46.564924
1403636580813555456.000000,0.000000,0.000000,22.361266,4.417308,0.092705,4.211865,7.536359,0.000960,42.213345
1403636580863555584.000000,0.000000,0.000000,22.972538,10.153451,0.160707,3.986070,7.641161,0.001024,48.969725
1403636580913555456.000000,0.000000,0.000000,24.209835,10.305965,0.160066,3.706610,8.137968,0.001088,48.064497
1403636580963555584.000000,0.000000,0.000000,21.827147,10.487215,0.150466,3.475216,7.694697,1.277106,47.515689
1403636581013555456.000000,0.000000,0.000000,22.457843,6.457849,0.106593,8.124815,10.415087,0.001216,50.694421
1403636581063555584.000000,0.000000,0.000000,24.069065,9.305695,0.087490,5.175591,8.567765,0.000800,49.421091
1403636581113555456.000000,0.000000,0.000000,23.815174,9.450081,0.093186,5.011620,9.184190,0.000832,49.192257
1403636581163555584.000000,0.000000,0.000000,25.128663,10.450606,0.144770,4.756545,8.888697,0.001024,51.623617
1403636581213555456.000000,0.000000,0.000000,23.370432,11.091703,0.132706,5.260040,9.479266,0.894765,51.074906
1403636581263555584.000000,0.000000,0.000000,22.542612,9.762277,0.136962,6.460121,7.232835,0.001056,55.246291
1403636581313555456.000000,0.000000,0.000000,23.145852,8.745720,0.113569,5.327241,8.761400,0.000768,49.811976
1403636581363555584.000000,0.000000,0.000000,27.807580,8.512692,0.123714,6.085363,9.757893,0.001440,54.605674
1403636581413555456.000000,0.000000,0.000000,24.124586,8.670839,0.131202,4.471741,8.256113,0.000736,51.077146
1403636581463555584.000000,0.000000,0.000000,24.841108,9.717573,0.130977,4.566879,9.938855,0.788267,54.375687
1403636581513555456.000000,0.000000,0.000000,25.565085,6.968384,0.124193,7.182211,9.689604,0.001344,50.477234
1403636581563555584.000000,0.000000,0.000000,23.745060,7.038272,0.126786,5.802607,9.290943,0.001184,49.329762
1403636581613555456.000000,0.000000,0.000000,24.380173,8.252337,0.155938,4.799201,9.311904,0.000928,52.754737
1403636581663555584.000000,0.000000,0.000000,23.021659,7.168002,0.120673,5.344233,10.531600,0.001088,46.996611
1403636581713555456.000000,0.000000,0.000000,24.249643,7.965325,0.143394,3.579953,8.672950,0.573512,51.626913
1403636581763555584.000000,0.000000,0.000000,22.700183,5.662990,0.139873,5.336297,11.375996,0.001344,49.570502
1403636581813555456.000000,0.000000,0.000000,22.873560,6.983327,0.129378,4.776417,11.316475,0.001184,49.151456
1403636581863555584.000000,0.000000,0.000000,23.741061,7.748298,0.136994,4.669824,11.621215,0.001248,49.869641
1403636581913555456.000000,0.000000,0.000000,23.186237,7.759562,0.183907,2.980681,8.613974,0.000864,51.164603
1403636581963555584.000000,0.000000,0.000000,22.553428,6.473337,0.130114,2.897672,8.967163,0.630249,46.047925
1403636582013555456.000000,0.000000,0.000000,22.905529,5.005892,0.150210,5.076806,9.466657,0.001153,49.379746
1403636582063555584.000000,0.000000,0.000000,22.886328,4.409724,0.115010,0.087969,10.653842,0.079041,47.669932
1403636582113555456.000000,0.000000,0.000000,22.691926,7.632713,0.164674,0.086401,12.079653,0.082241,50.986649
1403636582163555584.000000,0.000000,0.000000,23.546434,5.445515,0.155362,0.075041,14.092577,0.826988,44.971910
1403636582213555456.000000,0.000000,0.000000,25.378203,5.926961,0.147362,0.064897,13.723452,0.128482,48.084433
1403636582263555584.000000,0.000000,0.000000,24.603568,6.290710,0.146210,0.069697,13.197172,0.094209,49.843337
1403636582313555456.000000,0.000000,0.000000,24.647153,5.537260,0.142242,0.103234,14.631848,0.093633,45.479117
1403636582363555584.000000,0.000000,0.000000,23.624579,7.027904,0.173954,0.101633,14.976813,0.085825,46.977314
1403636582413555456.000000,0.000000,0.000000,24.429454,7.182018,0.206498,0.101826,15.210255,0.079265,51.437727
1403636582463555584.000000,0.000000,0.000000,22.909529,6.528409,0.146466,0.111650,14.899659,0.088417,47.881294
1403636582513555456.000000,0.000000,0.000000,22.534004,7.737962,0.172706,0.101666,14.435589,0.087809,48.047696
