#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.014848,3,1,0,397
0.004928,4,1,0,537
0.213155,5,1,0,656
0.333765,6,1,0,1120
0.420550,7,1,0,1647
0.662665,8,1,0,2218
0.732906,9,1,0,2607
0.876141,10,1,0,3069
0.838731,0,0,0,0
72.175468,0,0,0,0
1.122128,0,0,0,0
1.086383,0,0,0,0
1.367891,0,0,0,0
1.542709,0,0,0,0
1.988700,0,0,0,0
1.713368,0,0,0,0
1.905594,0,0,0,0
2.112445,0,0,0,0
2.309888,0,0,0,0
2.240191,0,0,0,0
2.585315,0,0,0,0
3.698579,0,0,0,0
4.051961,0,0,0,0
4.115129,0,0,0,0
4.325724,0,0,0,0
4.072984,0,0,0,0
4.208443,0,0,0,0
4.624192,0,0,0,0
4.358493,0,0,0,0
4.483071,0,0,0,0
3.375022,0,0,0,0
3.604882,0,0,0,0
3.930838,0,0,0,0
5.342507,0,0,0,0
4.073913,0,0,0,0
6.433337,0,0,0,0
4.409629,0,0,0,0
7.084515,0,0,0,0
4.309084,0,0,0,0
6.834495,0,0,0,0
4.302588,3,1,0,459
6.244439,4,1,0,582
0.005088,5,1,0,687
0.004833,6,1,0,830
0.395429,7,1,0,967
0.538760,8,1,0,1092
0.703337,9,1,0,1199
0.780939,10,1,0,1338
0.869036,0,0,0,0
0.948014,3,1,0,488
1.068719,4,1,0,633
51.219782,5,1,0,774
1.390131,6,1,0,902
0.004992,7,1,0,1015
0.003200,8,1,0,1128
0.201666,9,1,0,1265
0.249315,10,1,0,1386
0.632649,0,0,0,0
0.817100,3,1,0,684
0.883597,4,1,0,1062
0.892620,5,1,0,1392
1.114191,6,1,0,2101
50.438073,7,1,0,2808
1.116624,8,1,0,3260
0.005376,9,1,0,3857
0.005696,10,1,0,4557
0.346309,0,0,0,0
0.965069,0,0,0,0
1.082255,0,0,0,0
1.109007,0,0,0,0
1.297233,0,0,0,0
1.702136,0,0,0,0
1.560054,0,0,0,0
113.581856,0,0,0,0
1.624470,0,0,0,0
1.842170,0,0,0,0
2.039068,0,0,0,0
2.144509,0,0,0,0
2.395809,0,0,0,0
2.676549,0,0,0,0
2.818727,0,0,0,0
7.102242,0,0,0,0
2.986409,0,0,0,0
7.687370,0,0,0,0
3.897334,0,0,0,0
5.272617,0,0,0,0
5.289481,0,0,0,0
5.224040,0,0,0,0
5.540845,0,0,0,0
5.462092,0,0,0,0
3.587186,0,0,0,0
5.257545,0,0,0,0
4.526110,0,0,0,0
5.750703,0,0,0,0
4.568895,0,0,0,0
7.068834,0,0,0,0
4.637567,0,0,0,0
5.869041,0,0,0,0
5.398794,0,0,0,0
3.914230,0,0,0,0
3.661650,0,0,0,0
3.788213,0,0,0,0
3.778260,0,0,0,0
5.268584,0,0,0,0
5.196808,0,0,0,0
6.006803,0,0,0,0
6.241046,0,0,0,0
6.655868,0,0,0,0
6.940671,0,0,0,0
5.502604,0,0,0,0
8.807226,0,0,0,0
7.001473,0,0,0,0
8.537110,0,0,0,0
4.106136,0,0,0,0
6.157748,0,0,0,0
6.030035,0,0,0,0
4.598335,0,0,0,0
8.799354,0,0,0,0
4.810498,0,0,0,0
9.222687,0,0,0,0
8.953275,0,0,0,0
6.394200,0,0,0,0
6.825630,0,0,0,0
7.537447,0,0,0,0
6.166485,0,0,0,0
8.372275,0,0,0,0
6.548410,0,0,0,0
5.434475,0,0,0,0
18.811747,0,0,0,0
8.399188,0,0,0,0
6.828894,0,0,0,0
5.542221,0,0,0,0
7.423462,0,0,0,0
7.714954,0,0,0,0
5.736079,0,0,0,0
7.567304,0,0,0,0
6.196277,0,0,0,0
6.609531,0,0,0,0
7.636649,0,0,0,0
8.502421,0,0,0,0
10.331534,0,0,0,0
7.533799,0,0,0,0
10.157995,0,0,0,0
9.149918,0,0,0,0
7.726314,0,0,0,0
9.045852,0,0,0,0
13.714716,0,0,0,0
14.004096,0,0,0,0
9.365281,0,0,0,0
13.302583,0,0,0,0
12.120039,0,0,0,0
14.217796,0,0,0,0
9.707365,0,0,0,0
10.436783,0,0,0,0
10.476336,0,0,0,0
12.291592,0,0,0,0
9.270816,0,0,0,0
11.303995,0,0,0,0
11.406012,0,0,0,0
11.905955,0,0,0,0
11.882659,0,0,0,0
8.826489,0,0,0,0
12.101126,0,0,0,0
11.719393,0,0,0,0
11.359580,0,0,0,0
10.828756,0,0,0,0
10.238572,0,0,0,0
10.365166,0,0,0,0
12.801968,0,0,0,0
13.616538,0,0,0,0
16.185246,0,0,0,0
10.466287,0,0,0,0
11.682368,0,0,0,0
10.095786,0,0,0,0
7.429861,0,0,0,0
10.300365,0,0,0,0
9.665797,0,0,0,0
8.020814,0,0,0,0
5.899697,0,0,0,0
5.500620,0,0,0,0
11.190297,0,0,0,0
11.397276,0,0,0,0
6.847070,0,0,0,0
10.415534,0,0,0,0
9.670949,0,0,0,0
8.423412,0,0,0,0
10.048745,0,0,0,0
8.296786,0,0,0,0
8.466292,0,0,0,0
6.276598,0,0,0,0
8.908378,0,0,0,0
8.569750,0,0,0,0
7.804811,0,0,0,0
8.457331,0,0,0,0
8.940314,0,0,0,0
8.518932,0,0,0,0
9.139645,0,0,0,0
8.848953,0,0,0,0
7.225923,0,0,0,0
9.375136,0,0,0,0
12.332712,0,0,0,0
5.835472,0,0,0,0
10.211468,0,0,0,0
8.708151,0,0,0,0
9.466498,0,0,0,0
9.246782,0,0,0,0
6.127636,0,0,0,0
14.814411,0,0,0,0
9.249086,0,0,0,0
13.120980,0,0,0,0
7.881100,0,0,0,0
6.002673,0,0,0,0
6.666811,0,0,0,0
10.270924,0,0,0,0
7.005503,0,0,0,0
3.737747,0,0,0,0
6.059858,0,0,0,0
3.482863,0,0,0,0
4.869859,0,0,0,0
4.201785,0,0,0,0
5.442250,0,0,0,0
7.022176,0,0,0,0
5.448042,0,0,0,0
4.627967,0,0,0,0
6.190037,0,0,0,0
6.028978,0,0,0,0
6.576185,0,0,0,0
7.877196,0,0,0,0
8.543317,0,0,0,0
6.636634,0,0,0,0
