#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.003578,0.012992,0.157443,0.009856,0.009856,9.190557
9.301055,0.111714,1.048590,0.004256,0.004256,10.470095
9.558179,0.238755,5.735214,0.243299,0.243299,27.063665
10.052681,0.287588,15.546195,0.363877,0.363877,65.495932
11.129720,0.391173,15.203247,0.697833,0.697833,60.165076
11.898627,0.384677,16.821381,0.966317,0.966317,69.067598
12.586380,0.433158,24.557326,0.657001,0.657001,82.821353
12.298632,0.375493,20.806140,1.250545,1.250545,83.833335
12.657261,0.296708,22.499187,1.282001,1.282001,91.010137
14.048735,0.211043,30.768068,77.174524,77.174524,179.059369
14.940620,0.270180,31.316139,1.427859,1.427859,89.039806
15.448467,0.290531,30.005146,1.236593,1.236593,95.118129
14.874763,0.355173,33.657931,1.542101,1.542101,106.717135
17.601872,0.355205,43.230253,1.964923,1.964923,130.050541
19.361256,0.364613,37.426430,1.809144,1.809144,130.640245
20.530840,0.297508,25.623453,2.418369,2.418369,114.335607
9.891623,0.166307,25.220663,2.181310,2.181310,143.643655
10.031113,0.164034,24.374061,2.475906,2.475906,137.452146
9.694276,0.282692,30.640834,2.575715,2.575715,151.635347
9.463777,0.177442,38.221385,2.579715,2.579715,179.521487
14.547014,0.196163,43.672019,2.640804,2.640804,156.681624
15.479795,0.255044,44.816067,3.388398,3.388398,169.083489
15.322609,0.283108,42.083582,3.475376,3.475376,157.372962
13.765084,0.265700,38.351659,3.700723,3.700723,153.104360
10.544720,0.168770,26.257158,3.909270,3.909270,148.429928
9.708453,0.195330,25.453947,3.819860,3.819860,127.399849
12.396425,0.225699,31.076808,3.701331,3.701331,332.836090
13.988991,0.335556,32.275896,3.752755,3.752755,139.775986
12.505546,0.205763,32.263192,3.715667,3.715667,138.497760
14.884298,0.343429,45.295498,3.540304,3.540304,157.880264
11.415291,0.188771,28.172576,3.566897,3.566897,135.405494
11.456284,0.209731,28.575270,2.734214,2.734214,136.540454
16.340991,0.362821,46.838655,4.438749,4.438749,193.874420
25.064373,0.400902,64.520816,3.083658,3.083658,208.236311
18.808352,0.257444,55.271057,3.482543,3.482543,201.284376
16.968359,0.331845,42.009757,4.902723,4.902723,184.258416
16.284990,0.320901,36.207629,4.746689,4.746689,171.246303
14.978156,0.221347,34.195602,6.187508,6.187508,170.358643
14.769161,0.213315,31.756881,3.110698,3.110698,152.403326
18.066230,0.205443,46.669340,5.559116,5.559116,184.983514
17.126345,0.191811,50.282829,2.884392,2.884392,183.587303
