#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403715886584058112.000000,0.000000,0.000000,23.774450,2.678022,0.004800,11.811079,4.685379,0.003232,31.036152
1403715886634057984.000000,0.000000,0.000000,21.565618,2.612165,0.091489,2.901290,3.594899,0.001024,28.370931
1403715886684058112.000000,0.000000,0.000000,20.709382,3.322959,0.091234,3.227181,4.828389,0.001184,28.173712
1403715886734057984.000000,0.000000,0.000000,21.857878,5.375244,0.120386,3.231214,4.131163,0.001120,31.317789
1403715886784058112.000000,0.000000,0.000000,18.695945,5.458446,0.124354,3.380144,4.115386,1.702936,28.768248
1403715886834057984.000000,0.000000,0.000000,22.938725,5.805970,0.122978,11.645765,8.846781,0.001664,33.068886
1403715886884058112.000000,0.000000,0.000000,21.485489,5.405261,0.119106,5.591887,8.678587,0.000896,31.413694
1403715886934057984.000000,0.000000,0.000000,21.596946,5.354028,0.118146,6.460732,8.990816,0.001536,31.323101
1403715886984058112.000000,0.000000,0.000000,19.999804,3.310575,0.099746,6.417275,8.053331,0.001024,27.803178
1403715887034057984.000000,0.000000,0.000000,23.638575,5.382253,0.119842,5.049159,7.482923,0.937549,33.419578
1403715887084058112.000000,0.000000,0.000000,22.203227,5.423117,0.122210,9.281252,8.370743,0.001248,32.002374
1403715887134057984.000000,0.000000,0.000000,22.504959,5.336108,0.123265,5.999029,7.658156,0.000960,32.450509
1403715887184058112.000000,0.000000,0.000000,21.587730,5.415917,0.119874,6.250264,8.652603,0.001184,31.318396
1403715887234057984.000000,0.000000,0.000000,21.053867,5.325963,0.125698,5.541039,9.005983,0.001152,30.544178
1403715887284058112.000000,0.000000,0.000000,20.114749,5.434573,0.124386,5.796850,9.159714,0.972654,29.955817
1403715887334057984.000000,0.000000,0.000000,20.190911,5.598543,0.123330,9.692457,9.613769,0.001632,30.167820
1403715887384058112.000000,0.000000,0.000000,21.059851,5.293163,0.120001,5.365068,7.656717,0.001056,30.624819
1403715887434057984.000000,0.000000,0.000000,21.886902,5.596304,0.118658,5.524238,9.375141,0.001376,31.600257
1403715887484058112.000000,0.000000,0.000000,21.248525,5.052551,0.120450,5.848947,9.648681,0.001280,30.664179
1403715887534057984.000000,0.000000,0.000000,21.142700,5.705873,0.126498,6.142775,10.674999,1.177777,31.292316
1403715887584058112.000000,0.000000,0.000000,19.335538,2.447970,0.062049,8.514169,9.861388,0.001632,25.582155
1403715887634057984.000000,0.000000,0.000000,21.708948,5.425613,0.126018,6.947522,10.682392,0.000992,31.515008
1403715887684058112.000000,0.000000,0.000000,21.244909,2.384450,0.062561,6.006166,11.335681,0.000992,27.512199
1403715887734057984.000000,0.000000,0.000000,19.805305,5.703729,0.121889,5.032455,10.479733,0.001088,30.037259
1403715887784058112.000000,0.000000,0.000000,21.050187,5.454061,0.122977,5.556111,12.155501,0.758795,30.811574
1403715887834057984.000000,0.000000,0.000000,21.150445,5.598575,0.124322,8.532473,12.618707,0.001664,31.165755
1403715887884058112.000000,0.000000,0.000000,22.541632,5.253258,0.128482,6.847202,12.650835,0.001280,32.209162
1403715887934057984.000000,0.000000,0.000000,20.735366,5.529743,0.122753,5.792019,12.008746,0.001120,30.536882
1403715887984058112.000000,0.000000,0.000000,19.954940,5.281771,0.124226,5.520814,12.205294,0.001312,29.576740
1403715888034057984.000000,0.000000,0.000000,20.968265,5.503950,0.123330,4.776868,12.003115,0.709034,30.679155
1403715888084058112.000000,0.000000,0.000000,21.861654,2.376610,0.064064,7.403657,13.417662,0.001664,28.212305
1403715888134057984.000000,0.000000,0.000000,22.455199,5.613071,0.127778,5.213002,12.924152,0.001312,32.606734
1403715888184058112.000000,0.000000,0.000000,20.814151,5.719090,0.127298,5.380524,12.191693,0.001121,30.850710
1403715888234057984.000000,0.000000,0.000000,20.129085,5.401164,0.121505,5.718961,12.167341,0.000992,29.708774
1403715888284058112.000000,0.000000,0.000000,20.844168,5.443150,0.123201,5.492782,11.420578,1.002383,30.775285
1403715888334057984.000000,0.000000,0.000000,21.132844,5.672112,0.124737,10.755097,13.959558,0.001760,31.300541
