#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.014528,3,1,0,1340
0.005088,4,1,0,1821
0.717066,5,1,0,2507
0.944781,6,1,0,3070
1.401716,7,1,0,3505
1.328499,8,1,0,3958
1.228818,9,1,0,4454
1.850074,10,1,0,4787
1.935547,0,0,0,0
105.689903,0,0,0,0
2.607045,0,0,0,0
3.143052,0,0,0,0
3.232814,0,0,0,0
3.769557,0,0,0,0
3.944087,0,0,0,0
4.476639,0,0,0,0
4.902213,0,0,0,0
5.065192,0,0,0,0
5.495341,0,0,0,0
5.561102,0,0,0,0
6.761247,0,0,0,0
8.458935,0,0,0,0
7.640236,0,0,0,0
7.782766,0,0,0,0
8.019345,0,0,0,0
7.277094,0,0,0,0
7.739564,0,0,0,0
7.628012,0,0,0,0
7.257670,0,0,0,0
7.221638,0,0,0,0
6.856256,0,0,0,0
5.942740,0,0,0,0
1.753881,0,0,0,0
1.464469,0,0,0,0
1.632823,0,0,0,0
2.234303,0,0,0,0
3.311951,0,0,0,0
2.380865,0,0,0,0
3.666099,0,0,0,0
2.610565,0,0,0,0
3.014603,0,0,0,0
3.984696,0,0,0,0
4.721283,0,0,0,0
5.747889,0,0,0,0
3.868119,0,0,0,0
3.968408,0,0,0,0
4.440350,0,0,0,0
5.343179,0,0,0,0
4.888900,0,0,0,0
4.460895,0,0,0,0
14.704687,0,0,0,0
3.968152,0,0,0,0
8.742011,0,0,0,0
6.143799,0,0,0,0
5.988565,0,0,0,0
7.195301,0,0,0,0
7.327975,0,0,0,0
4.436767,0,0,0,0
5.868979,0,0,0,0
6.158103,0,0,0,0
3.657267,0,0,0,0
15.514202,0,0,0,0
2.856168,0,0,0,0
2.244479,0,0,0,0
5.532750,0,0,0,0
3.362960,0,0,0,0
4.275676,0,0,0,0
3.557650,0,0,0,0
2.780711,0,0,0,0
1.826650,0,0,0,0
1.807737,0,0,0,0
4.312445,0,0,0,0
2.237439,0,0,0,0
4.368253,0,0,0,0
4.638337,0,0,0,0
4.898373,0,0,0,0
2.470914,0,0,0,0
2.890376,0,0,0,0
1.577174,0,0,0,0
2.845320,0,0,0,0
2.741479,0,0,0,0
4.021433,0,0,0,0
1.407188,0,0,0,0
4.223131,0,0,0,0
5.857202,0,0,0,0
5.644751,0,0,0,0
6.046645,0,0,0,0
4.677186,0,0,0,0
8.275636,0,0,0,0
8.473271,0,0,0,0
7.833070,0,0,0,0
8.285781,0,0,0,0
8.857756,0,0,0,0
5.448844,0,0,0,0
6.386873,0,0,0,0
4.997990,0,0,0,0
7.764877,0,0,0,0
7.360328,0,0,0,0
6.748606,0,0,0,0
4.938501,0,0,0,0
8.197300,0,0,0,0
6.169495,0,0,0,0
5.571567,0,0,0,0
8.795644,0,0,0,0
10.154991,0,0,0,0
9.192129,0,0,0,0
9.541222,0,0,0,0
11.463937,0,0,0,0
10.397010,0,0,0,0
10.634358,0,0,0,0
9.539495,0,0,0,0
9.975084,0,0,0,0
7.715341,0,0,0,0
9.592679,0,0,0,0
9.730953,0,0,0,0
12.402895,0,0,0,0
11.276415,0,0,0,0
