#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.505463,0.213507,2.270460,0.015360,0.015360,12.016950
7.617567,0.220451,2.894084,0.003584,0.003584,10.739430
8.560299,0.366021,5.076607,0.591431,0.591431,60.409778
9.226547,0.392357,9.286131,0.997485,0.997485,61.964261
9.640216,0.263715,10.492867,1.457010,1.457010,66.029208
15.895015,0.437413,22.602650,2.145914,2.145914,118.157186
16.589199,0.421253,27.118099,2.736802,2.736802,118.150850
12.397850,0.346213,19.912024,3.104359,3.104359,123.516165
11.185772,0.369380,20.784516,3.117927,3.117927,120.944261
18.520903,0.481894,37.893625,101.888599,101.888599,240.681755
19.111471,0.468710,34.575119,4.655162,4.655162,125.223835
21.114887,0.573415,43.873412,4.804636,4.804636,145.978941
21.499788,0.636776,47.901238,5.818089,5.818089,159.395237
22.365431,0.587911,51.749222,6.141677,6.141677,180.528941
20.119163,0.611784,37.703734,6.965942,6.965942,148.362939
16.557327,0.399717,42.474450,7.864066,7.864066,192.215647
11.701650,0.356708,48.221370,8.583147,8.583147,196.017230
16.292811,0.471558,43.078394,8.497002,8.497002,188.340686
16.412269,0.400773,45.692698,9.977308,9.977308,454.593226
29.046122,0.606312,58.083253,10.749510,10.749510,221.459372
29.893269,0.577063,65.596979,11.628049,11.628049,250.121970
21.075815,0.382820,47.462097,14.269874,14.269874,214.016495
24.807702,0.433157,50.444246,13.383431,13.383431,215.987208
19.412435,0.388484,49.502954,12.482812,12.482812,209.404374
27.211252,0.612455,65.048716,12.631166,12.631166,255.216274
16.032456,0.442886,41.985260,14.983803,14.983803,212.282298
18.013793,0.461989,49.363081,14.199666,14.199666,223.328708
15.300159,0.471974,47.139277,14.275186,14.275186,215.046557
18.558632,0.525734,45.868829,14.248402,14.248402,215.079805
25.360477,0.627464,67.683437,12.472476,12.472476,261.323903
14.077840,0.491142,36.404230,13.096803,13.096803,196.727544
12.724351,0.459973,34.073450,12.933634,12.933634,196.089488
12.948609,0.485062,34.516463,13.809740,13.809740,195.264549
20.427263,0.728682,55.387443,10.321025,10.321025,220.787813
20.329438,0.742153,60.421555,11.125355,11.125355,252.415920
21.573325,0.678857,57.985204,12.327450,12.327450,253.317115
15.035996,0.529158,38.798533,12.364923,12.364923,200.124035
17.349176,0.526471,51.876296,11.975030,11.975030,229.075340
21.108808,0.711144,59.097634,12.334266,12.334266,252.974647
16.643056,0.631912,41.722089,13.000611,13.000611,211.943895
12.206264,0.622536,36.487784,12.753503,12.753503,200.122595
12.262169,0.657257,35.900320,10.098526,10.098526,195.673644
12.774848,0.596807,33.440386,11.881204,11.881204,200.090883
10.738278,0.463397,27.385014,11.370798,11.370798,181.724445
13.479529,0.554311,33.254495,12.666782,12.666782,203.408429
11.353678,0.495942,29.307438,9.169299,9.169299,174.644326
15.907495,0.624008,39.179241,12.151800,12.151800,199.627678
9.378101,0.475782,37.316530,8.827311,8.827311,186.065908
13.841709,0.521830,36.149124,11.547600,11.547600,224.043182
9.479767,0.475270,32.626935,9.088209,9.088209,179.883559
9.750522,0.541574,24.852151,11.930421,11.930421,172.493834
9.169490,0.425062,23.128833,8.903439,8.903439,160.576181
9.477558,0.451366,23.995564,10.803943,10.803943,170.763765
14.001262,0.727914,36.282725,8.059972,8.059972,189.232539
13.053283,0.716329,33.888711,11.834548,11.834548,435.766659
9.357781,0.610632,23.120160,8.515594,8.515594,165.884280
13.186053,0.780170,35.605340,8.698156,8.698156,198.539664
11.396815,0.718089,30.188857,9.260372,9.260372,197.991402
10.691814,0.761001,28.059519,9.114162,9.114162,200.205029
10.161087,0.680808,27.496088,7.913347,7.913347,193.351951
10.654149,0.678249,29.188845,10.078206,10.078206,202.212574
9.110194,0.705705,26.919280,9.186483,9.186483,194.727457
9.016177,0.796778,27.603673,11.811571,11.811571,203.803090
7.664320,0.786889,22.342712,8.103973,8.103973,177.634187
9.535896,0.938923,28.334914,12.084183,12.084183,193.432401
8.475209,0.892460,25.628192,8.643756,8.643756,194.598847
5.862794,0.822442,15.730628,6.880118,6.880118,168.089780
6.738868,1.074445,19.496852,6.465201,6.465201,179.081981
9.842491,1.071629,24.872055,8.943824,8.943824,205.656297
13.344519,1.013069,37.815832,6.944407,6.944407,214.795516
13.913901,1.245680,39.972723,8.966896,8.966896,219.734105
11.984502,1.034157,36.297125,8.106053,8.106053,213.338250
14.341748,0.971564,37.990874,6.256622,6.256622,217.107641
10.589604,0.628808,27.856092,6.897270,6.897270,200.870862
10.929865,0.717897,31.034084,7.153721,7.153721,202.214079
15.540386,0.544039,27.425815,5.557381,5.557381,204.378298
16.771666,0.651400,45.510489,6.043564,6.043564,228.319718
17.234519,0.756682,43.369982,7.386428,7.386428,224.285267
12.171128,0.618344,40.470298,7.563902,7.563902,253.430015
16.136746,0.568359,34.347726,9.886651,9.886651,219.369654
9.805179,0.533606,26.020422,8.782830,8.782830,200.724813
9.489078,0.533863,38.968167,11.536944,11.536944,245.225081
18.166531,0.946444,53.474236,6.613331,6.613331,247.776793
18.765514,0.877803,47.197262,10.080414,10.080414,251.844524
18.492071,0.789162,54.422569,7.885219,7.885219,258.824708
15.439745,0.638152,38.527778,11.499152,11.499152,232.638429
19.429363,0.815370,54.145349,9.308276,9.308276,256.399109
13.653515,0.591271,34.263085,10.093662,10.093662,220.928970
