#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
8.953758,0.050561,0.584872,0.014944,0.014944,9.615336
9.816043,0.187554,1.965564,0.005056,0.005056,11.979049
10.412018,0.315813,7.066659,0.523527,0.523527,38.384061
10.708247,0.443366,14.425068,0.672170,0.672170,65.757471
6.070261,0.285284,10.293553,0.312517,0.312517,37.265805
6.380858,0.247779,6.906946,0.618697,0.618697,38.323612
6.184151,0.304997,7.903311,0.813899,0.813899,48.846833
10.776920,0.455655,13.724129,1.603319,1.603319,70.890503
11.923784,0.332517,20.401983,1.508629,1.508629,80.502830
10.871865,0.401126,29.909317,39.714639,39.714639,127.443427
12.653842,0.483303,38.941188,1.913755,1.913755,97.937859
12.989911,0.623753,32.131141,1.583575,1.583575,96.014633
13.242074,0.416358,28.232494,1.949819,1.949819,89.123239
13.994117,0.423526,30.853459,2.165887,2.165887,98.861937
8.769947,0.215075,18.525541,2.060157,2.060157,74.512537
13.051384,0.262532,24.891839,2.753191,2.753191,99.953601
14.028742,0.302948,36.785927,2.337089,2.337089,127.448772
14.683758,0.279972,37.929239,3.120076,3.120076,136.098013
15.215286,0.435814,43.794953,3.019467,3.019467,122.225626
16.209957,0.536071,35.667031,3.442225,3.442225,129.217917
17.008368,0.655689,46.599633,3.367631,3.367631,141.039619
13.712513,0.335205,30.101096,4.174875,4.174875,129.834565
15.919776,0.433606,37.937431,4.140314,4.140314,133.495096
15.615932,0.185251,34.440005,4.305116,4.305116,128.174190
17.478230,0.332325,48.416938,4.616705,4.616705,241.110853
16.462088,0.402022,55.856211,4.655393,4.655393,148.064966
18.143167,0.506951,47.695200,4.592449,4.592449,145.040763
17.072977,0.399686,33.476119,4.312893,4.312893,135.366548
16.177571,0.350789,32.361160,4.310269,4.310269,129.544193
16.074338,0.271588,30.058599,4.460703,4.460703,134.157410
14.688335,0.215075,29.893093,4.273276,4.273276,131.637566
16.288774,0.362245,48.699470,3.848790,3.848790,143.942028
16.968527,0.339429,48.563084,6.072149,6.072149,146.811892
14.345898,0.490663,42.504886,4.433119,4.433119,146.310509
18.537605,0.765995,47.655904,7.643019,7.643019,162.699316
17.281300,0.659401,42.949373,4.351581,4.351581,148.287530
16.935054,0.304037,39.546285,5.543599,5.543599,148.969907
15.406649,0.314820,42.579256,6.067478,6.067478,158.703548
10.163471,0.183458,21.519696,6.105206,6.105206,120.680580
7.147589,0.220675,15.786302,5.990421,5.990421,95.952328
7.123844,0.217731,15.083701,4.006169,4.006169,91.442120
7.727181,0.296548,18.158560,5.138344,5.138344,102.395234
9.700872,0.085217,0.943534,0.005344,0.005344,10.738839
10.294385,0.310692,2.796488,0.005088,0.005088,13.409885
10.285393,0.518535,3.890487,0.631945,0.631945,38.883716
11.434529,0.541832,6.092278,1.196368,1.196368,39.278250
6.322265,0.260164,7.084260,0.778411,0.778411,22.957892
6.555004,0.202403,3.753205,0.992302,0.992302,38.630848
4.511104,0.239587,3.433072,1.089071,1.089071,34.176322
11.662149,0.472902,29.288477,1.967100,1.967100,84.820235
11.951305,0.554471,32.190790,1.617815,1.617815,99.509178
12.024105,0.842124,34.660008,84.029728,84.029728,181.929283
11.973000,0.811532,29.553248,1.436852,1.436852,80.146441
12.494736,0.721002,37.413487,2.008317,2.008317,97.303291
12.456400,0.632745,36.022171,1.925051,1.925051,99.315575
13.027671,0.456999,30.759857,2.019485,2.019485,95.048987
12.809492,0.522536,33.460119,2.191711,2.191711,98.547020
10.603478,0.497607,28.528018,2.779559,2.779559,92.890013
9.590983,0.473159,27.673670,2.643717,2.643717,90.379705
9.689544,0.492551,29.903877,2.942473,2.942473,97.569438
9.670952,0.409094,28.259502,2.914793,2.914793,99.487929
11.123965,0.393638,25.901325,2.845096,2.845096,123.912114
12.556561,0.431174,26.847675,3.426608,3.426608,109.240355
7.730701,0.270788,16.152451,4.803043,4.803043,91.741772
9.247843,0.298628,26.130000,5.088999,5.088999,102.845513
14.859858,0.444998,36.374560,4.577057,4.577057,136.809160
15.568284,0.452998,38.733442,4.177818,4.177818,135.588150
15.827263,0.391366,49.783773,4.396893,4.396893,142.178356
16.280902,0.494919,49.283638,5.422956,5.422956,321.304143
8.527961,0.359365,19.046860,4.614305,4.614305,94.406003
8.054802,0.277187,19.203119,4.180507,4.180507,93.029663
15.538459,0.615785,39.564077,4.270204,4.270204,138.266172
12.840981,0.371269,31.443707,4.022137,4.022137,129.298046
15.389241,0.723722,47.194745,4.518111,4.518111,138.871428
12.456784,0.423718,37.126475,4.029273,4.029273,124.543131
12.747156,0.503015,35.186160,4.325629,4.325629,122.063000
12.308174,0.394117,31.587709,4.108058,4.108058,118.081920
12.136971,0.299333,32.361736,3.646228,3.646228,119.256017
12.595377,0.348101,36.302144,4.127066,4.127066,118.577222
12.660274,0.368741,35.431124,3.126540,3.126540,116.904399
12.939703,0.403621,36.188670,4.426302,4.426302,123.722703
11.685477,0.452166,36.592676,4.099386,4.099386,116.486857
11.134269,0.429190,40.733758,3.580243,3.580243,125.279365
13.735009,0.637673,39.707344,4.414270,4.414270,133.141267
12.688275,0.686249,38.979845,4.486975,4.486975,129.018554
11.159325,0.632393,37.576401,4.249340,4.249340,126.307315
12.068138,0.742890,34.526279,4.338653,4.338653,130.504494
12.809748,0.676170,30.764145,4.332253,4.332253,127.735623
13.348124,0.697642,33.395543,2.626949,2.626949,128.293744
12.817076,0.659722,45.128827,2.881161,2.881161,123.496460
12.789300,0.686058,47.117592,3.991352,3.991352,124.902784
12.431535,0.781643,49.282262,4.869477,4.869477,126.076304
11.939208,0.717226,49.372952,4.742371,4.742371,128.653685
11.848551,0.701578,45.659555,3.075787,3.075787,115.729534
7.360871,0.342725,24.922239,3.296399,3.296399,86.513603
8.616153,0.311077,24.250261,3.667124,3.667124,77.649094
11.989897,0.390630,31.824288,4.521312,4.521312,122.845507
12.261933,0.409637,35.527317,3.107212,3.107212,90.870944
10.533620,0.376197,35.108431,3.529618,3.529618,114.450700
5.530830,0.264388,14.358634,3.495921,3.495921,78.201326
8.957022,0.337349,26.266642,3.388207,3.388207,100.627753
8.788892,0.343621,25.448614,2.658789,2.658789,98.391402
7.700813,0.378757,34.067456,5.118056,5.118056,141.497130
7.680300,0.381349,28.500946,2.795303,2.795303,128.569747
7.996433,0.377221,21.931253,4.297116,4.297116,96.817556
8.128146,0.406918,21.537200,4.298429,4.298429,97.661760
7.957936,0.447590,17.629657,5.040839,5.040839,94.162062
7.536298,0.352229,19.061101,3.801206,3.801206,93.095552
7.322983,0.312133,26.411572,4.986087,4.986087,142.415767
6.997122,0.352485,19.606709,4.252700,4.252700,92.926589
7.820622,0.379237,20.569762,3.130188,3.130188,93.283714
7.590507,0.390885,22.929091,3.350832,3.350832,96.744595
7.324935,0.362053,21.660050,5.319083,5.319083,97.363772
7.053508,0.354373,23.747534,3.879543,3.879543,82.375497
8.888734,0.395365,30.651056,4.233371,4.233371,129.968263
13.255162,0.634793,43.138944,4.366270,4.366270,133.095475
13.366461,0.466630,40.622332,4.640449,4.640449,141.315783
14.241065,0.465414,42.893277,4.760099,4.760099,132.941617
15.687581,0.620841,60.643222,6.436314,6.436314,158.352471
11.147645,0.347941,36.237887,6.186487,6.186487,133.005778
12.847733,0.554664,41.885550,6.001333,6.001333,128.455570
13.736194,0.634921,44.667829,4.153691,4.153691,133.404280
13.642720,0.610793,44.291216,4.067578,4.067578,135.065807
14.249992,0.666570,44.793783,3.642259,3.642259,137.825877
11.682981,0.537159,37.591154,3.575794,3.575794,130.227499
14.269833,0.589384,44.082989,3.943223,3.943223,138.562624
13.057880,0.498215,40.262072,6.469691,6.469691,136.688454
13.936132,0.564008,44.602740,6.683487,6.683487,142.084594
14.140104,0.526983,45.707524,6.363130,6.363130,142.399095
13.179001,0.450695,41.563401,6.755903,6.755903,151.571703
8.430135,0.333668,27.903241,8.230548,8.230548,125.987215
10.998011,0.379237,31.394843,3.808310,3.808310,123.325866
10.246640,0.319428,28.879959,5.698737,5.698737,126.499574
10.713047,0.387110,33.870621,3.609267,3.609267,124.936449
11.060860,0.361285,35.482100,5.343883,5.343883,130.679825
11.704613,0.401062,35.914394,5.923156,5.923156,131.796705
11.827367,0.271684,35.776568,3.348943,3.348943,133.034482
12.285837,0.239780,36.397793,4.326141,4.326141,96.433647
11.861575,0.189826,33.428503,4.790052,4.790052,137.689428
12.405519,0.181507,42.760634,5.900915,5.900915,142.708027
12.383310,0.137154,39.034790,4.396542,4.396542,137.771765
12.308430,0.190051,39.465996,4.577313,4.577313,141.473706
12.721107,0.098594,38.148985,5.637391,5.637391,141.044931
12.796597,0.108449,40.349657,5.079080,5.079080,150.443144
12.548112,0.081858,37.841365,5.420205,5.420205,141.387592
12.857621,0.075329,38.996069,5.157832,5.157832,164.155912
12.883510,0.071937,40.146549,5.495470,5.495470,148.618894
12.837493,0.055137,34.714089,4.720066,4.720066,150.825325
11.050332,0.051713,14.830448,5.165833,5.165833,130.021512
6.515260,0.067201,19.411089,5.021638,5.021638,105.209738
6.785760,0.056640,15.930177,3.459281,3.459281,91.915055
12.853621,0.213155,31.775551,6.954210,6.954210,141.891279
12.720595,0.057089,39.967955,4.405662,4.405662,147.086137
12.353742,0.047104,31.993187,4.629153,4.629153,137.933975
13.015704,0.081313,35.723767,5.303819,5.303819,141.624748
12.623442,0.106913,34.584328,5.277067,5.277067,145.840967
12.125803,0.079041,30.942388,4.998151,4.998151,194.648343
11.263999,0.075361,27.949482,5.340267,5.340267,122.897540
13.194970,0.141058,32.176390,4.027353,4.027353,139.358476
12.766900,0.084801,30.992437,4.831780,4.831780,138.430590
12.699283,0.051969,27.792519,4.857412,4.857412,126.550519
13.390781,0.136130,31.516924,4.927814,4.927814,139.645936
13.475998,0.105314,31.603229,5.080519,5.080519,138.473343
12.909526,0.057729,32.020835,5.371756,5.371756,139.969940
13.644961,0.084737,33.450743,5.478765,5.478765,140.573981
13.309723,0.143234,32.357768,4.269148,4.269148,138.351261
13.767074,0.104961,25.422374,5.190409,5.190409,137.151948
12.926646,0.062081,24.786365,4.588673,4.588673,144.802616
13.885955,0.078401,26.396244,5.655536,5.655536,163.231964
7.173349,0.055937,15.106645,5.493485,5.493485,126.981117
7.077668,0.070305,14.974003,6.043253,6.043253,126.260371
6.866976,0.115554,15.012692,5.713041,5.713041,64.750544
6.966466,0.089697,15.469146,9.540678,9.540678,117.692506
6.997795,0.086593,23.671181,8.406134,8.406134,81.912866
7.055267,0.100449,15.262007,10.758135,10.758135,121.713394
6.925057,0.181955,13.310043,4.989510,4.989510,257.631885
8.348246,0.178691,22.145752,5.661871,5.661871,100.859661
6.912577,0.138242,18.247937,7.248934,7.248934,94.860088
13.647488,0.390150,49.871774,6.198296,6.198296,147.054904
13.923525,0.293284,40.343224,7.636907,7.636907,143.207970
13.582495,0.384518,46.705554,7.108900,7.108900,146.311949
12.866678,0.349572,53.717333,5.596623,5.596623,158.734269
12.668595,0.418534,57.166501,8.286613,8.286613,159.398374
11.754821,0.528648,56.997571,4.032472,4.032472,188.145082
12.823860,0.910925,54.957351,4.246940,4.246940,160.197137
13.454590,1.069679,56.834240,4.267900,4.267900,164.461165
13.793763,0.812555,55.210410,5.978164,5.978164,166.071172
7.678860,0.495815,25.784747,5.148361,5.148361,123.013445
14.199976,0.883916,52.498020,5.864210,5.864210,165.260536
14.977331,0.707786,55.208362,7.980784,7.980784,190.364250
15.127381,0.688169,56.969091,7.957648,7.957648,198.183656
11.927272,0.663561,42.310228,6.626590,6.626590,159.609033
13.937604,0.799756,53.208109,8.437559,8.437559,188.125051
15.098677,0.796171,54.957991,8.534584,8.534584,187.993593
15.140789,0.845708,57.505898,10.269521,10.269521,196.671891
14.541421,0.948333,56.842881,5.833523,5.833523,194.080591
15.005780,1.209553,55.541806,5.796465,5.796465,192.006002
15.416761,1.055567,56.861954,6.410299,6.410299,194.061039
14.423564,0.952909,60.123023,8.488855,8.488855,200.769165
15.165750,0.936557,56.524125,6.182871,6.182871,197.820996
11.175613,0.707626,41.823181,6.073398,6.073398,188.151355
15.987458,1.017358,58.467224,10.165360,10.165360,208.386777
8.351189,0.612169,43.336834,9.394468,9.394468,190.244376
12.739123,0.492903,43.065855,9.497637,9.497637,243.771402
16.541546,0.852300,58.681626,9.832779,9.832779,225.873743
16.834894,0.915181,51.447540,8.325141,8.325141,217.645115
16.672747,0.834156,51.735481,9.486374,9.486374,222.321629
15.095348,0.657513,37.639443,8.797084,8.797084,211.776455
16.944847,0.868108,46.831412,7.934768,7.934768,219.000590
17.191762,0.758827,51.271506,10.870521,10.870521,230.344621
16.722891,0.834508,52.546404,11.158942,11.158942,235.770746
