#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403636858651666432.000000,0.000000,0.000000,31.041813,2.901353,0.004640,11.668165,4.033496,0.003008,38.119993
1403636858701666560.000000,0.000000,0.000000,23.753903,3.240206,0.082369,2.652390,3.519473,0.001248,30.889971
1403636858751666432.000000,0.000000,0.000000,23.910033,2.967658,0.075905,2.660646,3.575858,0.001152,30.692688
1403636858801666560.000000,0.000000,0.000000,24.790013,2.154014,0.058497,2.583620,3.307599,0.001216,30.699985
1403636858851666432.000000,0.000000,0.000000,24.472217,5.404268,0.117761,2.619524,3.762869,1.036174,34.282499
1403636858901666560.000000,0.000000,0.000000,25.595369,5.892179,0.126626,6.199095,5.808850,0.001408,36.032828
1403636858951666432.000000,0.000000,0.000000,23.939921,6.209912,0.119714,4.443198,5.861491,0.001088,34.339076
1403636859001666560.000000,0.000000,0.000000,23.340265,6.005909,0.131970,3.732436,7.039619,0.001280,33.814973
1403636859051666432.000000,0.000000,0.000000,25.163714,6.052886,0.118274,3.910391,5.780113,0.001056,36.632644
1403636859101666560.000000,0.000000,0.000000,25.930541,6.172887,0.129250,3.302831,6.490555,1.062063,52.666086
1403636859151666432.000000,0.000000,0.000000,24.414648,4.611393,0.196547,7.475722,6.965634,0.001312,40.217750
1403636859201666560.000000,0.000000,0.000000,26.646136,6.791456,0.132386,3.965944,6.143255,0.000896,43.898250
1403636859251666432.000000,0.000000,0.000000,25.186595,6.835456,0.126658,4.053113,6.729599,0.001024,42.846779
1403636859301666560.000000,0.000000,0.000000,26.276818,7.477450,0.132065,3.178093,6.169015,0.001056,45.368127
1403636859351666432.000000,0.000000,0.000000,24.845438,7.779213,0.138786,2.765255,6.533148,1.255889,49.122804
1403636859401666560.000000,0.000000,0.000000,21.361069,7.799470,0.141250,6.483867,8.126163,0.001440,43.758985
1403636859451666432.000000,0.000000,0.000000,24.929600,8.492376,0.100001,4.230012,6.301177,0.000928,48.734222
1403636859501666560.000000,0.000000,0.000000,23.124678,7.984784,0.145250,2.059357,3.886358,0.001344,45.330078
1403636859551666432.000000,0.000000,0.000000,25.365829,8.735515,0.141954,1.898043,7.477929,0.000672,49.840798
1403636859601666560.000000,0.000000,0.000000,22.740384,8.378678,0.108961,1.994588,3.428880,0.437031,50.090721
1403636859651666432.000000,0.000000,0.000000,24.271094,7.409320,0.111841,2.953226,7.232806,0.000736,46.211883
1403636859701666560.000000,0.000000,0.000000,25.373350,8.823132,0.135458,2.269695,3.662740,0.000608,49.250742
1403636859751666432.000000,0.000000,0.000000,21.798163,9.091744,0.107777,2.416034,3.992920,0.001024,44.713270
1403636859801666560.000000,0.000000,0.000000,25.745739,10.149423,0.144514,2.480867,3.518802,0.000640,50.786252
1403636859851666432.000000,0.000000,0.000000,24.669371,8.780668,0.091234,2.094046,3.815445,0.419686,52.439459
1403636859901666560.000000,0.000000,0.000000,23.280264,7.969681,0.122146,3.220333,4.169851,0.000640,46.015528
1403636859951666432.000000,0.000000,0.000000,21.495791,4.518112,0.084033,0.941101,2.278656,0.000544,35.368626
1403636860001666560.000000,0.000000,0.000000,23.599180,3.970584,0.079937,0.564584,4.085177,0.000704,43.880394
1403636860051666432.000000,0.000000,0.000000,38.625953,4.017048,0.076673,1.245905,7.630284,0.000576,53.970456
1403636860101666560.000000,0.000000,0.000000,47.427228,4.005817,0.085825,1.302003,3.448208,0.387654,67.920669
1403636860151666432.000000,0.000000,0.000000,28.592179,3.781941,0.087362,2.030621,3.114316,0.000704,46.894325
1403636860201666560.000000,0.000000,0.000000,32.881711,3.910647,0.088258,1.186897,2.762663,0.000544,46.452431
1403636860251666432.000000,0.000000,0.000000,23.942673,3.803574,0.090753,0.994574,3.483121,0.000672,36.988681
1403636860301666560.000000,0.000000,0.000000,23.967793,3.708500,0.085185,1.233329,3.553906,0.000576,37.134860
1403636860351666432.000000,0.000000,0.000000,59.539590,3.754901,0.087329,2.507523,8.195412,0.585289,86.269280
1403636860401666560.000000,0.000000,0.000000,18.834378,2.641413,0.075938,4.036665,6.981922,0.000928,34.033503
1403636860451666432.000000,0.000000,0.000000,27.303360,3.327567,0.088001,3.124108,6.569789,0.001120,44.213263
1403636860501666560.000000,0.000000,0.000000,35.035822,3.241581,0.089057,3.344463,9.213730,0.001184,52.403554
1403636860551666432.000000,0.000000,0.000000,28.540595,2.907913,0.092929,3.510897,7.527562,0.000960,47.297626
1403636860601666560.000000,0.000000,0.000000,59.498054,2.705830,0.089185,3.457105,8.920734,0.955598,76.075504
1403636860651666432.000000,0.000000,0.000000,21.937781,2.386594,0.086433,5.216553,8.613658,0.001312,35.872121
1403636860701666560.000000,0.000000,0.000000,24.331703,2.487811,0.085825,4.504383,9.948909,0.001120,34.348612
1403636860751666432.000000,0.000000,0.000000,26.581303,2.303968,0.089825,3.968600,9.187586,0.001472,35.661014
1403636860801666560.000000,0.000000,0.000000,20.564161,5.661967,0.161410,3.701205,8.461047,0.001088,41.006050
1403636860851666432.000000,0.000000,0.000000,25.627337,5.324011,0.107106,3.331855,8.361174,1.151440,48.913265
1403636860901666560.000000,0.000000,0.000000,21.470415,5.823634,0.155394,6.737151,9.246690,0.001536,41.309158
1403636860951666432.000000,0.000000,0.000000,24.630779,7.679276,0.179906,0.067585,7.142180,0.081250,49.357912
1403636861001666560.000000,0.000000,0.000000,19.102541,7.059203,0.171203,0.087009,11.841159,0.117730,41.731148
1403636861051666432.000000,0.000000,0.000000,22.534749,8.576345,0.185794,0.099777,12.614322,1.140464,49.192150
1403636861101666560.000000,0.000000,0.000000,19.161998,4.271740,0.097378,0.222019,17.750650,0.207139,41.611819
1403636861151666432.000000,0.000000,0.000000,24.110228,6.245336,0.174851,0.113921,11.690469,0.093601,49.239061
1403636861201666560.000000,0.000000,0.000000,20.562849,8.766555,0.167554,0.118593,15.426586,0.111394,46.947125
1403636861251666432.000000,0.000000,0.000000,20.029370,8.461271,0.151106,0.117217,14.795153,0.113026,44.956121
1403636861301666560.000000,0.000000,0.000000,20.804965,9.757321,0.157218,0.115106,16.287461,0.115425,47.700032
1403636861351666432.000000,0.000000,0.000000,19.313584,9.485350,0.154658,0.110658,13.393596,0.095489,49.322903
1403636861401666560.000000,0.000000,0.000000,20.442496,5.183913,0.099266,0.117922,12.988343,0.088225,37.067754
1403636861451666432.000000,0.000000,0.000000,23.142662,9.049280,0.183811,0.099905,14.143815,0.095105,48.601421
1403636861501666560.000000,0.000000,0.000000,20.757860,9.987629,0.173283,0.108961,12.933591,0.872652,49.064083
1403636861551666432.000000,0.000000,0.000000,21.171051,6.522140,0.181666,0.154786,16.030946,0.158339,50.537544
1403636861601666560.000000,0.000000,0.000000,23.247048,5.428812,0.140386,0.100609,12.025898,0.663881,44.859704
1403636861651666432.000000,0.000000,0.000000,20.400703,7.778990,0.095394,0.122498,13.376828,0.131458,48.346185
1403636861701666560.000000,0.000000,0.000000,21.144650,7.878799,0.172355,0.065824,13.522015,0.807692,48.738734
1403636861751666432.000000,0.000000,0.000000,22.203801,8.833884,0.180867,0.124257,12.914582,0.153858,52.034717
1403636861801666560.000000,0.000000,0.000000,22.294970,6.271320,0.144162,0.057696,11.660325,0.704330,46.598353
1403636861851666432.000000,0.000000,0.000000,18.098751,5.811058,0.062273,0.099553,14.485036,0.215299,41.559145
1403636861901666560.000000,0.000000,0.000000,22.701440,6.803872,0.162243,0.081633,11.475106,0.659178,48.300392
1403636861951666432.000000,0.000000,0.000000,19.041708,6.442971,0.171779,0.085697,14.244969,0.091841,43.878666
1403636862001666560.000000,0.000000,0.000000,20.259805,3.952951,0.072193,0.079777,12.625042,0.072961,45.031194
1403636862051666432.000000,0.000000,0.000000,21.589392,3.854198,0.173795,0.089665,16.010305,0.083457,42.514967
1403636862101666560.000000,0.000000,0.000000,18.722119,3.504081,0.131202,0.091137,12.935415,0.069601,40.257399
1403636862151666432.000000,0.000000,0.000000,28.730676,3.751317,0.139937,0.092449,14.004389,0.894700,51.231538
1403636862201666560.000000,0.000000,0.000000,24.383160,3.134444,0.121730,0.171906,15.969793,0.173474,44.876120
1403636862251666432.000000,0.000000,0.000000,20.805637,2.778407,0.125346,0.088066,15.197014,0.128578,40.533083
1403636862301666560.000000,0.000000,0.000000,24.882271,3.556562,0.173795,0.085441,13.135161,1.015150,48.042245
1403636862351666432.000000,0.000000,0.000000,21.343116,5.353803,0.220227,0.213283,16.796205,0.178882,43.469860
1403636862401666560.000000,0.000000,0.000000,21.057449,4.444382,0.114849,0.096674,14.129159,0.163395,44.719670
1403636862451666432.000000,0.000000,0.000000,19.893784,4.855141,0.186883,0.094977,13.579136,1.033967,41.548713
1403636862501666560.000000,0.000000,0.000000,23.105893,6.939169,0.186371,0.194147,15.777854,0.246084,50.874797
1403636862551666432.000000,0.000000,0.000000,24.094707,5.943155,0.157474,0.113570,13.639648,0.134978,47.414940
1403636862601666560.000000,0.000000,0.000000,19.461298,6.217432,0.191683,0.093761,13.230971,0.899661,45.213149
1403636862651666432.000000,0.000000,0.000000,18.419748,4.779555,0.180387,0.207779,17.630808,0.195011,44.104621
1403636862701666560.000000,0.000000,0.000000,20.913831,4.338621,0.120449,0.116866,17.073552,0.180771,45.393984
1403636862751666432.000000,0.000000,0.000000,20.812837,6.036853,0.184707,0.108642,15.024115,0.110465,45.677635
1403636862801666560.000000,0.000000,0.000000,22.107671,6.145047,0.197955,0.132834,17.570359,0.117794,50.208868
1403636862851666432.000000,0.000000,0.000000,25.377830,8.761307,0.160546,0.118817,14.994964,0.097249,53.287342
1403636862901666560.000000,0.000000,0.000000,23.571948,9.341476,0.179362,0.140994,17.022895,0.110626,52.250400
1403636862951666432.000000,0.000000,0.000000,23.124773,6.038933,0.152098,0.120674,14.836177,0.097121,49.804637
1403636863001666560.000000,0.000000,0.000000,18.806185,6.912193,0.170786,0.120034,14.472460,0.652393,44.073293
1403636863051666432.000000,0.000000,0.000000,20.907590,8.618906,0.176034,0.171746,15.800063,0.226755,47.987812
1403636863101666560.000000,0.000000,0.000000,19.645301,5.794673,0.175331,0.105314,15.973057,0.135553,48.122758
1403636863151666432.000000,0.000000,0.000000,20.851589,6.905538,0.179971,0.087233,13.502526,0.722698,49.766909
1403636863201666560.000000,0.000000,0.000000,19.164462,5.524430,0.182210,0.127586,17.495126,0.142402,44.175406
1403636863251666432.000000,0.000000,0.000000,20.968904,8.777723,0.204003,0.083489,15.391321,0.121634,52.023645
1403636863301666560.000000,0.000000,0.000000,24.295414,6.618109,0.161635,0.088641,15.310744,0.068961,50.396902
1403636863351666432.000000,0.000000,0.000000,24.656795,7.809486,0.178755,0.088449,14.799985,0.681514,54.097434
1403636863401666560.000000,0.000000,0.000000,25.190178,5.455404,0.157698,0.112865,15.010132,0.178978,49.945856
1403636863451666432.000000,0.000000,0.000000,19.067596,6.049813,0.174402,0.070657,14.883698,0.106177,44.719926
1403636863501666560.000000,0.000000,0.000000,19.646709,5.255466,0.175587,0.070625,13.845347,0.615081,45.668995
1403636863551666432.000000,0.000000,0.000000,21.733042,5.406668,0.188322,0.119426,16.376071,0.155202,47.450108
1403636863601666560.000000,0.000000,0.000000,18.684711,4.028952,0.161602,0.070561,15.756542,0.139010,41.335718
1403636863651666432.000000,0.000000,0.000000,20.181565,4.002552,0.144546,0.089090,14.622702,0.076449,46.567312
1403636863701666560.000000,0.000000,0.000000,18.154656,3.463697,0.137922,0.086977,16.996815,0.080993,41.590730
1403636863751666432.000000,0.000000,0.000000,22.989732,5.904435,0.217859,0.086401,14.515660,0.067553,49.107124
1403636863801666560.000000,0.000000,0.000000,21.171562,4.805508,0.188643,0.105185,14.718864,0.827756,46.198891
