#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.014368,3,1,0,705
0.005376,4,1,0,918
0.425859,5,1,0,1163
0.698374,6,1,0,1298
0.970536,7,1,0,1474
1.284300,8,1,0,1656
1.479276,9,1,0,1851
2.070450,10,1,0,2023
2.103922,0,0,0,0
89.060414,3,1,0,831
2.191602,4,1,0,1214
0.005472,5,1,0,1539
0.004960,6,1,0,1775
0.377764,7,1,0,1768
0.807431,8,1,0,1791
0.877864,9,1,0,2205
1.120361,10,1,0,2732
1.346443,0,0,0,0
1.592782,0,0,0,0
1.436460,0,0,0,0
38.488300,0,0,0,0
1.553037,0,0,0,0
1.479085,0,0,0,0
1.738384,0,0,0,0
1.525357,0,0,0,0
1.856304,0,0,0,0
2.016625,0,0,0,0
2.181971,0,0,0,0
2.702552,0,0,0,0
3.063418,0,0,0,0
3.614975,0,0,0,0
3.694528,0,0,0,0
4.698056,0,0,0,0
4.353029,0,0,0,0
4.693993,0,0,0,0
4.364678,0,0,0,0
4.786089,0,0,0,0
4.432870,0,0,0,0
4.406342,3,1,0,796
4.337573,4,1,0,998
4.338054,5,1,0,1168
4.057251,6,1,0,1283
0.005504,7,1,0,1443
0.005280,8,1,0,1652
0.591205,9,1,0,1895
0.903208,10,1,0,2050
1.141226,0,0,0,0
1.390092,3,1,0,731
1.639535,4,1,0,951
1.966993,5,1,0,1184
2.168851,6,1,0,1203
89.568331,7,1,0,1461
2.123314,8,1,0,1694
0.005824,9,1,0,1899
0.005152,10,1,0,2161
0.555909,0,0,0,0
0.822951,3,1,0,579
0.435268,4,1,0,875
0.523333,5,1,0,1179
4.723465,6,1,0,1491
1.915024,7,1,0,1865
2.074930,8,1,0,2243
69.807747,9,1,0,2545
2.899129,10,1,0,2866
0.005600,0,0,0,0
0.004832,0,0,0,0
0.485572,0,0,0,0
0.740486,0,0,0,0
0.975400,0,0,0,0
1.108746,0,0,0,0
1.140426,0,0,0,0
1.304811,0,0,0,0
1.527853,0,0,0,0
50.216218,0,0,0,0
1.948049,0,0,0,0
2.670584,0,0,0,0
2.301653,0,0,0,0
2.070866,0,0,0,0
2.256788,0,0,0,0
2.617975,0,0,0,0
2.369813,0,0,0,0
2.997658,0,0,0,0
3.246205,0,0,0,0
3.418526,0,0,0,0
3.373886,0,0,0,0
4.880364,0,0,0,0
3.857378,0,0,0,0
4.198341,0,0,0,0
4.352934,0,0,0,0
4.459176,0,0,0,0
6.688731,0,0,0,0
4.527624,0,0,0,0
6.823996,0,0,0,0
4.675562,0,0,0,0
4.840971,0,0,0,0
5.705938,0,0,0,0
6.193975,0,0,0,0
7.824166,0,0,0,0
9.261683,0,0,0,0
4.438055,0,0,0,0
5.098093,0,0,0,0
5.261775,0,0,0,0
4.037763,0,0,0,0
5.583665,0,0,0,0
2.603927,0,0,0,0
3.525695,0,0,0,0
4.336390,0,0,0,0
5.009581,0,0,0,0
5.006156,0,0,0,0
3.906818,0,0,0,0
3.968611,0,0,0,0
5.228046,0,0,0,0
5.552146,0,0,0,0
6.081111,0,0,0,0
7.243136,0,0,0,0
7.193984,0,0,0,0
7.557507,0,0,0,0
7.306913,0,0,0,0
5.745620,0,0,0,0
6.192631,0,0,0,0
7.032095,0,0,0,0
6.691676,0,0,0,0
6.077878,0,0,0,0
8.106088,0,0,0,0
7.238304,0,0,0,0
6.922941,0,0,0,0
2.616696,0,0,0,0
2.166708,0,0,0,0
4.484360,0,0,0,0
5.127950,0,0,0,0
4.828811,0,0,0,0
4.943692,0,0,0,0
4.529512,0,0,0,0
5.772596,0,0,0,0
7.202561,0,0,0,0
6.109623,0,0,0,0
6.901822,0,0,0,0
6.881821,0,0,0,0
7.388162,0,0,0,0
8.061544,0,0,0,0
6.561339,0,0,0,0
9.517333,0,0,0,0
7.952551,0,0,0,0
9.068369,0,0,0,0
7.702117,0,0,0,0
8.449772,0,0,0,0
9.992154,0,0,0,0
12.539953,0,0,0,0
8.818160,0,0,0,0
11.949451,0,0,0,0
11.069091,0,0,0,0
11.686665,0,0,0,0
9.715031,0,0,0,0
8.653742,0,0,0,0
6.528730,0,0,0,0
12.025292,0,0,0,0
10.795297,0,0,0,0
8.462188,0,0,0,0
9.723416,0,0,0,0
7.827622,0,0,0,0
10.861089,0,0,0,0
14.165184,0,0,0,0
11.142980,0,0,0,0
12.896052,0,0,0,0
12.843156,0,0,0,0
10.730976,0,0,0,0
27.715706,0,0,0,0
11.441831,0,0,0,0
10.384094,0,0,0,0
13.331832,0,0,0,0
9.930105,0,0,0,0
9.866969,0,0,0,0
16.284595,0,0,0,0
16.595862,0,0,0,0
12.423824,0,0,0,0
17.989539,0,0,0,0
16.029809,0,0,0,0
15.915535,0,0,0,0
18.176772,0,0,0,0
18.529319,0,0,0,0
16.028561,0,0,0,0
12.678515,0,0,0,0
18.686633,0,0,0,0
12.844276,0,0,0,0
17.742337,0,0,0,0
17.249627,0,0,0,0
10.119772,0,0,0,0
11.573929,0,0,0,0
16.360756,0,0,0,0
13.090743,0,0,0,0
15.069577,0,0,0,0
16.502357,0,0,0,0
15.855376,0,0,0,0
13.412153,0,0,0,0
18.705130,0,0,0,0
14.704325,0,0,0,0
22.420555,0,0,0,0
21.349602,0,0,0,0
16.988442,0,0,0,0
20.015286,0,0,0,0
20.077526,0,0,0,0
22.398603,0,0,0,0
26.706867,0,0,0,0
19.651634,0,0,0,0
18.422856,0,0,0,0
23.950522,0,0,0,0
28.075135,0,0,0,0
18.723691,0,0,0,0
21.994760,0,0,0,0
22.783567,0,0,0,0
27.707644,0,0,0,0
27.413594,0,0,0,0
30.105458,0,0,0,0
24.577184,0,0,0,0
23.474582,0,0,0,0
27.167832,0,0,0,0
18.611306,0,0,0,0
22.372972,0,0,0,0
21.810247,0,0,0,0
15.310315,0,0,0,0
21.921417,0,0,0,0
20.466939,0,0,0,0
16.434902,0,0,0,0
