#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.014656,3,1,0,244
0.004640,4,1,0,455
0.164739,5,1,0,951
0.331973,6,1,0,1465
0.467206,7,1,0,2060
0.336581,8,1,0,2622
0.517991,9,1,0,3145
0.839819,10,1,0,3543
1.122447,3,1,0,1655
53.350552,4,1,0,1900
0.006176,5,1,0,2316
0.005888,6,1,0,2668
0.512839,7,1,0,2949
0.901644,8,1,0,3345
1.737784,9,1,0,3585
1.709240,10,1,0,4070
1.910554,0,0,0,0
2.280800,0,0,0,0
1.849401,0,0,0,0
80.236551,0,0,0,0
2.338496,0,0,0,0
2.914504,0,0,0,0
2.872775,0,0,0,0
3.175980,0,0,0,0
4.244442,0,0,0,0
4.398460,0,0,0,0
4.107928,0,0,0,0
3.851157,0,0,0,0
3.377358,0,0,0,0
4.471485,0,0,0,0
4.110744,0,0,0,0
4.258906,0,0,0,0
4.039543,0,0,0,0
3.160811,0,0,0,0
3.522512,0,0,0,0
3.859349,0,0,0,0
4.224442,0,0,0,0
3.704339,0,0,0,0
4.585983,0,0,0,0
6.937950,0,0,0,0
6.941438,0,0,0,0
8.023758,0,0,0,0
5.644909,0,0,0,0
9.299679,0,0,0,0
8.392274,0,0,0,0
9.544738,0,0,0,0
7.935373,0,0,0,0
5.397098,0,0,0,0
7.255650,0,0,0,0
6.023346,0,0,0,0
6.174196,0,0,0,0
6.344279,0,0,0,0
7.935532,0,0,0,0
6.684923,0,0,0,0
5.945553,0,0,0,0
6.247061,0,0,0,0
4.636639,0,0,0,0
5.014213,0,0,0,0
9.840167,0,0,0,0
10.019208,0,0,0,0
7.293827,0,0,0,0
7.164737,0,0,0,0
6.119668,0,0,0,0
6.297846,0,0,0,0
5.912337,0,0,0,0
6.273718,0,0,0,0
9.484802,0,0,0,0
7.049889,0,0,0,0
8.612374,0,0,0,0
10.284460,0,0,0,0
9.464065,0,0,0,0
11.279226,0,0,0,0
24.992533,0,0,0,0
10.746579,0,0,0,0
9.388288,0,0,0,0
6.786780,0,0,0,0
7.870443,0,0,0,0
6.848254,0,0,0,0
8.387667,0,0,0,0
5.036324,0,0,0,0
5.357385,0,0,0,0
5.135302,0,0,0,0
7.237570,0,0,0,0
8.239824,0,0,0,0
10.244171,0,0,0,0
7.544615,0,0,0,0
15.099598,0,0,0,0
22.704278,0,0,0,0
14.870347,0,0,0,0
19.658156,0,0,0,0
16.694915,0,0,0,0
14.645511,0,0,0,0
13.314774,0,0,0,0
11.211385,0,0,0,0
7.505991,0,0,0,0
7.562343,0,0,0,0
5.482155,0,0,0,0
7.325924,0,0,0,0
6.015282,0,0,0,0
7.648584,0,0,0,0
2.563202,0,0,0,0
9.072956,0,0,0,0
8.700439,0,0,0,0
9.382336,0,0,0,0
10.447310,0,0,0,0
12.186630,0,0,0,0
11.123096,0,0,0,0
10.635537,0,0,0,0
11.497725,0,0,0,0
7.208962,0,0,0,0
12.071173,0,0,0,0
10.887061,0,0,0,0
13.073714,0,0,0,0
9.633507,0,0,0,0
32.646494,0,0,0,0
10.305421,0,0,0,0
9.721317,0,0,0,0
17.333996,0,0,0,0
20.468824,0,0,0,0
20.379574,0,0,0,0
24.348429,0,0,0,0
19.679468,0,0,0,0
18.207289,0,0,0,0
15.894713,0,0,0,0
16.799493,0,0,0,0
20.480983,0,0,0,0
13.219573,0,0,0,0
15.422642,0,0,0,0
18.811265,0,0,0,0
22.884825,0,0,0,0
15.891609,0,0,0,0
12.066053,0,0,0,0
13.685883,0,0,0,0
14.279075,0,0,0,0
11.407868,0,0,0,0
17.349676,0,0,0,0
15.147854,0,0,0,0
14.537063,0,0,0,0
14.127008,0,0,0,0
9.841030,0,0,0,0
4.146328,0,0,0,0
6.511193,0,0,0,0
9.558082,0,0,0,0
21.513989,0,0,0,0
38.034503,0,0,0,0
13.749563,0,0,0,0
22.288944,0,0,0,0
18.111608,0,0,0,0
23.545601,0,0,0,0
21.689096,0,0,0,0
21.054271,0,0,0,0
13.158995,0,0,0,0
12.874480,0,0,0,0
8.983866,0,0,0,0
11.885410,0,0,0,0
15.592789,0,0,0,0
15.705814,0,0,0,0
16.548770,0,0,0,0
15.878841,0,0,0,0
10.802804,0,0,0,0
14.766537,0,0,0,0
17.450798,0,0,0,0
14.865130,0,0,0,0
14.580807,0,0,0,0
16.340511,0,0,0,0
10.142315,0,0,0,0
15.400370,0,0,0,0
14.708936,0,0,0,0
13.027922,0,0,0,0
11.171256,0,0,0,0
10.263148,0,0,0,0
12.422794,0,0,0,0
7.202243,0,0,0,0
12.054629,0,0,0,0
11.570398,0,0,0,0
11.646751,0,0,0,0
12.062308,0,0,0,0
10.293709,0,0,0,0
11.030262,0,0,0,0
0.000000,0,0,0,0
22.322576,0,0,0,0
15.475667,0,0,0,0
13.576890,0,0,0,0
10.817107,0,0,0,0
10.900917,0,0,0,0
17.291276,0,0,0,0
18.234713,0,0,0,0
12.509034,0,0,0,0
14.787626,0,0,0,0
13.178740,0,0,0,0
12.629644,0,0,0,0
15.560884,0,0,0,0
18.296474,0,0,0,0
18.378874,0,0,0,0
18.308538,0,0,0,0
14.442053,0,0,0,0
15.725047,0,0,0,0
14.987309,0,0,0,0
16.779141,0,0,0,0
15.272688,0,0,0,0
16.557217,0,0,0,0
16.886055,0,0,0,0
16.235838,0,0,0,0
17.206826,0,0,0,0
16.064283,0,0,0,0
16.670819,0,0,0,0
17.947509,0,0,0,0
18.059094,0,0,0,0
19.443401,0,0,0,0
14.343492,0,0,0,0
18.276185,0,0,0,0
18.524061,0,0,0,0
16.701796,0,0,0,0
19.167910,0,0,0,0
17.479086,0,0,0,0
16.057468,0,0,0,0
18.598078,0,0,0,0
21.448132,0,0,0,0
23.953607,0,0,0,0
28.464676,0,0,0,0
27.319381,0,0,0,0
30.305085,0,0,0,0
32.190519,0,0,0,0
29.795062,0,0,0,0
21.778089,0,0,0,0
15.049998,0,0,0,0
25.373754,0,0,0,0
21.236642,0,0,0,0
21.840713,0,0,0,0
19.647372,0,0,0,0
26.164517,0,0,0,0
24.524815,0,0,0,0
31.416429,0,0,0,0
25.744063,0,0,0,0
23.157212,0,0,0,0
18.909506,0,0,0,0
19.574187,0,0,0,0
20.479223,0,0,0,0
14.308547,0,0,0,0
20.556952,0,0,0,0
12.158790,0,0,0,0
21.631911,0,0,0,0
24.041320,0,0,0,0
20.340693,0,0,0,0
19.194309,0,0,0,0
12.845487,0,0,0,0
18.590878,0,0,0,0
27.484151,0,0,0,0
34.830459,0,0,0,0
19.907664,0,0,0,0
18.944483,0,0,0,0
23.201757,0,0,0,0
19.823406,0,0,0,0
13.486328,0,0,0,0
18.024630,0,0,0,0
11.301275,0,0,0,0
14.708616,0,0,0,0
13.809852,0,0,0,0
15.029773,0,0,0,0
22.283984,0,0,0,0
30.052570,0,0,0,0
26.541898,0,0,0,0
20.995358,0,0,0,0
21.307586,0,0,0,0
24.875283,0,0,0,0
23.906982,0,0,0,0
29.358065,0,0,0,0
30.525088,0,0,0,0
26.923279,0,0,0,0
28.380228,0,0,0,0
27.330101,0,0,0,0
29.819735,0,0,0,0
30.688003,0,0,0,0
32.441147,0,0,0,0
28.763208,0,0,0,0
32.029973,0,0,0,0
30.658338,0,0,0,0
28.242337,0,0,0,0
52.571693,0,0,0,0
52.639502,0,0,0,0
