#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.248139,0.054912,0.607719,0.014977,0.014977,9.938579
9.991860,0.223522,3.893837,0.004768,0.004768,14.118659
11.107361,0.436837,6.595724,0.311044,0.311044,64.525034
12.013547,0.580103,12.069707,1.116333,1.116333,63.954531
9.937011,0.421029,15.337649,0.800361,0.800361,72.203491
14.064130,0.624967,24.820479,1.682324,1.682324,112.841816
10.719099,0.482054,22.098687,2.017240,2.017240,86.194564
8.980904,0.474373,22.384451,1.808853,1.808853,90.722969
14.669577,0.739401,40.875000,1.923190,1.923190,123.121679
14.120611,0.827722,41.328958,62.695701,62.695701,193.229210
12.724307,0.578567,38.289466,3.121668,3.121668,119.257699
12.529969,0.536198,34.518767,3.154052,3.154052,122.909773
8.392577,0.592903,23.390958,3.352647,3.352647,96.666078
11.028768,0.505190,33.482019,3.784332,3.784332,123.656694
11.793128,0.349156,35.102646,3.745643,3.745643,123.931065
13.670878,0.515526,37.529202,4.198705,4.198705,130.679879
11.252738,0.426693,32.506520,4.556437,4.556437,132.422268
7.428470,0.406949,21.867069,4.811159,4.811159,109.372849
15.656885,0.512838,50.474760,5.198844,5.198844,171.664161
11.770120,0.719272,40.291634,5.879620,5.879620,151.407415
11.040512,0.294019,41.331902,6.084294,6.084294,147.644524
10.653179,0.332484,35.641404,7.770362,7.770362,147.576715
10.982943,0.512294,42.953073,7.082706,7.082706,172.825743
13.028982,0.561351,43.816475,7.367061,7.367061,156.157422
8.130430,0.333316,31.781423,7.063793,7.063793,140.273526
8.363937,0.498086,30.820613,7.210419,7.210419,137.848923
7.863930,0.455366,28.062820,7.995389,7.995389,323.061401
6.479531,0.617255,23.968758,7.559288,7.559288,109.297265
11.993387,0.560198,41.874437,6.841647,6.841647,158.159462
11.606822,1.265934,30.218814,5.543424,5.543424,162.668986
12.369711,1.026572,16.868164,1.540018,1.540018,140.616732
12.659954,1.136301,35.390298,2.603999,2.603999,179.530270
12.724500,1.037260,31.290346,1.205774,1.205774,149.713189
12.500081,0.901546,35.437498,1.863029,1.863029,162.339159
7.622040,0.405829,16.476479,2.237690,2.237690,128.363246
8.328064,0.600039,23.524081,2.531165,2.531165,142.990231
7.214644,0.561927,22.866984,2.625054,2.625054,145.534389
6.339081,0.600135,20.402125,5.126139,5.126139,145.148080
5.294493,0.574791,19.724420,4.024142,4.024142,149.299360
5.478303,0.513350,28.279624,2.559837,2.559837,184.334902
5.202141,0.533030,18.948251,4.603894,4.603894,148.562905
4.257073,0.285348,16.753794,8.117150,8.117150,138.300577
6.155240,0.324515,21.510522,3.669771,3.669771,80.969834
9.213419,0.994539,36.157827,5.088251,5.088251,177.091779
9.196939,0.854186,25.941612,5.446495,5.446495,154.438781
4.917465,0.355556,16.798211,3.644203,3.644203,133.249352
5.922981,0.527590,21.020307,3.474760,3.474760,89.046375
6.900559,0.479142,21.536921,5.460287,5.460287,139.236556
5.760227,0.330884,19.295807,3.660139,3.660139,138.879369
9.552111,0.238179,33.825352,12.750164,12.750164,159.295510
9.593519,0.308420,30.856549,4.610038,4.610038,137.362968
11.055328,0.628776,43.286357,8.627012,8.627012,161.383790
7.998813,0.385893,23.717330,4.764823,4.764823,137.679995
15.214417,0.939051,49.464989,6.150632,6.150632,187.073176
10.327992,0.655336,34.105035,5.615585,5.615585,144.533003
13.934274,0.931882,56.761362,4.567285,4.567285,185.773929
12.216174,0.994923,41.599362,5.479871,5.479871,158.522349
7.607416,0.425669,22.678599,5.036314,5.036314,132.139707
5.541344,0.550183,17.816622,3.529449,3.529449,128.589458
4.920793,0.580806,13.729215,4.515252,4.515252,134.937980
8.523139,0.762217,24.680606,2.458621,2.458621,160.785736
10.260823,0.763145,30.185054,4.932569,4.932569,193.417122
7.364502,0.866506,18.974812,4.284530,4.284530,154.654657
7.639065,0.922251,18.086481,3.245445,3.245445,148.107829
5.819491,0.493254,12.797204,3.185221,3.185221,128.374352
8.865031,0.851178,23.971542,4.281202,4.281202,153.099023
9.074633,0.796969,20.456493,1.567154,1.567154,151.919713
8.996040,0.895243,22.248578,1.599795,1.599795,155.395402
7.156467,0.940715,18.675481,3.981070,3.981070,158.340332
10.594523,1.398832,26.052814,2.420892,2.420892,176.281916
10.854494,1.132077,26.646005,2.015831,2.015831,191.316907
11.838698,1.356495,32.275543,4.235569,4.235569,191.750992
9.735121,1.257999,26.263888,4.521461,4.521461,483.469513
6.960273,0.969035,15.336530,1.384272,1.384272,85.183644
11.305571,1.422289,31.685487,5.943045,5.943045,204.565350
11.493350,1.523025,53.168585,12.108140,12.108140,217.214937
