#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1413393212255760384.000000,0.000000,0.000000,22.292752,6.960351,0.004448,17.255787,13.183283,0.003264,32.266487
1413393212305760512.000000,0.000000,0.000000,18.750431,7.927276,0.075265,8.363665,7.466150,0.000800,30.488703
1413393212355760384.000000,0.000000,0.000000,18.344506,10.251884,0.069121,10.140939,10.512591,0.001120,32.364697
1413393212405760512.000000,0.000000,0.000000,19.852750,15.400786,0.090754,11.100215,8.836472,0.001376,39.267254
1413393212455760384.000000,0.000000,0.000000,17.737329,14.648456,0.093185,8.999578,8.664534,0.720394,36.433520
1413393212505760512.000000,0.000000,0.000000,18.281945,19.117188,0.115649,10.135978,7.576648,0.000960,41.575350
1413393212555760384.000000,0.000000,0.000000,17.637072,19.276231,0.112866,9.290142,8.361842,0.001216,41.015567
1413393212605760512.000000,0.000000,0.000000,18.522556,19.270983,0.118850,10.160010,8.015757,0.001024,41.814041
1413393212655760384.000000,0.000000,0.000000,18.713855,19.363368,0.115969,8.660726,10.037672,0.000992,42.264703
1413393212705760512.000000,0.000000,0.000000,18.342906,19.346791,0.113410,9.580962,8.038990,0.001056,42.091229
1413393212755760384.000000,0.000000,0.000000,17.721553,19.342439,0.109953,9.125917,9.177789,0.687338,41.075151
1413393212805760512.000000,0.000000,0.000000,18.785728,19.252006,0.113410,10.882388,8.410611,0.001344,42.044764
1413393212855760384.000000,0.000000,0.000000,18.411258,19.582730,0.113473,8.818328,9.032283,0.001152,42.209662
1413393212905760512.000000,0.000000,0.000000,16.546753,18.726335,0.112545,8.661590,9.732132,0.000832,39.583963
1413393212955760384.000000,0.000000,0.000000,18.460923,19.064611,0.120737,9.105212,9.927975,0.000800,41.788345
1413393213005760512.000000,0.000000,0.000000,18.612254,19.215749,0.116897,8.094638,9.664356,0.001088,42.038972
1413393213055760384.000000,0.000000,0.000000,17.530958,19.222693,0.100225,9.488865,10.189195,0.692233,40.790891
1413393213105760512.000000,0.000000,0.000000,19.694252,19.437384,0.119330,9.444513,8.933401,0.001152,43.569329
1413393213155760384.000000,0.000000,0.000000,16.981288,19.283174,0.118881,8.105326,9.881831,0.001408,40.429574
1413393213205760512.000000,0.000000,0.000000,17.111721,19.088324,0.103777,9.857350,10.773331,0.001760,40.432326
1413393213255760384.000000,0.000000,0.000000,18.115863,19.426824,0.118274,9.093660,10.042056,0.001472,41.590999
1413393213305760512.000000,0.000000,0.000000,18.963522,19.217702,0.106274,8.656566,10.800083,0.000928,48.340722
1413393213355760384.000000,0.000000,0.000000,16.046875,18.574461,0.099586,8.725719,10.586416,0.650953,38.675119
1413393213405760512.000000,0.000000,0.000000,17.204714,19.343655,0.128354,9.840198,10.659249,0.001856,40.584489
1413393213455760384.000000,0.000000,0.000000,19.057027,19.171941,0.115457,9.170269,10.730354,0.001056,42.269856
1413393213505760512.000000,0.000000,0.000000,17.318508,19.025059,0.101506,9.039547,10.082185,0.001408,40.596744
1413393213555760384.000000,0.000000,0.000000,19.260615,18.855232,0.108386,8.215983,10.583312,0.001248,42.122910
1413393213605760512.000000,0.000000,0.000000,23.615970,18.660894,0.110689,8.163247,10.937301,0.719210,46.235669
1413393213655760384.000000,0.000000,0.000000,17.478382,18.630974,0.101569,9.651780,10.738258,0.001440,40.051329
1413393213705760512.000000,0.000000,0.000000,17.200138,18.330489,0.097889,8.488147,10.233772,0.000864,39.801214
1413393213755760384.000000,0.000000,0.000000,16.388959,13.549849,0.096225,8.338258,10.239947,0.000608,34.022736
1413393213805760512.000000,0.000000,0.000000,18.125079,19.282438,0.105986,6.643706,10.103978,0.000896,41.548053
1413393213855760384.000000,0.000000,0.000000,19.783885,19.268294,0.116674,7.312996,9.580130,0.823115,43.289390
1413393213905760512.000000,0.000000,0.000000,18.084663,19.222789,0.099298,10.346508,11.619646,0.001216,41.520022
1413393213955760384.000000,0.000000,0.000000,18.145399,19.161093,0.144642,7.406853,11.108631,0.001184,41.541461
1413393214005760512.000000,0.000000,0.000000,17.869715,19.073828,0.118050,7.957036,10.943093,0.000832,41.018447
1413393214055760384.000000,0.000000,0.000000,18.234808,19.169157,0.115649,8.022702,10.146090,0.001216,41.905115
1413393214105760512.000000,0.000000,0.000000,18.235961,19.168325,0.107234,6.126195,9.758533,0.698122,43.045002
1413393214155760384.000000,0.000000,0.000000,18.497180,19.196230,0.100801,7.868811,11.058807,0.001376,41.917531
1413393214205760512.000000,0.000000,0.000000,17.831443,19.461097,0.121729,7.251234,11.139448,0.001504,41.547349
1413393214255760384.000000,0.000000,0.000000,18.208536,19.479337,0.113249,7.697641,10.493582,0.000992,41.740280
1413393214305760512.000000,0.000000,0.000000,18.026774,19.194053,0.111938,7.541767,10.934453,0.001408,41.521045
1413393214355760384.000000,0.000000,0.000000,16.225789,19.360808,0.096289,7.438277,10.872244,0.678090,40.969966
1413393214405760512.000000,0.000000,0.000000,16.291070,19.270438,0.108225,9.161725,11.234393,0.001120,39.543963
1413393214455760384.000000,0.000000,0.000000,17.069065,19.256038,0.114817,8.435539,10.731154,0.001728,40.580424
1413393214505760512.000000,0.000000,0.000000,16.143260,19.520970,0.113474,7.322276,9.541218,0.001120,40.067266
1413393214555760384.000000,0.000000,0.000000,17.270923,18.959426,0.119585,6.658170,11.228761,0.001248,40.313765
1413393214605760512.000000,0.000000,0.000000,16.209565,19.134148,0.100194,7.097568,10.840532,0.786666,39.396409
1413393214655760384.000000,0.000000,0.000000,18.322970,19.225478,0.114594,10.849108,12.441865,0.001184,41.559062
1413393214705760512.000000,0.000000,0.000000,17.797554,19.274759,0.117442,7.568071,11.638783,0.001824,41.237330
1413393214755760384.000000,0.000000,0.000000,16.911943,19.337031,0.114658,7.123745,11.374523,0.001312,40.354181
1413393214805760512.000000,0.000000,0.000000,17.689969,16.281246,0.112546,0.154754,15.973241,0.140482,37.969125
1413393214855760384.000000,0.000000,0.000000,18.347386,19.313223,0.125602,0.132834,16.652290,0.133218,41.727672
1413393214905760512.000000,0.000000,0.000000,18.612894,19.205189,0.118274,0.132738,16.442656,0.945997,42.851816
1413393214955760384.000000,0.000000,0.000000,17.118153,19.170533,0.142018,0.256739,20.426295,0.177731,40.497031
1413393215005760512.000000,0.000000,0.000000,19.217381,19.013410,0.112417,0.152898,16.874565,0.190691,42.475618
1413393215055760384.000000,0.000000,0.000000,17.288267,19.506793,0.116257,0.126402,17.648848,0.115809,40.832908
1413393215105760512.000000,0.000000,0.000000,17.342220,17.695505,0.110369,0.177346,19.903695,0.128194,39.154677
1413393215155760384.000000,0.000000,0.000000,18.666878,19.176357,0.110786,0.143362,17.003848,0.112258,41.865210
1413393215205760512.000000,0.000000,0.000000,19.734796,19.380199,0.116354,0.145346,18.774559,0.118850,43.366575
1413393215255760384.000000,0.000000,0.000000,17.478638,18.895137,0.119490,0.137506,17.516431,1.033422,40.649290
