#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.015392,3,1,0,895
0.005344,3,1,0,1380
0.141858,4,1,0,1659
0.004768,5,1,0,1695
0.005664,6,1,0,1942
0.003680,7,1,0,2126
0.296419,8,1,0,2423
0.617224,9,1,0,2957
1.090158,10,1,0,3525
1.175983,0,0,0,0
1.162062,0,0,0,0
1.397297,0,0,0,0
1.693365,0,0,0,0
83.095754,0,0,0,0
1.406961,0,0,0,0
1.878744,0,0,0,0
1.977977,0,0,0,0
2.269597,0,0,0,0
2.465855,0,0,0,0
2.824740,0,0,0,0
3.252841,0,0,0,0
3.723822,0,0,0,0
3.521996,0,0,0,0
3.875760,0,0,0,0
4.309302,0,0,0,0
5.232097,0,0,0,0
5.313378,0,0,0,0
4.797212,0,0,0,0
5.310498,0,0,0,0
4.811644,0,0,0,0
3.900144,0,0,0,0
4.482776,0,0,0,0
5.661799,0,0,0,0
5.692711,0,0,0,0
5.555653,0,0,0,0
5.426371,0,0,0,0
5.624294,0,0,0,0
6.549489,0,0,0,0
6.063596,0,0,0,0
4.631577,0,0,0,0
6.095916,0,0,0,0
6.312590,0,0,0,0
7.123801,0,0,0,0
4.864668,0,0,0,0
5.687686,0,0,0,0
6.129484,0,0,0,0
4.757659,0,0,0,0
5.976618,0,0,0,0
4.940574,0,0,0,0
6.289294,0,0,0,0
6.070860,0,0,0,0
6.198797,0,0,0,0
6.055628,0,0,0,0
6.145580,0,0,0,0
7.998531,0,0,0,0
4.015410,0,0,0,0
4.854812,0,0,0,0
4.882589,0,0,0,0
6.327215,0,0,0,0
4.392310,0,0,0,0
4.381335,0,0,0,0
6.448049,0,0,0,0
4.291221,0,0,0,0
5.846024,0,0,0,0
5.731079,0,0,0,0
6.680243,0,0,0,0
4.669306,0,0,0,0
6.801813,0,0,0,0
4.552984,0,0,0,0
6.138092,0,0,0,0
5.738439,0,0,0,0
4.333078,0,0,0,0
5.779016,0,0,0,0
6.424944,0,0,0,0
3.991217,0,0,0,0
6.412528,0,0,0,0
4.086162,0,0,0,0
7.709536,0,0,0,0
5.327331,0,0,0,0
5.398403,0,0,0,0
5.174720,0,0,0,0
4.241461,0,0,0,0
4.189620,0,0,0,0
5.927530,0,0,0,0
6.031147,0,0,0,0
6.306895,0,0,0,0
5.173952,0,0,0,0
5.587302,0,0,0,0
7.329307,0,0,0,0
7.364572,0,0,0,0
7.889666,0,0,0,0
6.726740,0,0,0,0
7.230553,0,0,0,0
6.976663,0,0,0,0
10.369665,0,0,0,0
9.445045,0,0,0,0
9.262451,0,0,0,0
10.071613,0,0,0,0
10.479650,0,0,0,0
8.688012,0,0,0,0
10.136382,0,0,0,0
11.790643,0,0,0,0
10.600356,0,0,0,0
9.266931,0,0,0,0
12.031542,0,0,0,0
12.467355,0,0,0,0
12.157463,0,0,0,0
9.656088,0,0,0,0
11.465967,0,0,0,0
11.456527,0,0,0,0
11.560208,0,0,0,0
9.900635,0,0,0,0
11.827635,0,0,0,0
11.606864,0,0,0,0
11.751442,0,0,0,0
10.211519,0,0,0,0
13.593001,0,0,0,0
13.480199,0,0,0,0
12.898176,0,0,0,0
11.358061,0,0,0,0
12.916608,0,0,0,0
9.260051,0,0,0,0
14.971419,0,0,0,0
13.689450,0,0,0,0
11.160810,0,0,0,0
12.131863,0,0,0,0
15.107836,0,0,0,0
12.611997,0,0,0,0
10.620772,0,0,0,0
12.446650,0,0,0,0
12.637758,0,0,0,0
12.617213,0,0,0,0
9.450646,0,0,0,0
13.220484,0,0,0,0
9.815866,0,0,0,0
12.133559,0,0,0,0
12.372313,0,0,0,0
10.084573,0,0,0,0
11.994421,0,0,0,0
12.033942,0,0,0,0
11.805011,0,0,0,0
12.233944,0,0,0,0
12.365881,0,0,0,0
15.551714,0,0,0,0
13.100355,0,0,0,0
15.100988,0,0,0,0
14.970714,0,0,0,0
12.626077,0,0,0,0
15.815749,0,0,0,0
10.517955,0,0,0,0
12.363226,0,0,0,0
13.659018,0,0,0,0
10.677061,0,0,0,0
13.855244,0,0,0,0
14.786936,0,0,0,0
12.823424,0,0,0,0
15.606338,0,0,0,0
11.842067,0,0,0,0
13.501736,0,0,0,0
11.440910,0,0,0,0
10.653893,0,0,0,0
11.926196,0,0,0,0
13.512360,0,0,0,0
13.605033,0,0,0,0
13.387750,0,0,0,0
15.271486,0,0,0,0
12.801183,0,0,0,0
13.969742,0,0,0,0
16.174281,0,0,0,0
15.990279,0,0,0,0
17.206550,0,0,0,0
15.853925,0,0,0,0
18.891947,0,0,0,0
16.663439,0,0,0,0
13.103747,0,0,0,0
13.435399,0,0,0,0
17.232375,0,0,0,0
12.888448,0,0,0,0
16.283787,0,0,0,0
16.774257,0,0,0,0
15.247134,0,0,0,0
15.842373,0,0,0,0
19.876407,0,0,0,0
13.371462,0,0,0,0
19.755350,0,0,0,0
16.106056,0,0,0,0
9.849243,0,0,0,0
9.346837,0,0,0,0
14.367603,0,0,0,0
12.405946,0,0,0,0
12.790559,0,0,0,0
12.744479,0,0,0,0
9.918940,0,0,0,0
6.899062,0,0,0,0
11.835956,0,0,0,0
13.693579,0,0,0,0
5.181312,0,0,0,0
9.817722,0,0,0,0
5.565766,0,0,0,0
4.851036,0,0,0,0
9.582935,0,0,0,0
11.011625,0,0,0,0
9.731705,0,0,0,0
8.209638,0,0,0,0
8.337320,0,0,0,0
8.174469,0,0,0,0
7.913827,0,0,0,0
4.750555,0,0,0,0
8.001732,0,0,0,0
8.894703,0,0,0,0
8.304135,0,0,0,0
6.181517,0,0,0,0
11.442062,0,0,0,0
9.035408,0,0,0,0
7.861378,0,0,0,0
8.369064,0,0,0,0
10.956616,0,0,0,0
15.300190,0,0,0,0
10.306528,0,0,0,0
10.682660,0,0,0,0
12.709342,0,0,0,0
11.590864,0,0,0,0
10.049564,0,0,0,0
13.664746,0,0,0,0
9.241107,0,0,0,0
10.570948,0,0,0,0
11.931508,0,0,0,0
11.036489,0,0,0,0
12.846847,0,0,0,0
13.617993,0,0,0,0
12.156023,0,0,0,0
11.423054,0,0,0,0
16.651535,0,0,0,0
18.593287,0,0,0,0
18.154209,0,0,0,0
18.282531,0,0,0,0
17.202454,0,0,0,0
21.245096,0,0,0,0
16.597007,0,0,0,0
16.241450,0,0,0,0
22.400215,0,0,0,0
18.595431,0,0,0,0
23.122751,0,0,0,0
25.795489,0,0,0,0
24.996439,0,0,0,0
25.217913,0,0,0,0
23.310402,0,0,0,0
22.497432,0,0,0,0
19.973177,0,0,0,0
22.314070,0,0,0,0
20.378173,0,0,0,0
24.838677,0,0,0,0
16.817201,0,0,0,0
20.713249,0,0,0,0
19.193038,0,0,0,0
20.791266,0,0,0,0
19.041356,0,0,0,0
20.536415,0,0,0,0
19.902807,0,0,0,0
17.983487,0,0,0,0
16.375211,0,0,0,0
17.544698,0,0,0,0
16.855090,0,0,0,0
17.999232,0,0,0,0
10.459906,0,0,0,0
17.700476,0,0,0,0
18.707368,0,0,0,0
11.007496,0,0,0,0
13.585353,0,0,0,0
13.222340,0,0,0,0
16.082152,0,0,0,0
21.083494,0,0,0,0
20.441022,0,0,0,0
21.450794,0,0,0,0
20.901028,0,0,0,0
23.302561,0,0,0,0
22.867580,0,0,0,0
17.824157,0,0,0,0
22.780475,0,0,0,0
14.058383,0,0,0,0
20.170427,0,0,0,0
15.686051,0,0,0,0
13.148580,0,0,0,0
17.482521,0,0,0,0
18.259971,0,0,0,0
17.765437,0,0,0,0
15.644194,0,0,0,0
17.878430,0,0,0,0
18.883595,0,0,0,0
20.079545,0,0,0,0
17.892030,0,0,0,0
20.542783,0,0,0,0
23.780967,0,0,0,0
17.788925,0,0,0,0
20.410718,0,0,0,0
20.963205,0,0,0,0
19.661140,0,0,0,0
27.446229,0,0,0,0
24.724851,0,0,0,0
30.320857,0,0,0,0
28.771269,0,0,0,0
30.547835,0,0,0,0
26.338088,0,0,0,0
24.802997,0,0,0,0
27.343380,0,0,0,0
27.790297,0,0,0,0
35.772604,0,0,0,0
26.898830,0,0,0,0
28.551331,0,0,0,0
22.740091,0,0,0,0
28.894855,0,0,0,0
26.113540,0,0,0,0
26.868302,0,0,0,0
29.015433,0,0,0,0
25.140792,0,0,0,0
29.118378,0,0,0,0
27.858330,0,0,0,0
31.912845,0,0,0,0
29.203179,0,0,0,0
24.527856,0,0,0,0
30.093942,0,0,0,0
27.320723,0,0,0,0
36.662503,0,0,0,0
23.935337,0,0,0,0
27.868890,0,0,0,0
20.303740,0,0,0,0
20.762498,0,0,0,0
24.455376,0,0,0,0
25.705344,0,0,0,0
31.229828,0,0,0,0
27.540278,0,0,0,0
23.492836,0,0,0,0
26.140261,0,0,0,0
28.949927,0,0,0,0
34.581102,0,0,0,0
40.639193,0,0,0,0
34.467180,0,0,0,0
28.294592,0,0,0,0
36.281315,0,0,0,0
33.199325,0,0,0,0
30.469466,0,0,0,0
35.144852,0,0,0,0
34.558381,0,0,0,0
26.853485,0,0,0,0
33.105884,0,0,0,0
24.483728,0,0,0,0
29.039529,0,0,0,0
26.551434,0,0,0,0
54.870058,0,0,0,0
39.207975,0,0,0,0
41.450019,0,0,0,0
43.748160,0,0,0,0
39.902672,0,0,0,0
38.648192,0,0,0,0
41.024798,0,0,0,0
40.520023,0,0,0,0
44.561705,0,0,0,0
39.208967,0,0,0,0
41.401922,0,0,0,0
36.745289,0,0,0,0
43.911234,0,0,0,0
38.412317,0,0,0,0
41.890888,0,0,0,0
36.766473,0,0,0,0
38.654176,0,0,0,0
42.146956,0,0,0,0
38.211803,0,0,0,0
40.220116,0,0,0,0
39.332137,0,0,0,0
35.005747,0,0,0,0
39.813327,0,0,0,0
38.713889,0,0,0,0
45.621558,0,0,0,0
42.800627,0,0,0,0
33.160316,0,0,0,0
42.625233,0,0,0,0
45.504694,0,0,0,0
40.126898,0,0,0,0
38.824834,0,0,0,0
36.549510,0,0,0,0
40.661337,0,0,0,0
49.836715,0,0,0,0
40.341525,0,0,0,0
38.131930,0,0,0,0
39.127590,0,0,0,0
46.021947,0,0,0,0
46.084797,0,0,0,0
44.806861,0,0,0,0
36.915563,0,0,0,0
39.391594,0,0,0,0
43.439772,0,0,0,0
39.530763,0,0,0,0
39.159943,0,0,0,0
41.067134,0,0,0,0
35.160885,0,0,0,0
42.760339,0,0,0,0
40.780506,0,0,0,0
39.273960,0,0,0,0
40.500407,0,0,0,0
33.942533,0,0,0,0
39.672685,0,0,0,0
34.050183,0,0,0,0
36.080224,0,0,0,0
40.855132,0,0,0,0
44.192581,0,0,0,0
39.330888,0,0,0,0
39.333897,0,0,0,0
47.235594,0,0,0,0
36.229569,0,0,0,0
41.559748,0,0,0,0
40.896764,0,0,0,0
40.561528,0,0,0,0
38.937027,0,0,0,0
38.702401,0,0,0,0
41.306145,0,0,0,0
42.931254,0,0,0,0
39.283143,0,0,0,0
43.492189,0,0,0,0
41.702214,0,0,0,0
36.779081,0,0,0,0
36.961163,0,0,0,0
32.639285,0,0,0,0
39.106438,0,0,0,0
24.442255,0,0,0,0
23.727559,0,0,0,0
30.814751,0,0,0,0
29.323948,0,0,0,0
29.817011,0,0,0,0
22.715290,0,0,0,0
41.284993,0,0,0,0
41.220064,1739249296,0,1307528867,-627821139
38.185979,65535,0,1099323974,1080192139
30.034357,1739249296,1696697680,-1787098501,-642389669
25.778816,65535,65535,-1062029794,1080126296
21.021093,1739249720,6674,1347412210,1707541558
