#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.069622,0.041473,0.477254,0.014240,0.014240,9.614397
9.345690,0.061760,1.058094,0.004896,0.004896,10.475624
9.591484,0.172483,1.566932,0.220067,0.220067,21.271380
9.970594,0.177890,2.307902,0.309732,0.309732,25.269513
10.173060,0.158626,3.382700,0.433798,0.433798,30.665679
10.534889,0.190658,20.301448,0.515239,0.515239,66.023066
11.509781,0.285124,27.340675,0.493831,0.493831,78.740479
12.811142,0.527911,29.815428,0.892395,0.892395,89.825327
12.945832,0.468486,31.153525,0.450118,0.450118,92.846966
12.182591,0.325988,36.148310,43.042991,43.042991,147.827521
14.892833,0.341925,34.279325,0.949644,0.949644,94.831856
15.979247,0.331397,42.401735,1.143087,1.143087,125.528575
16.195187,0.481414,38.140431,1.207568,1.207568,111.018979
16.488278,0.382085,39.059195,1.406930,1.406930,126.017381
18.587345,0.349861,43.111504,1.648406,1.648406,130.456351
19.059735,0.283396,42.611146,1.965977,1.965977,139.188657
16.052272,0.257124,30.575693,1.759415,1.759415,124.157677
20.057605,0.354948,45.826772,1.803256,1.803256,164.439065
21.872604,0.304292,45.482127,2.210205,2.210205,161.857303
13.871284,0.144482,30.646798,2.524865,2.524865,143.628234
25.008901,0.334948,57.272584,2.785636,2.785636,192.401540
24.283259,0.359301,48.694841,3.925907,3.925907,199.669411
20.679117,0.478726,45.792115,4.175702,4.175702,302.529851
18.543473,0.238340,49.988905,4.208087,4.208087,174.620766
24.474750,0.460806,61.348701,3.905171,3.905171,192.759081
24.841443,0.433125,63.067284,4.245943,4.245943,224.741512
25.093606,0.410565,60.564819,3.928403,3.928403,204.455777
23.962072,0.504998,61.868260,2.865029,2.865029,199.381055
24.475967,0.400165,64.803242,3.413741,3.413741,211.693088
25.070182,0.345476,53.638681,4.005172,4.005172,222.756431
27.237410,0.443206,64.040256,4.948289,4.948289,273.503907
14.127095,0.285668,33.157647,4.312952,4.312952,188.610419
17.534820,0.292324,40.157322,5.706250,5.706250,199.916998
13.403534,0.307588,32.122594,6.547061,6.547061,196.095925
12.640677,0.232835,29.202875,4.268055,4.268055,168.279915
19.753825,0.174402,42.433959,7.005819,7.005819,205.091689
16.753370,0.265188,43.786361,3.793234,3.793234,199.680644
18.031018,0.148418,48.179442,6.826905,6.826905,162.986150
17.748263,0.078561,47.936655,4.954112,4.954112,206.766879
17.430979,0.013536,48.621528,6.234641,6.234641,185.341161
17.296193,0.015776,44.425601,4.373977,4.373977,189.905636
16.445717,0.010721,40.984020,4.539195,4.539195,170.812588
16.579928,0.016160,43.700440,4.708861,4.708861,172.095421
17.057598,0.015136,46.294650,4.274455,4.274455,173.692785
17.301313,0.015040,47.406600,4.330552,4.330552,175.033763
17.138783,0.015200,47.678700,4.541563,4.541563,174.456860
16.509655,0.014240,41.102518,4.712062,4.712062,171.350868
16.720345,0.011393,41.264728,3.236521,3.236521,171.009710
17.123201,0.011169,41.661001,5.482035,5.482035,174.376397
16.917216,0.013792,45.563183,4.440042,4.440042,171.272754
16.958336,0.013248,45.895985,4.185959,4.185959,171.209488
16.699006,0.015168,46.503255,4.804941,4.804941,176.881447
16.639837,0.013504,41.610218,3.117822,3.117822,184.334447
19.353399,0.030016,55.943377,5.753751,5.753751,197.863663
23.538111,0.123137,55.136234,4.424586,4.424586,182.674945
25.871381,0.420228,60.543549,3.481921,3.481921,194.715602
28.210475,0.303427,60.199642,4.985615,4.985615,204.558288
26.915775,0.350499,56.591160,5.213586,5.213586,198.954012
26.949311,0.273442,61.043714,5.422612,5.422612,206.383234
21.818926,0.355684,53.782429,6.684415,6.684415,193.717163
25.186831,0.390499,63.827933,3.627458,3.627458,197.909875
26.004535,0.380803,67.114812,5.539860,5.539860,214.560530
25.230095,0.319395,62.660082,3.708483,3.708483,211.598518
22.738136,0.412580,48.009831,5.359827,5.359827,196.620937
14.822348,0.319651,37.075520,6.619455,6.619455,189.227106
14.694700,0.358819,37.570788,3.678723,3.678723,189.621223
14.435497,0.402308,37.833223,6.674239,6.674239,198.799038
19.806524,0.538437,58.740494,3.672099,3.672099,202.833221
20.082655,0.457732,56.092084,5.416979,5.416979,205.221404
20.058686,0.524773,58.973008,4.837902,4.837902,238.357366
18.810002,0.588134,55.032138,5.529173,5.529173,204.670264
18.753778,0.707526,46.789949,3.880773,3.880773,190.647635
17.281252,0.523813,54.735208,4.162407,4.162407,210.608848
13.408575,0.599846,40.180990,5.121328,5.121328,190.488337
10.589220,0.454597,31.885295,3.664867,3.664867,172.605096
13.102556,0.478949,45.697330,5.697367,5.697367,214.281013
12.291189,0.444324,38.664048,4.058150,4.058150,187.393333
15.564532,0.566853,45.846996,4.079655,4.079655,210.355697
12.247637,0.630502,32.087761,4.419306,4.419306,185.550437
16.284283,0.483141,41.178791,5.664725,5.664725,211.563868
13.837283,0.619430,37.477349,4.524139,4.524139,199.668939
12.767898,0.505700,37.044641,5.187441,5.187441,202.461063
9.545371,0.430372,28.628336,3.918085,3.918085,198.388832
9.259832,0.395779,26.656254,3.846213,3.846213,198.294399
10.294658,0.480613,28.901491,3.696963,3.696963,202.888331
9.897375,0.475652,26.669342,3.819749,3.819749,227.922267
7.791210,0.377540,20.102239,3.492450,3.492450,193.370290
11.281387,0.347844,29.522169,5.263282,5.263282,202.307303
15.931127,0.453125,44.891339,3.630275,3.630275,231.234746
13.584130,0.442116,35.527314,6.463582,6.463582,239.746157
16.962850,0.395459,41.073928,3.901222,3.901222,227.669978
17.292325,0.466181,48.198859,5.210417,5.210417,241.226523
12.230421,0.440868,32.435413,3.751652,3.751652,212.435850
8.186830,0.291011,21.554029,6.141499,6.141499,202.917615
16.640511,0.576197,51.450091,7.251109,7.251109,244.731966
16.972226,0.514501,49.106484,5.980409,5.980409,273.041037
14.369001,0.468261,35.478706,6.511295,6.511295,215.099877
9.752797,0.354115,26.378332,5.457108,5.457108,206.597811
17.279429,0.509060,49.436312,4.260297,4.260297,245.713481
8.857877,0.504997,22.603576,4.400971,4.400971,198.258790
17.612264,0.561925,52.057457,5.634869,5.634869,239.996979
17.470887,0.759367,52.752216,4.552012,4.552012,237.303067
17.608745,0.648326,52.251763,6.114810,6.114810,236.950552
10.642181,0.415044,30.552164,3.652035,3.652035,226.300786
10.499876,0.535173,29.036021,5.391604,5.391604,196.442997
10.481828,0.459236,28.964725,9.233369,9.233369,200.490205
10.494853,0.434468,29.140694,4.673932,4.673932,196.981788
10.933449,0.505252,32.276437,4.694156,4.694156,189.353203
18.865204,0.430308,56.646078,6.325117,6.325117,240.918528
18.827092,0.630631,55.969303,4.817294,4.817294,238.659340
19.740253,0.655558,53.840643,5.455988,5.455988,229.185713
19.734749,0.652358,54.360072,6.596223,6.596223,245.666767
11.797233,0.474340,32.687801,4.494667,4.494667,193.754111
13.673283,0.597766,53.093564,5.774103,5.774103,689.955823
13.227518,1.297549,57.714697,6.011737,6.011737,228.905008
12.187285,0.639526,35.078512,6.437694,6.437694,193.221212
17.036195,0.857672,51.345165,6.524511,6.524511,220.967654
14.110856,0.682886,41.362477,8.441841,8.441841,214.370823
16.132250,1.144363,51.961970,9.573308,9.573308,230.698755
14.960240,1.032970,49.947679,10.765479,10.765479,244.349960
14.795758,1.339693,53.141790,9.418683,9.418683,237.498183
14.445898,1.202508,52.463671,9.927968,9.927968,226.303548
14.637165,0.888328,50.854248,11.516782,11.516782,227.356230
11.927123,0.850568,39.844798,12.082868,12.082868,219.599164
10.086081,0.802536,32.171157,11.768977,11.768977,195.663991
