#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403638127295097088.000000,0.000000,0.000000,20.916692,2.658279,0.004352,11.387848,2.812329,0.002721,28.672518
1403638127345096960.000000,0.000000,0.000000,19.565152,2.818218,0.085601,2.350531,2.592294,0.432071,26.462725
1403638127395097088.000000,0.000000,0.000000,21.858689,5.493713,0.084705,2.948139,3.300561,0.001024,31.427982
1403638127445096960.000000,0.000000,0.000000,21.699840,5.189644,0.096162,1.775962,3.147567,0.577480,30.987048
1403638127495097088.000000,0.000000,0.000000,19.717570,6.138843,0.114050,2.725704,3.846520,0.000960,29.959704
1403638127545096960.000000,0.000000,0.000000,19.210331,6.465471,0.122945,2.597446,3.737207,0.001344,30.203868
1403638127595097088.000000,0.000000,0.000000,19.327420,6.301789,0.121825,2.348035,3.608885,0.000864,30.008153
1403638127645096960.000000,0.000000,0.000000,21.714848,4.413729,0.121346,2.363074,3.926906,0.001120,30.699332
1403638127695097088.000000,0.000000,0.000000,19.097753,6.420799,0.125857,2.940203,3.227088,0.564968,29.695797
1403638127745096960.000000,0.000000,0.000000,20.160296,6.413151,0.128226,4.058684,3.602517,0.000768,31.220043
1403638127795097088.000000,0.000000,0.000000,18.767476,6.049593,0.139107,3.429811,4.060571,0.001280,29.443281
1403638127845096960.000000,0.000000,0.000000,21.736639,6.400958,0.124770,2.355586,3.861209,0.726603,32.669057
1403638127895097088.000000,0.000000,0.000000,19.338908,6.378622,0.125217,4.186558,4.544258,0.001248,30.404991
1403638127945096960.000000,0.000000,0.000000,18.606609,6.235963,0.125314,2.921195,4.871784,0.984367,29.270223
1403638127995097088.000000,0.000000,0.000000,18.797524,6.602241,0.122850,3.298417,8.600158,0.001344,29.803062
1403638128045096960.000000,0.000000,0.000000,19.992678,5.399888,0.137890,4.396993,7.847411,0.975342,30.169820
1403638128095097088.000000,0.000000,0.000000,19.265788,6.464319,0.123234,5.836278,10.177782,0.001280,30.242973
1403638128145096960.000000,0.000000,0.000000,21.472860,6.768772,0.126274,5.970903,7.223627,0.000800,32.546015
1403638128195097088.000000,0.000000,0.000000,22.797775,6.356222,0.125602,7.377997,7.971829,0.000992,33.455948
1403638128245096960.000000,0.000000,0.000000,18.483696,6.210395,0.122274,6.681475,8.395643,0.646697,29.149613
1403638128295097088.000000,0.000000,0.000000,20.215529,6.404575,0.119073,4.122973,9.712431,0.000896,31.014184
1403638128345096960.000000,0.000000,0.000000,20.121896,6.517152,0.128705,4.968906,11.793037,0.001024,30.952231
1403638128395097088.000000,0.000000,0.000000,20.541518,6.350526,0.128194,3.915513,9.694735,0.612905,31.117481
1403638128445096960.000000,0.000000,0.000000,18.924215,6.672994,0.126434,4.112541,14.105199,0.001248,29.832919
1403638128495097088.000000,0.000000,0.000000,20.073959,6.233020,0.124257,5.190348,11.866574,0.610569,30.739588
1403638128545096960.000000,0.000000,0.000000,19.938757,6.155419,0.129538,0.209475,22.310600,0.187811,30.552737
1403638128595097088.000000,0.000000,0.000000,18.666131,6.306204,0.125890,0.157666,17.111356,0.740458,29.133933
1403638128645096960.000000,0.000000,0.000000,20.065159,6.645634,0.126978,0.216355,20.848211,0.909998,30.881638
1403638128695097088.000000,0.000000,0.000000,20.969908,6.226940,0.129090,0.259171,23.187733,0.232836,31.564304
1403638128745096960.000000,0.000000,0.000000,21.121782,6.483296,0.122401,0.163554,18.984471,0.191203,31.925653
1403638128795097088.000000,0.000000,0.000000,18.998967,6.574497,0.145890,0.110690,12.940030,0.626250,29.893783
1403638128845096960.000000,0.000000,0.000000,22.251495,6.340733,0.133474,0.207395,21.219768,0.630761,32.994693
1403638128895097088.000000,0.000000,0.000000,19.611584,6.442591,0.136610,0.182659,18.541584,0.218435,31.381389
1403638128945096960.000000,0.000000,0.000000,20.679569,6.271324,0.135170,0.124962,17.549058,0.173122,46.036933
1403638129145096960.000000,0.000000,0.000000,22.299144,6.430879,0.416422,0.162466,21.195096,0.827052,3.249680
1403638129195097088.000000,0.000000,0.000000,19.299644,7.328268,0.138498,0.242244,21.596253,0.328613,3.409010
1403638129395097088.000000,0.000000,0.000000,20.057127,9.712431,0.345573,0.144578,15.198976,0.131553,3.447827
1403638129445096960.000000,0.000000,0.000000,21.043382,11.824558,0.144610,0.158850,15.822793,0.580073,39.076735
1403638129495097088.000000,0.000000,0.000000,18.380398,11.728269,0.132258,0.084002,16.783158,0.137218,37.306853
1403638129545096960.000000,0.000000,0.000000,18.011177,11.310662,0.100417,0.143938,15.212352,0.205091,3.253360
1403638129595097088.000000,0.000000,0.000000,19.038584,10.538715,0.106050,0.127010,14.378739,0.505543,3.337425
1403638129645096960.000000,0.000000,0.000000,21.912867,10.799647,0.098498,0.182243,16.921816,0.152482,3.499444
1403638129695097088.000000,0.000000,0.000000,18.807381,5.188364,0.139938,0.140866,16.127309,0.144034,40.195055
1403638129745096960.000000,0.000000,0.000000,20.197641,10.610109,0.135266,0.188899,21.932290,0.149506,44.247370
1403638129945096960.000000,0.000000,0.000000,20.881395,11.303078,0.356902,0.138914,16.897976,0.118338,40.943675
1403638129995097088.000000,0.000000,0.000000,19.550047,10.770783,0.141506,0.126658,16.428785,0.109825,39.610087
1403638130195097088.000000,0.000000,0.000000,20.552942,13.082465,0.349285,0.140130,17.797638,0.115425,40.821784
1403638130245096960.000000,0.000000,0.000000,22.101989,13.139874,0.092929,0.152898,16.987354,0.560840,44.078760
1403638130445096960.000000,0.000000,0.000000,20.179401,15.413571,0.386374,0.178371,17.912871,0.209667,35.923216
1403638130495097088.000000,0.000000,0.000000,18.005737,12.916094,0.137282,0.138562,15.809097,0.115426,42.683347
1403638130545096960.000000,0.000000,0.000000,19.803043,10.179478,0.123618,0.178786,15.792201,0.580393,3.394098
1403638130595097088.000000,0.000000,0.000000,20.675760,11.849070,0.131810,0.195459,17.412768,0.230083,3.532820
1403638130795097088.000000,0.000000,0.000000,21.413883,13.715338,0.386789,0.141730,14.524470,0.114818,3.380946
1403638130845096960.000000,0.000000,0.000000,23.843774,12.039089,0.130626,0.194691,15.259072,0.575016,43.783908
1403638131045096960.000000,0.000000,0.000000,22.532683,15.137470,0.414566,0.208067,18.031434,0.232579,43.699074
1403638131095097088.000000,0.000000,0.000000,25.967934,12.788444,0.159587,0.164995,17.051930,0.163747,3.332369
1403638131295097088.000000,0.000000,0.000000,21.701631,14.634391,0.412806,0.174178,15.574917,0.541160,3.460915
1403638131345096960.000000,0.000000,0.000000,21.223960,12.068657,0.103266,0.204387,19.309404,0.254756,3.418578
1403638131495097088.000000,0.000000,0.000000,21.045621,9.950259,0.356901,0.146882,16.060556,0.136226,47.106101
1403638131545096960.000000,0.000000,0.000000,20.609423,10.799359,0.158402,0.167811,15.825832,0.546184,51.798554
1403638131745096960.000000,0.000000,0.000000,19.198267,13.348324,0.406150,0.192291,16.614164,0.155874,3.305232
1403638131795097088.000000,0.000000,0.000000,20.385388,7.624304,0.182083,0.137474,16.036588,0.145634,3.544916
1403638131845096960.000000,0.000000,0.000000,20.173033,6.847012,0.184771,0.155234,14.906203,0.575016,3.216303
1403638131895097088.000000,0.000000,0.000000,19.555264,8.991652,0.153122,0.181731,16.326768,0.135106,53.523444
1403638132095097088.000000,0.000000,0.000000,23.325847,11.368903,0.358758,0.165890,21.646687,0.681578,51.608407
1403638132145096960.000000,0.000000,0.000000,19.083737,6.849381,0.186723,0.067521,11.067683,0.094945,47.262071
1403638132195097088.000000,0.000000,0.000000,19.738178,9.471787,0.176739,0.141154,11.206469,0.156707,52.061054
1403638132395097088.000000,0.000000,0.000000,19.060856,12.450647,0.381830,0.060897,9.981682,0.069761,3.233423
1403638132445096960.000000,0.000000,0.000000,18.431439,8.500893,0.179779,0.153058,17.243614,0.509160,3.262416
1403638132495097088.000000,0.000000,0.000000,19.714690,8.003702,0.152706,0.082498,16.021483,0.118017,3.116814
1403638132545096960.000000,0.000000,0.000000,18.621362,8.749697,0.172803,0.191491,23.038003,0.898605,55.597682
1403638132595097088.000000,0.000000,0.000000,20.122984,10.825759,0.170050,0.232100,21.987203,0.338789,54.174077
1403638132645096960.000000,0.000000,0.000000,21.792064,8.589470,0.149378,0.219363,26.647528,0.168003,3.307664
1403638132695097088.000000,0.000000,0.000000,18.940919,9.153030,0.155555,0.185666,23.596315,0.157698,3.372018
1403638132745096960.000000,0.000000,0.000000,22.080900,7.379852,0.160962,0.224771,26.905003,0.909358,3.686774
1403638132795097088.000000,0.000000,0.000000,22.652557,7.468526,0.163874,0.255971,25.524472,0.336965,59.580652
1403638132995097088.000000,0.000000,0.000000,22.893264,15.438339,0.460903,0.211332,26.143072,0.177570,57.555823
1403638133045096960.000000,0.000000,0.000000,22.388169,10.546395,0.178467,0.172706,23.372664,0.152770,3.424402
1403638133095097088.000000,0.000000,0.000000,22.994034,10.171829,0.169123,0.160323,17.300670,0.538600,3.285936
1403638133145096960.000000,0.000000,0.000000,23.906495,10.510363,0.178978,0.177858,20.625807,0.316484,3.648054
1403638133195097088.000000,0.000000,0.000000,22.423401,8.209465,0.169635,0.178114,17.681860,0.160194,59.844816
1403638133245096960.000000,0.000000,0.000000,20.697584,6.574177,0.133730,0.153538,17.924904,0.169442,55.518352
1403638133295097088.000000,0.000000,0.000000,18.992407,7.117513,0.152802,0.187427,16.649589,0.121857,3.513011
1403638133345096960.000000,0.000000,0.000000,20.865555,8.902019,0.168675,0.160163,18.607697,0.117730,3.452307
1403638133395097088.000000,0.000000,0.000000,20.113799,8.172248,0.144802,0.158850,17.243038,0.121570,58.698751
1403638133445096960.000000,0.000000,0.000000,20.068455,8.972612,0.139074,0.155874,17.164957,0.116258,53.841752
1403638133495097088.000000,0.000000,0.000000,18.931542,8.047287,0.160514,0.178594,25.160722,0.836492,3.245904
1403638133545096960.000000,0.000000,0.000000,19.837380,7.313483,0.150978,0.207971,20.665167,0.298372,2.908682
1403638133595097088.000000,0.000000,0.000000,19.916645,6.902726,0.155522,0.130850,16.848632,0.158083,3.211087
1403638133645096960.000000,0.000000,0.000000,19.996966,6.931622,0.154083,0.151778,16.991770,0.167011,59.479723
1403638133695097088.000000,0.000000,0.000000,19.946310,6.829700,0.161282,0.142306,17.238718,0.114562,56.580544
1403638133745096960.000000,0.000000,0.000000,18.907254,6.891430,0.152515,0.203299,25.209106,0.729707,50.271107
1403638133795097088.000000,0.000000,0.000000,18.741075,7.006599,0.160354,0.206627,19.665569,0.258500,46.360810
1403638133845096960.000000,0.000000,0.000000,17.728997,7.503310,0.081569,0.206051,24.293669,0.159074,3.568052
1403638133895097088.000000,0.000000,0.000000,20.273994,8.460221,0.081281,0.161698,22.456906,0.153442,2.553061
1403638133945096960.000000,0.000000,0.000000,18.506000,6.865541,0.179523,0.170402,20.026343,0.681674,3.277872
1403638133995097088.000000,0.000000,0.000000,18.489648,6.692418,0.091041,0.192514,21.435004,0.292548,62.089937
1403638134195097088.000000,0.000000,0.000000,19.588896,7.031464,0.317189,0.132098,18.775412,0.168707,49.873053
1403638134245096960.000000,0.000000,0.000000,20.281450,5.212205,0.121857,0.143522,15.537092,0.135586,51.109807
1403638134295097088.000000,0.000000,0.000000,19.461631,5.245485,0.117922,0.148259,17.472736,0.584521,3.061454
1403638134345096960.000000,0.000000,0.000000,22.493803,5.329038,0.118818,0.203971,21.355673,0.296996,3.115502
1403638134395097088.000000,0.000000,0.000000,20.864019,8.382235,0.165442,0.153794,18.149259,0.162786,3.138958
1403638134445096960.000000,0.000000,0.000000,22.512523,8.290298,0.080353,0.237251,25.511895,0.837997,58.808097
1403638134645096960.000000,0.000000,0.000000,22.918737,14.380564,0.343653,0.098818,23.269718,0.161635,54.335903
1403638134695097088.000000,0.000000,0.000000,24.253861,10.999394,0.175522,0.141922,18.888502,0.166595,47.631325
1403638134895097088.000000,0.000000,0.000000,24.785677,14.678808,0.501511,0.125826,15.150463,0.144962,48.335527
1403638134945096960.000000,0.000000,0.000000,22.686030,10.662685,0.218244,0.130114,14.735225,0.479175,52.367106
1403638135145096960.000000,0.000000,0.000000,24.076674,13.869356,0.457446,0.155683,15.850793,0.160707,50.367556
1403638135195097088.000000,0.000000,0.000000,22.656525,9.578413,0.205059,0.106818,15.054205,0.137282,47.427418
