#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.618571,0.214818,2.317714,0.015584,0.015584,12.179039
11.993118,0.291458,6.172464,0.004992,0.004992,18.466224
13.466954,0.593605,8.425730,0.491620,0.491620,74.162533
14.246063,0.608741,15.209175,1.166409,1.166409,82.498374
10.851445,0.307139,19.212022,1.186794,1.186794,92.025042
15.739708,0.530596,23.039957,2.209458,2.209458,124.753012
16.995142,0.497572,27.862810,3.021944,3.021944,124.476914
17.534633,0.439684,30.332686,3.130361,3.130361,137.466488
13.468842,0.426371,31.009876,3.009751,3.009751,131.340392
14.894965,0.369187,33.442662,112.246547,112.246547,244.664131
16.150815,0.334530,23.629402,4.300322,4.300322,107.050474
20.727395,0.495844,44.733824,4.693829,4.693829,143.887469
21.200839,0.577892,47.793433,5.332042,5.332042,154.397441
22.087374,0.665989,49.658471,5.797390,5.797390,160.813363
22.722163,0.510148,52.535583,6.431347,6.431347,170.929125
23.388376,0.665414,56.180603,7.426266,7.426266,339.849019
25.352265,0.579044,59.310517,7.977503,7.977503,202.686082
17.140744,0.424003,51.800762,8.869574,8.869574,188.768341
18.755381,0.355938,49.062213,9.837102,9.837102,187.189577
20.713700,0.383523,48.875235,10.282097,10.282097,194.147680
25.860333,0.484068,60.799297,9.980175,9.980175,218.014239
26.081486,0.510660,64.289886,12.232128,12.232128,237.920892
24.658211,0.518468,57.000644,11.101496,11.101496,225.793341
25.128999,0.582821,59.717817,11.567900,11.567900,237.076024
24.717220,0.561477,56.310047,12.565092,12.565092,258.142464
16.586403,0.501892,42.816916,13.098152,13.098152,209.610431
25.919406,0.581285,67.148372,12.778405,12.778405,271.499276
12.766629,0.327907,34.363057,12.930983,12.930983,194.430920
16.025663,0.565700,41.477258,12.918151,12.918151,202.585065
13.261097,0.479876,37.319752,13.668940,13.668940,205.016060
20.547203,0.682054,53.664106,10.732245,10.732245,216.922077
16.142400,0.901543,49.293544,12.276129,12.276129,214.839756
15.701405,0.750534,53.299881,10.487604,10.487604,217.316515
21.902735,0.674725,57.655243,12.272065,12.272065,235.595604
21.368234,0.660453,59.987358,12.181697,12.181697,261.295235
20.424355,0.757766,50.580339,11.836063,11.836063,226.562031
19.648220,0.689926,55.494842,11.834175,11.834175,230.940818
11.713726,0.509380,43.940959,11.814686,11.814686,207.043541
18.981687,0.591845,48.279233,11.477115,11.477115,217.821162
19.685598,0.592836,53.878062,9.769358,9.769358,221.922860
19.894111,0.579333,53.250666,11.245113,11.245113,230.202800
15.205114,0.513924,50.808342,11.108409,11.108409,220.668868
19.800542,0.597125,55.635164,10.465107,10.465107,232.912005
20.274594,0.592773,44.948680,10.778774,10.778774,213.335723
19.937408,0.690469,52.725990,10.688246,10.688246,224.001025
13.071241,0.625029,37.987152,11.037592,11.037592,196.046209
13.826734,0.621157,35.334939,10.878743,10.878743,200.507077
12.017441,0.563268,32.163138,9.374539,9.374539,182.036659
19.799903,0.583397,55.061913,13.680942,13.680942,231.286206
11.555261,0.631877,27.318171,11.008409,11.008409,438.405242
10.152690,0.617317,26.962680,9.515116,9.515116,197.661554
9.787086,0.664358,27.476092,10.431380,10.431380,199.617217
10.406419,0.693222,27.740863,9.526956,9.526956,200.354663
10.433876,0.749446,27.819615,10.652053,10.652053,193.987860
16.823111,0.836007,46.524790,8.542212,8.542212,224.227721
16.724806,0.939368,51.523742,11.199258,11.199258,246.286746
15.460412,1.006248,43.122938,10.234802,10.234802,223.000223
8.025185,0.852934,23.075546,14.901976,14.901976,194.355387
8.183522,0.725349,22.791128,11.875135,11.875135,182.834878
9.136617,0.862087,28.387748,9.791150,9.791150,199.803686
7.584765,0.843463,22.447733,8.502468,8.502468,189.091825
4.559076,0.826375,11.465756,10.015792,10.015792,165.715892
3.726686,0.597797,9.043081,9.905808,9.905808,153.127569
13.033577,0.907047,39.254716,5.737230,5.737230,218.615648
14.209554,1.093737,41.097643,9.776174,9.776174,224.376113
14.751447,1.252234,37.461454,10.223826,10.223826,222.501538
14.307956,1.048008,37.563632,6.683318,6.683318,219.325003
14.743991,0.829511,39.801281,4.925768,4.925768,219.462028
15.138746,0.784295,40.989387,4.788998,4.788998,221.419134
16.058690,0.621445,44.768042,6.947673,6.947673,226.168550
16.378181,0.679301,45.901204,7.709951,7.709951,230.891629
17.230476,0.750502,42.760762,7.524189,7.524189,225.456321
17.610671,0.672421,49.525745,7.633086,7.633086,240.023897
17.412205,0.760774,49.534578,7.779935,7.779935,235.541398
17.176908,0.781126,49.195439,5.850287,5.850287,240.001659
13.744655,0.788167,45.080206,5.855279,5.855279,235.164149
17.290892,0.866023,52.017703,11.408253,11.408253,264.351845
17.610159,0.847271,52.013031,9.880913,9.880913,244.107521
18.008499,0.778822,51.688805,11.534173,11.534173,260.987788
17.911442,0.756486,53.257042,8.362948,8.362948,259.515650
13.796017,0.679909,34.522010,9.148491,9.148491,218.242835
15.104219,0.671301,37.856853,12.302276,12.302276,223.210139
19.457630,0.836263,54.966977,9.330956,9.330956,280.325135
19.422943,0.748934,53.738230,10.649495,10.649495,253.730007
19.710465,0.724101,54.637343,11.077147,11.077147,257.073716
21.581968,0.754406,60.039595,16.819146,16.819146,269.838238
22.994172,0.815079,64.799537,14.307381,14.307381,283.562703
22.632954,0.691845,71.730316,13.020971,13.020971,291.578004
22.514232,0.794086,57.683545,17.021515,17.021515,269.366109
22.731995,0.605828,53.017843,15.301149,15.301149,275.301169
11.317021,0.525668,29.223376,14.882906,14.882906,226.742435
16.227749,0.823495,47.251043,15.690017,15.690017,256.639800
20.922284,0.715174,60.210414,14.668120,14.668120,284.281437
12.954890,0.630533,31.901446,11.661024,11.661024,162.000658
22.303063,0.924104,57.507640,16.257894,16.257894,267.464086
22.174582,1.162250,64.388081,13.803602,13.803602,269.861131
22.628571,0.935751,60.248720,16.432135,16.432135,255.639927
19.271966,0.761063,50.003419,13.300718,13.300718,239.205328
24.242343,0.891528,62.562979,15.046204,15.046204,279.321948
20.899852,0.722502,56.249712,17.260367,17.260367,255.499482
25.012815,0.794662,59.452266,16.975020,16.975020,259.013848
21.373073,0.734182,59.100840,16.795371,16.795371,268.156422
19.436960,0.717126,56.811765,16.358311,16.358311,264.325414
11.963331,0.551653,40.177228,17.134542,17.134542,226.689042
19.226655,0.731462,54.458402,14.192982,14.192982,242.540725
19.601026,0.612869,52.242672,17.623282,17.623282,256.169607
18.933180,0.726758,57.592957,12.631304,12.631304,265.213746
17.575538,0.737766,57.587965,16.963116,16.963116,255.663494
18.248407,0.754118,49.143319,15.412447,15.412447,237.674192
17.961845,0.928840,55.954416,15.902371,15.902371,245.184402
17.751443,0.745095,54.490980,10.559223,10.559223,239.828743
15.192927,0.639237,52.813046,14.121077,14.121077,241.735607
18.319480,0.809735,55.831184,12.164486,12.164486,255.232746
14.045973,1.183786,52.860727,10.300917,10.300917,245.544441
15.210495,0.973896,48.966391,11.503360,11.503360,240.718995
12.178181,0.916456,41.475897,15.546146,15.546146,235.903469
18.565883,1.013768,55.271469,15.461568,15.461568,255.007116
17.939413,1.105097,57.515584,11.663490,11.663490,257.466755
16.958733,1.049929,56.279509,14.135894,14.135894,266.121899
