#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.014080,3,1,0,2059
0.005440,4,1,0,2675
0.417542,5,1,0,3109
1.048622,6,1,0,3629
1.122638,7,1,0,4229
1.673045,8,1,0,4510
2.096186,9,1,0,4747
2.326909,10,1,0,5013
2.438366,0,0,0,0
102.797473,0,0,0,0
3.287273,0,0,0,0
3.593453,0,0,0,0
3.806223,0,0,0,0
3.881872,0,0,0,0
4.190356,0,0,0,0
4.330806,0,0,0,0
5.081471,0,0,0,0
5.599142,0,0,0,0
6.013930,0,0,0,0
6.400912,0,0,0,0
6.851285,0,0,0,0
7.095192,0,0,0,0
7.682720,0,0,0,0
10.250880,0,0,0,0
7.253530,0,0,0,0
9.773210,0,0,0,0
7.386748,0,0,0,0
10.409409,0,0,0,0
9.433045,0,0,0,0
7.617727,0,0,0,0
8.566059,0,0,0,0
6.631475,0,0,0,0
8.447433,0,0,0,0
9.208434,0,0,0,0
5.739560,0,0,0,0
7.462557,0,0,0,0
6.814613,0,0,0,0
7.874114,0,0,0,0
7.199897,0,0,0,0
7.580159,0,0,0,0
4.344950,0,0,0,0
6.819445,0,0,0,0
9.911995,0,0,0,0
8.787502,0,0,0,0
8.599691,0,0,0,0
7.821954,0,0,0,0
6.513298,0,0,0,0
6.217806,0,0,0,0
10.250592,0,0,0,0
9.204659,0,0,0,0
11.475535,0,0,0,0
8.986192,0,0,0,0
9.913244,0,0,0,0
10.543459,0,0,0,0
8.670348,0,0,0,0
9.885211,0,0,0,0
7.560926,0,0,0,0
11.049482,0,0,0,0
7.848194,0,0,0,0
10.875944,0,0,0,0
6.414896,0,0,0,0
9.952508,0,0,0,0
7.043768,0,0,0,0
8.709197,0,0,0,0
8.651052,0,0,0,0
5.092159,0,0,0,0
8.202918,0,0,0,0
5.871337,0,0,0,0
6.206861,0,0,0,0
5.573350,0,0,0,0
5.950218,0,0,0,0
5.537157,0,0,0,0
5.653734,0,0,0,0
8.938224,0,0,0,0
11.794355,0,0,0,0
9.671033,0,0,0,0
12.416347,0,0,0,0
10.064318,0,0,0,0
8.556907,0,0,0,0
6.978967,0,0,0,0
9.697977,0,0,0,0
9.516215,0,0,0,0
10.611332,0,0,0,0
7.448317,0,0,0,0
6.998615,0,0,0,0
9.114898,0,0,0,0
10.004701,0,0,0,0
8.488170,0,0,0,0
7.715552,0,0,0,0
10.618180,0,0,0,0
8.155557,0,0,0,0
8.235655,0,0,0,0
7.108377,0,0,0,0
8.194662,0,0,0,0
5.170657,0,0,0,0
5.607078,0,0,0,0
3.300777,0,0,0,0
5.058655,0,0,0,0
5.437220,0,0,0,0
5.442532,0,0,0,0
5.975019,0,0,0,0
6.000491,0,0,0,0
7.551134,0,0,0,0
7.005719,0,0,0,0
7.089881,0,0,0,0
7.185337,0,0,0,0
5.591398,0,0,0,0
6.175725,0,0,0,0
5.384131,0,0,0,0
5.888297,0,0,0,0
5.970923,0,0,0,0
5.334595,0,0,0,0
5.412099,0,0,0,0
2.650785,0,0,0,0
5.751880,0,0,0,0
5.216385,0,0,0,0
5.217729,0,0,0,0
2.476351,0,0,0,0
6.763540,0,0,0,0
6.938230,0,0,0,0
7.702048,0,0,0,0
4.395927,0,0,0,0
3.738734,0,0,0,0
4.026131,0,0,0,0
6.732500,0,0,0,0
6.651987,0,0,0,0
7.357755,0,0,0,0
9.226995,0,0,0,0
7.026104,0,0,0,0
7.816930,0,0,0,0
6.230510,0,0,0,0
6.641107,0,0,0,0
9.877403,0,0,0,0
7.229370,0,0,0,0
10.171295,0,0,0,0
10.060989,0,0,0,0
7.533150,0,0,0,0
8.598443,0,0,0,0
9.077841,0,0,0,0
7.879650,0,0,0,0
9.404021,0,0,0,0
7.496734,0,0,0,0
6.019851,0,0,0,0
5.479237,0,0,0,0
7.174554,0,0,0,0
9.433654,0,0,0,0
10.752966,0,0,0,0
8.866703,0,0,0,0
10.180414,0,0,0,0
7.677631,0,0,0,0
6.597138,0,0,0,0
5.174336,0,0,0,0
4.683099,0,0,0,0
4.884573,0,0,0,0
6.007851,0,0,0,0
4.748892,0,0,0,0
5.660839,0,0,0,0
5.426052,0,0,0,0
8.920047,0,0,0,0
7.945731,0,0,0,0
9.097873,0,0,0,0
8.714957,0,0,0,0
11.869140,0,0,0,0
9.665336,0,0,0,0
0.000000,0,0,0,0
