#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1413394881605760512.000000,0.000000,0.000000,22.642992,5.316383,0.004160,13.965480,8.753257,0.003393,32.131873
1413394881655760384.000000,0.000000,0.000000,19.444937,4.862554,0.080513,8.559111,9.148206,0.940043,28.195346
1413394881705760512.000000,0.000000,0.000000,18.983300,7.469625,0.073729,9.135662,8.397893,0.001216,30.482861
1413394881755760384.000000,0.000000,0.000000,17.491345,7.908383,0.083233,9.405648,10.492990,0.001248,29.193374
1413394881805760512.000000,0.000000,0.000000,19.150822,10.818210,0.113314,5.606723,7.580027,0.732617,34.202874
1413394881855760384.000000,0.000000,0.000000,18.179514,12.534390,0.122594,10.593503,10.069145,0.001664,34.959523
1413394881905760512.000000,0.000000,0.000000,16.896778,12.568918,0.113922,5.658308,9.053004,0.001248,33.595314
1413394881955760384.000000,0.000000,0.000000,18.137305,12.555094,0.121121,6.620015,11.284168,1.096717,35.273958
1413394882005760512.000000,0.000000,0.000000,18.940322,12.423668,0.117025,8.157185,15.031285,0.001440,35.730699
1413394882055760384.000000,0.000000,0.000000,17.836533,12.245778,0.122754,5.269663,14.382189,0.888267,34.264954
1413394882105760512.000000,0.000000,0.000000,18.930531,12.712408,0.122753,11.037285,16.092833,0.001408,36.243571
1413394882155760384.000000,0.000000,0.000000,17.983608,12.853434,0.122306,6.466350,13.644708,0.000992,35.199686
1413394882205760512.000000,0.000000,0.000000,18.282715,12.567159,0.122978,6.272331,14.571887,1.015756,35.157765
1413394882255760384.000000,0.000000,0.000000,18.730400,12.711448,0.125633,7.167350,13.678628,0.001568,35.820269
1413394882305760512.000000,0.000000,0.000000,19.210790,12.717944,0.124513,4.961148,11.121125,0.000800,36.197009
1413394882355760384.000000,0.000000,0.000000,16.573639,12.747449,0.125185,6.772433,15.140758,0.846474,33.648947
1413394882405760512.000000,0.000000,0.000000,18.245211,12.924539,0.143553,6.533486,12.533975,0.001376,35.813005
1413394882455760384.000000,0.000000,0.000000,17.740212,12.393429,0.124066,3.575147,13.896711,1.119565,34.703680
1413394882505760512.000000,0.000000,0.000000,17.921239,12.289235,0.121953,6.470830,12.562455,0.002144,34.548830
1413394882555760384.000000,0.000000,0.000000,19.967471,12.666968,0.124034,3.946575,10.335228,0.001376,36.998011
1413394882605760512.000000,0.000000,0.000000,19.383464,12.757625,0.110209,3.020740,9.472786,0.001376,36.800696
1413394882655760384.000000,0.000000,0.000000,18.613343,12.707321,0.099073,3.059237,8.619815,0.001056,35.831246
1413394882705760512.000000,0.000000,0.000000,17.889687,12.315699,0.119361,3.627851,9.234607,0.001056,34.477822
1413394882755760384.000000,0.000000,0.000000,18.850050,12.618263,0.103169,3.225894,10.847107,0.737865,35.859022
1413394882805760512.000000,0.000000,0.000000,17.634580,12.625879,0.105345,5.334560,10.340540,0.001440,34.918274
1413394882855760384.000000,0.000000,0.000000,18.626431,12.948795,0.107041,4.174354,10.612608,0.000992,35.890062
1413394882905760512.000000,0.000000,0.000000,18.933059,12.626967,0.124673,3.541515,10.170842,0.001088,36.012592
1413394882955760384.000000,0.000000,0.000000,18.043032,12.930171,0.102721,2.996868,12.526295,0.001184,35.171014
