#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
7.696746,0.034817,0.396581,0.014176,0.014176,8.154097
4.934116,0.104897,0.705098,0.004928,0.004928,5.753167
4.467005,0.150722,1.086479,0.131521,0.131521,11.960101
4.523518,0.137602,1.472820,0.205763,0.205763,14.465319
4.804387,0.123681,4.884164,0.274948,0.274948,20.939713
4.937284,0.156355,6.798173,0.410566,0.410566,27.511260
5.202535,0.201603,8.967036,0.580776,0.580776,35.609163
5.632621,0.240228,9.513283,0.723402,0.723402,42.169797
5.689455,0.235075,10.615155,0.713706,0.713706,48.677088
6.102228,0.231268,11.117593,45.017645,45.017645,98.432654
6.351640,0.231875,13.419513,1.494485,1.494485,56.273417
6.719580,0.214883,14.251845,1.666775,1.666775,64.885823
6.792350,0.139298,12.140039,1.597654,1.597654,65.664458
8.736569,0.168482,19.124360,1.335443,1.335443,83.605570
8.298355,0.155906,16.028893,1.367443,1.367443,71.633149
9.704038,0.320197,21.694699,1.419539,1.419539,85.518108
10.165164,0.211811,25.759875,1.101135,1.101135,85.720478
14.129827,0.177698,33.834131,1.015950,1.015950,102.832747
12.207913,0.209603,31.133101,1.502004,1.502004,108.129109
11.116889,0.221699,24.763862,1.415667,1.415667,93.041571
16.483331,0.322469,41.774432,1.649815,1.649815,123.553001
16.936554,0.310148,39.634563,2.731110,2.731110,260.366665
15.875323,0.369925,34.137815,2.357024,2.357024,124.658872
17.067020,0.237699,36.000017,2.622532,2.622532,127.045593
16.666278,0.290180,41.559006,2.752038,2.752038,138.199892
17.497009,0.289092,42.312808,2.645093,2.645093,135.775026
17.068651,0.438406,45.125327,2.963881,2.963881,155.810854
17.381616,0.366149,48.007831,3.289549,3.289549,154.066606
13.192598,0.338693,45.754711,2.459266,2.459266,147.788471
14.843660,0.287236,37.115041,2.148894,2.148894,138.799739
16.627526,0.301092,38.775799,2.396033,2.396033,136.807776
18.163579,0.314692,38.821816,3.632562,3.632562,150.071895
14.145219,0.303204,30.691912,3.649554,3.649554,156.323917
10.677492,0.217763,25.524032,2.434882,2.434882,128.012039
16.864489,0.252163,34.657151,3.725459,3.725459,180.356825
19.324299,0.351141,37.006431,3.967863,3.967863,147.364978
20.026548,0.316325,43.698459,2.675621,2.675621,179.977460
21.743884,0.295652,49.912881,4.219771,4.219771,181.151812
21.448168,0.281956,40.975765,3.311822,3.311822,164.462750
10.739124,0.161282,24.484306,4.695072,4.695072,132.217088
11.203739,0.253603,26.047688,2.597636,2.597636,131.934557
12.860529,0.261476,26.996084,5.086182,5.086182,139.796777
12.072967,0.225155,25.724163,4.020823,4.020823,131.320116
13.404601,0.175810,27.192280,3.367534,3.367534,124.305555
13.208598,0.160291,34.307801,3.596914,3.596914,131.704634
13.684573,0.118465,37.645224,4.898884,4.898884,154.969083
8.224401,0.042497,0.556808,0.005568,0.005568,8.833402
8.295026,0.110530,0.845484,0.005184,0.005184,9.259424
8.468117,0.116578,1.198416,0.269540,0.269540,20.250296
8.664344,0.123073,1.655863,0.543528,0.543528,19.991188
8.926971,0.028992,2.000284,0.636681,0.636681,22.825179
9.075869,0.033089,2.484098,0.450630,0.450630,24.203022
9.310753,0.036384,2.710534,0.814731,0.814731,26.423149
9.637285,0.025696,3.375087,0.895948,0.895948,29.774075
9.914409,0.036960,3.720052,0.950989,0.950989,32.476768
9.834184,0.020832,4.013911,45.604629,45.604629,79.407752
10.543089,0.027809,4.599583,1.726008,1.726008,47.516080
10.801782,0.009632,5.400426,0.677290,0.677290,51.945710
11.171418,0.007264,5.730959,1.106255,1.106255,55.747169
11.467711,0.009536,6.462841,1.404211,1.404211,60.192991
7.675050,0.038241,0.464198,0.005792,0.005792,8.187185
8.125392,0.131394,1.250353,0.006432,0.006432,9.518083
8.582615,0.250339,4.525759,0.467686,0.467686,29.028401
9.156542,0.350981,8.783993,0.781515,0.781515,54.609138
9.624005,0.344133,9.464483,0.977229,0.977229,59.226290
10.234285,0.331781,15.092592,1.244305,1.244305,66.841403
10.999064,0.424230,19.978484,1.659191,1.659191,81.696968
11.862500,0.387909,22.190130,1.434772,1.434772,91.607985
12.396299,0.403174,26.235274,1.378419,1.378419,96.486100
13.446138,0.398118,30.444388,92.654208,92.654208,208.808036
13.884480,0.271620,31.788695,1.310866,1.310866,98.781237
8.643639,0.201507,17.540658,1.436820,1.436820,70.160713
10.884182,0.333925,27.979362,1.671895,1.671895,104.806887
15.875099,0.393573,37.395685,1.766073,1.766073,126.200623
16.890538,0.343204,38.220016,1.990203,1.990203,131.857309
17.436497,0.356773,41.303610,2.150910,2.150910,148.461123
11.175034,0.253955,26.686065,2.152158,2.152158,129.509532
16.229760,0.319525,33.965653,2.275103,2.275103,134.853190
16.778536,0.348197,35.220102,2.917992,2.917992,143.303675
13.325144,0.307973,30.701224,3.045226,3.045226,147.247922
12.048582,0.392390,35.962288,3.278413,3.278413,180.842753
18.056185,0.565224,45.587446,4.057528,4.057528,187.436541
16.470788,0.412389,37.452582,4.445757,4.445757,163.512018
11.325116,0.308100,35.887344,4.370109,4.370109,161.395093
11.093882,0.329860,34.600478,4.398588,4.398588,164.350142
16.178239,0.440582,41.580383,3.938518,3.938518,401.224838
11.108345,0.422950,29.319221,4.466237,4.466237,146.009696
10.785301,0.408133,34.823201,3.742324,3.742324,166.004085
12.648111,0.583720,24.375120,4.417053,4.417053,141.232575
10.276974,0.368101,27.105622,3.407023,3.407023,138.835805
12.539694,0.433414,31.431378,3.659315,3.659315,152.729630
8.664856,0.327237,22.697497,4.840643,4.840643,142.657075
9.606884,0.343589,23.717768,4.827362,4.827362,144.264584
7.698378,0.271972,19.258058,3.881846,3.881846,134.732645
9.229791,0.301381,24.015211,6.020980,6.020980,149.899991
7.912014,0.275459,17.824343,3.808564,3.808564,137.697454
8.696760,0.308836,23.566950,6.261942,6.261942,149.528369
8.193777,0.321700,21.969456,3.868470,3.868470,139.163618
8.933755,0.331397,24.505650,4.696385,4.696385,150.932293
8.081072,0.315780,22.495639,3.097802,3.097802,143.443389
9.067837,0.322597,25.395902,4.369725,4.369725,157.143163
7.918189,0.311557,21.069379,3.167948,3.167948,166.962306
6.612155,0.272484,16.261504,3.161100,3.161100,141.273567
6.847870,0.290276,18.142395,4.566239,4.566239,148.409058
6.779134,0.306468,16.502756,3.174539,3.174539,168.900445
9.361025,0.424198,26.199786,6.292119,6.292119,170.713686
13.078997,0.461894,34.910402,5.469323,5.469323,196.062132
11.228219,0.328261,27.950178,5.275561,5.275561,174.318440
14.439495,0.401414,36.927326,5.852113,5.852113,194.801635
10.105035,0.330629,27.502204,4.385340,4.385340,193.737844
11.496350,0.294980,27.935490,4.327900,4.327900,194.170138
9.096414,0.295908,23.311426,6.291703,6.291703,188.545037
