#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.014560,3,1,0,253
0.005024,4,1,0,336
0.136386,5,1,0,442
0.204578,6,1,0,597
0.280452,7,1,0,805
0.400325,8,1,0,1001
0.562248,9,1,0,1192
0.723241,10,1,0,1379
0.812747,0,0,0,0
41.098244,0,0,0,0
1.260304,0,0,0,0
1.484402,0,0,0,0
1.703798,0,0,0,0
1.591188,0,0,0,0
1.699734,0,0,0,0
1.689877,0,0,0,0
1.008365,0,0,0,0
1.173839,0,0,0,0
1.301104,0,0,0,0
1.397233,0,0,0,0
1.666549,0,0,0,0
3.054566,0,0,0,0
2.438879,0,0,0,0
2.666786,0,0,0,0
2.476607,0,0,0,0
2.807331,0,0,0,0
2.398334,0,0,0,0
2.911044,0,0,0,0
2.512607,0,0,0,0
1.865719,0,0,0,0
3.016006,0,0,0,0
2.281948,0,0,0,0
3.522860,0,0,0,0
3.099815,0,0,0,0
2.291708,0,0,0,0
3.653006,0,0,0,0
3.670542,0,0,0,0
2.860004,0,0,0,0
4.055571,0,0,0,0
4.123764,0,0,0,0
3.487627,0,0,0,0
4.482457,0,0,0,0
4.069683,0,0,0,0
2.524864,0,0,0,0
4.022226,3,1,0,422
3.495660,4,1,0,520
0.005312,5,1,0,622
0.005024,6,1,0,737
0.412069,7,1,0,834
0.512038,8,1,0,945
0.561511,9,1,0,1054
0.659496,10,1,0,1153
0.751594,0,0,0,0
0.885099,0,0,0,0
0.989260,3,1,0,432
47.497556,4,1,0,557
1.192783,5,1,0,666
0.766378,6,1,0,784
0.005312,7,1,0,902
0.004640,8,1,0,1038
0.390245,9,1,0,1160
0.478214,10,1,0,1260
0.575719,0,0,0,0
0.662632,0,0,0,0
0.773866,3,1,0,565
0.745258,4,1,0,881
0.992844,5,1,0,1135
45.624829,6,1,0,1723
1.258927,7,1,0,2253
1.264176,8,1,0,2646
0.005760,9,1,0,3143
0.004448,10,1,0,3696
0.446790,0,0,0,0
0.720745,0,0,0,0
0.974572,0,0,0,0
1.239376,0,0,0,0
1.255216,0,0,0,0
1.408690,0,0,0,0
1.351441,0,0,0,0
95.208364,0,0,0,0
1.721685,0,0,0,0
1.396401,0,0,0,0
1.643124,0,0,0,0
2.199228,0,0,0,0
2.163707,0,0,0,0
2.564673,0,0,0,0
2.356413,0,0,0,0
2.785795,0,0,0,0
2.879492,0,0,0,0
3.163272,0,0,0,0
3.386923,0,0,0,0
4.642394,0,0,0,0
4.484921,0,0,0,0
4.634554,0,0,0,0
4.045523,0,0,0,0
4.604377,0,0,0,0
4.500825,0,0,0,0
4.251125,0,0,0,0
4.518776,0,0,0,0
3.358122,0,0,0,0
4.530425,0,0,0,0
3.532621,0,0,0,0
4.818685,0,0,0,0
4.911773,0,0,0,0
3.323978,0,0,0,0
5.320515,0,0,0,0
3.842128,0,0,0,0
3.492140,0,0,0,0
4.297942,0,0,0,0
3.058310,0,0,0,0
3.378986,0,0,0,0
3.309161,0,0,0,0
6.552626,0,0,0,0
5.579910,0,0,0,0
5.119552,0,0,0,0
4.994015,0,0,0,0
