#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403638127295097088.000000,0.000000,0.000000,21.998991,2.598848,0.004288,8.978799,2.145467,0.002240,29.138632
1403638127345096960.000000,0.000000,0.000000,19.615858,3.011270,0.093570,1.896632,2.608800,0.000992,26.513128
1403638127395097088.000000,0.000000,0.000000,19.553873,4.180659,0.070657,1.646453,2.023929,0.000832,27.557972
1403638127445096960.000000,0.000000,0.000000,18.185888,3.686446,0.099649,1.559059,1.908471,0.000960,25.941696
1403638127495097088.000000,0.000000,0.000000,18.913258,5.519652,0.127394,1.354928,1.835799,0.325892,29.027846
1403638127545096960.000000,0.000000,0.000000,21.081508,5.232065,0.050913,1.993720,2.067930,0.000896,30.179124
1403638127595097088.000000,0.000000,0.000000,19.210477,5.196416,0.117825,1.670069,1.630996,0.000992,28.690242
1403638127645096960.000000,0.000000,0.000000,17.938461,5.530052,0.119297,1.334321,1.646292,0.000960,27.830551
1403638127695097088.000000,0.000000,0.000000,17.650329,2.387357,0.067873,1.158798,1.668629,0.000864,23.885735
1403638127745096960.000000,0.000000,0.000000,19.584593,5.321026,0.125826,1.250223,1.663604,0.458213,29.056295
1403638127795097088.000000,0.000000,0.000000,18.557541,4.946365,0.124770,2.223228,2.097594,0.000992,27.963577
1403638127845096960.000000,0.000000,0.000000,18.808616,5.463651,0.121346,1.660244,2.184091,0.000928,28.663362
1403638127895097088.000000,0.000000,0.000000,19.844661,2.257244,0.061025,1.458674,2.054457,0.000928,27.026669
1403638127945096960.000000,0.000000,0.000000,20.267706,4.991774,0.122049,1.358961,1.872919,0.000896,29.367307
1403638127995097088.000000,0.000000,0.000000,18.656967,5.478627,0.119106,1.286480,2.000025,0.413797,28.695554
1403638128045096960.000000,0.000000,0.000000,19.324462,5.501316,0.118625,2.414718,2.412798,0.000960,29.185640
1403638128095097088.000000,0.000000,0.000000,18.622950,5.144672,0.117697,1.957657,2.235515,0.000864,28.076475
1403638128145096960.000000,0.000000,0.000000,18.851913,5.524836,0.121122,1.632565,2.376669,0.000928,28.493727
1403638128195097088.000000,0.000000,0.000000,17.744059,5.045342,0.119905,1.747062,2.651840,0.001024,27.208047
1403638128245096960.000000,0.000000,0.000000,21.011427,5.354210,0.120386,1.780054,2.307837,0.479782,31.013663
1403638128295097088.000000,0.000000,0.000000,19.288078,5.236353,0.114433,2.641825,3.176999,0.001024,28.974501
1403638128345096960.000000,0.000000,0.000000,19.121868,5.195809,0.124161,2.432190,2.328028,0.000992,28.498048
1403638128395097088.000000,0.000000,0.000000,19.610034,5.221408,0.121089,2.078713,2.997221,0.000960,29.268169
1403638128445096960.000000,0.000000,0.000000,21.262599,5.972042,0.126465,1.760597,2.694306,0.001024,31.770088
1403638128495097088.000000,0.000000,0.000000,18.858216,5.182240,0.117441,1.669812,2.593920,0.539942,28.534752
1403638128545096960.000000,0.000000,0.000000,18.745127,5.056639,0.125921,3.233992,3.771087,0.000896,28.183644
1403638128595097088.000000,0.000000,0.000000,20.028695,5.336450,0.102177,2.659905,3.773454,0.000992,29.818544
1403638128645096960.000000,0.000000,0.000000,19.452368,5.439331,0.102209,2.657985,3.537932,0.001088,29.423531
1403638128695097088.000000,0.000000,0.000000,19.974614,5.191457,0.109282,2.373630,3.358857,0.000864,30.135892
1403638128745096960.000000,0.000000,0.000000,20.096344,5.588421,0.100321,2.105082,3.257000,0.520934,30.156340
1403638128795097088.000000,0.000000,0.000000,18.851529,5.303554,0.108673,3.984945,5.050270,0.000960,28.478943
1403638128845096960.000000,0.000000,0.000000,19.539569,5.195008,0.106562,3.927472,4.965469,0.001024,29.170024
1403638128895097088.000000,0.000000,0.000000,18.818312,5.193856,0.101825,3.884175,5.690823,0.001184,29.535020
1403638128945096960.000000,0.000000,0.000000,20.073144,4.924892,0.131297,4.028530,4.713114,0.001376,41.053307
1403638128995097088.000000,0.000000,0.000000,19.896277,4.286421,0.168866,3.457547,4.449655,0.473318,33.500317
1403638129045096960.000000,0.000000,0.000000,18.513765,3.822927,0.116353,2.006233,3.883728,0.001248,30.475864
1403638129095097088.000000,0.000000,0.000000,17.437559,3.423594,0.126850,3.839343,4.825692,0.001056,28.810435
1403638129145096960.000000,0.000000,0.000000,16.597549,3.092390,0.113986,3.431915,4.687930,0.001216,27.941945
1403638129195097088.000000,0.000000,0.000000,20.339195,3.355242,0.127618,2.788034,4.315541,0.000960,32.511057
1403638129245096960.000000,0.000000,0.000000,19.097771,3.223496,0.115457,2.373118,4.353813,0.479174,30.011795
1403638129295097088.000000,0.000000,0.000000,19.507697,3.594860,0.113281,3.740238,5.440899,0.000992,30.125428
1403638129345096960.000000,0.000000,0.000000,18.643686,4.382038,0.113730,3.521035,4.677306,0.000992,29.842032
1403638129395097088.000000,0.000000,0.000000,16.860400,4.203220,0.117314,3.349066,4.594808,0.001152,28.475423
1403638129445096960.000000,0.000000,0.000000,15.811555,4.462135,0.125377,2.900004,4.641625,0.001280,28.999942
1403638129495097088.000000,0.000000,0.000000,15.855075,4.488951,0.113921,1.400273,4.564601,0.297571,28.410399
1403638129545096960.000000,0.000000,0.000000,17.503672,4.284341,0.115426,0.082785,8.262278,0.080865,29.311722
1403638129595097088.000000,0.000000,0.000000,16.571725,3.859344,0.120578,0.070945,9.120944,0.072320,27.864504
