#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
7.797067,0.017440,0.201315,0.014944,0.014944,8.041966
7.722345,0.039585,0.458022,0.005472,0.005472,8.230000
7.904108,0.127394,1.484980,0.005696,0.005696,9.527234
6.045235,0.390981,3.026922,0.004448,0.004448,9.471234
5.778447,0.637193,4.645663,0.557960,0.557960,31.321101
5.542124,0.384389,6.082676,0.694122,0.694122,36.073774
5.656237,0.319301,6.924575,1.043662,1.043662,41.102834
5.781519,0.339044,8.506293,1.148944,1.148944,47.481961
6.001458,0.305700,9.686500,1.500757,1.500757,57.617044
6.061299,0.336645,10.575281,1.329554,1.329554,62.178803
6.159316,0.343077,11.706368,1.163152,1.163152,68.016802
6.093012,0.278147,12.514891,66.247946,66.247946,131.364773
7.915756,0.137954,1.597878,0.005536,0.005536,9.660996
9.269470,0.584872,5.742703,0.005728,0.005728,15.606773
9.964905,0.790634,9.585508,0.909101,0.909101,59.630416
9.430081,0.736682,11.187801,0.791051,0.791051,72.857765
8.883801,0.708458,12.778447,1.246513,1.246513,67.246807
8.280081,0.751819,12.913488,1.604917,1.604917,74.035157
7.368229,0.567624,11.145752,1.608022,1.608022,70.156544
6.916446,0.621801,11.078583,1.756056,1.756056,74.819231
5.831152,0.528167,9.352192,2.175166,2.175166,72.470272
5.939634,0.530215,10.233004,84.210176,84.210176,143.361897
6.112468,0.420709,11.324283,1.001454,1.001454,84.306049
6.008402,0.500423,12.514571,2.034523,2.034523,74.163959
6.354167,0.365605,13.394679,1.483252,1.483252,76.727353
6.630810,0.335717,13.792509,1.504372,1.504372,80.600878
6.728060,0.408773,14.868236,2.400609,2.400609,89.140355
6.797213,0.303652,15.144815,1.918331,1.918331,86.710338
6.695036,0.375941,15.937338,2.052988,2.052988,91.612165
6.136084,0.342405,16.635811,2.636484,2.636484,87.813713
6.066835,0.304676,16.087036,2.375488,2.375488,95.459769
6.930367,0.401125,17.699058,2.186942,2.186942,101.550509
6.932927,0.438822,17.617169,2.500802,2.500802,103.984047
6.853149,0.366117,17.281581,3.395278,3.395278,106.843925
4.536894,0.246404,9.786213,2.598276,2.598276,75.933519
6.920670,0.369573,16.060956,3.002793,3.002793,89.718827
6.326839,0.280740,16.324991,2.882984,2.882984,89.171908
7.042528,0.304580,17.846900,2.797990,2.797990,92.532209
6.649787,0.273668,15.978523,2.674021,2.674021,99.673684
7.470375,0.377957,19.421929,3.507504,3.507504,108.590158
7.531015,0.352293,20.632058,3.195500,3.195500,164.296903
7.958669,0.320580,20.660059,3.614322,3.614322,106.193421
7.967725,0.358885,19.848527,3.570737,3.570737,108.717551
7.791371,0.232835,19.760686,3.158572,3.158572,105.826824
8.144431,0.326340,19.357065,2.485154,2.485154,105.711877
8.079598,0.359493,19.226631,3.277325,3.277325,108.386506
5.655117,0.233956,12.473418,2.730277,2.730277,84.298113
7.914092,0.344645,16.181277,2.674501,2.674501,92.633427
7.787786,0.356453,16.863463,3.176428,3.176428,98.188895
6.704764,0.297924,14.677513,2.714821,2.714821,91.087422
8.000365,0.308901,16.392704,3.340366,3.340366,99.482097
7.012800,0.255075,15.322610,3.219468,3.219468,93.534783
7.220035,0.255587,15.963451,2.812998,2.812998,96.953614
6.134772,0.232771,12.935121,3.481200,3.481200,91.242336
8.014382,0.289924,18.333466,3.382830,3.382830,131.515079
7.922444,0.284420,16.635588,3.373998,3.373998,94.279401
6.295478,0.223971,13.306646,2.778758,2.778758,89.566569
7.891628,0.289700,18.914467,2.899751,2.899751,126.227870
8.369971,0.269059,19.621581,4.543806,4.543806,114.569055
7.741034,0.346564,18.898595,3.087914,3.087914,133.319359
7.572104,0.290500,18.135960,3.601169,3.601169,132.520117
7.123105,0.236131,17.756979,3.429391,3.429391,127.067946
7.212483,0.323844,17.194379,2.972553,2.972553,112.465442
7.183330,0.350565,16.755173,3.578929,3.578929,129.819952
6.759772,0.294788,15.618262,2.606851,2.606851,108.221960
4.998212,0.217795,10.972406,2.649668,2.649668,89.824812
6.576154,0.317541,16.145021,2.217534,2.217534,134.937654
6.837790,0.263683,17.996918,2.912648,2.912648,108.330026
7.055841,0.354757,18.654783,4.574686,4.574686,133.921864
7.184515,0.377573,17.852500,3.678579,3.678579,106.832534
7.383717,0.432421,19.256616,4.101944,4.101944,126.565187
10.695826,0.379109,29.422867,5.423306,5.423306,125.968155
8.783896,0.492199,24.589744,3.462319,3.462319,125.593622
12.003716,0.895468,33.837487,4.377756,4.377756,141.303277
11.828386,0.877932,33.238663,2.562243,2.562243,137.455769
9.008507,0.622249,24.031944,3.548048,3.548048,128.926915
12.565612,0.878444,37.125532,4.118713,4.118713,152.534983
10.454383,0.934477,31.930197,3.423663,3.423663,134.312877
9.361440,0.510567,24.911829,4.515038,4.515038,130.686716
12.200199,0.728490,32.708447,4.800930,4.800930,147.016731
12.571724,0.662570,34.181491,5.126694,5.126694,158.189780
12.967153,0.645801,35.908236,6.597467,6.597467,152.173698
11.134521,0.381381,26.551275,7.479558,7.479558,135.747009
13.547961,0.707722,38.225355,6.760476,6.760476,157.625964
12.391434,0.669321,37.722788,8.265553,8.265553,162.571472
11.833538,0.706634,38.587408,6.198069,6.198069,161.967144
6.788125,0.379845,19.779791,5.932465,5.932465,135.680096
8.533012,0.432198,24.993654,6.251925,6.251925,134.694322
9.034523,0.506183,27.360663,4.170073,4.170073,139.875673
8.831577,0.599560,27.612089,3.479055,3.479055,142.378555
7.658440,0.562920,24.178859,3.155883,3.155883,141.837012
8.591797,0.516455,24.507375,3.544561,3.544561,526.631716
8.868857,0.735946,23.138013,3.745747,3.745747,139.445523
9.631524,0.722058,31.583056,4.238842,4.238842,175.173052
9.941704,0.838412,33.915983,4.543838,4.543838,172.573817
8.481364,0.820875,28.166338,5.437195,5.437195,162.173387
9.842247,0.647849,31.731730,3.656690,3.656690,174.073165
10.755667,0.687721,38.196555,6.105748,6.105748,191.302425
9.994217,0.677321,28.238498,5.327049,5.327049,157.072581
7.764554,0.392165,21.463878,5.601804,5.601804,144.204405
10.400686,0.688489,36.462995,6.100372,6.100372,190.263211
8.898938,0.548680,25.195512,5.348457,5.348457,155.201612
10.878389,0.703337,40.188006,10.448559,10.448559,192.629483
8.702743,0.658377,37.404192,9.885735,9.885735,191.604765
