#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.015040,3,1,0,869
0.005792,4,1,0,993
0.005696,5,1,0,1132
0.004864,6,1,0,1311
0.552583,7,1,0,1507
0.769737,8,1,0,1630
0.922635,9,1,0,1769
0.949356,10,1,0,1940
1.463954,0,0,0,0
1.722101,0,0,0,0
1.697749,0,0,0,0
40.541397,0,0,0,0
1.927224,0,0,0,0
2.368253,0,0,0,0
1.710005,0,0,0,0
1.861527,3,1,0,1379
1.998649,4,1,0,1679
2.173211,5,1,0,2066
2.371966,6,1,0,2406
0.005280,7,1,0,2816
0.005440,8,1,0,3114
0.644040,6,3,0,3267
1.254159,6,4,0,3395
1.183246,3,1,0,1720
1.444978,4,1,0,1924
1.820278,5,1,0,2260
1.500947,6,1,0,2588
1.728021,7,1,0,2802
98.791463,8,1,0,3004
0.005376,9,1,0,3312
0.004448,10,1,0,3749
1.115374,0,0,0,0
1.258224,0,0,0,0
1.736789,0,0,0,0
1.626324,0,0,0,0
1.592276,0,0,0,0
1.519314,0,0,0,0
1.722549,0,0,0,0
80.070879,0,0,0,0
1.894296,0,0,0,0
2.460287,0,0,0,0
2.744098,0,0,0,0
2.714178,0,0,0,0
3.227592,0,0,0,0
3.147623,0,0,0,0
3.768303,0,0,0,0
3.720239,0,0,0,0
4.161523,0,0,0,0
4.422486,0,0,0,0
4.785371,0,0,0,0
5.773063,0,0,0,0
4.437463,0,0,0,0
4.219892,0,0,0,0
2.732194,0,0,0,0
2.622913,0,0,0,0
3.620396,0,0,0,0
4.069683,0,0,0,0
5.665958,0,0,0,0
4.346646,0,0,0,0
4.241013,0,0,0,0
4.578777,0,0,0,0
7.206841,0,0,0,0
6.797236,0,0,0,0
5.008222,0,0,0,0
7.372283,0,0,0,0
6.651315,0,0,0,0
7.885761,0,0,0,0
8.094020,0,0,0,0
6.070892,0,0,0,0
10.320448,0,0,0,0
8.027235,0,0,0,0
9.634135,0,0,0,0
7.895778,0,0,0,0
7.043320,0,0,0,0
7.243546,0,0,0,0
4.801628,0,0,0,0
6.681267,0,0,0,0
6.295950,0,0,0,0
6.152652,0,0,0,0
2.893508,0,0,0,0
4.511672,0,0,0,0
4.665018,0,0,0,0
5.400067,0,0,0,0
4.394839,0,0,0,0
4.839068,0,0,0,0
5.623846,0,0,0,0
5.636038,0,0,0,0
6.972150,0,0,0,0
7.929250,0,0,0,0
6.854005,0,0,0,0
7.233274,0,0,0,0
10.614563,0,0,0,0
13.724618,0,0,0,0
13.083682,0,0,0,0
