#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403715886584058112.000000,0.000000,0.000000,22.545613,2.273108,0.004416,8.752912,3.184765,0.002720,31.291292
1403715886634057984.000000,0.000000,0.000000,19.609458,3.611681,0.073889,2.252181,2.657656,0.001216,27.335800
1403715886684058112.000000,0.000000,0.000000,19.684019,2.069747,0.059809,0.905192,1.352461,0.000576,25.934123
1403715886734057984.000000,0.000000,0.000000,18.788939,3.616961,0.099585,1.693199,2.470871,0.001056,26.592209
1403715886784058112.000000,0.000000,0.000000,21.487875,4.254566,0.120065,1.308748,2.382934,0.605862,30.111153
1403715886834057984.000000,0.000000,0.000000,21.864743,4.364871,0.117185,3.013276,3.493760,0.001248,30.472308
1403715886884058112.000000,0.000000,0.000000,20.207031,3.190685,0.118529,2.538360,3.833027,0.001248,27.751709
1403715886934057984.000000,0.000000,0.000000,19.847060,4.414632,0.118465,2.308021,4.133798,0.001120,28.808805
1403715886984058112.000000,0.000000,0.000000,21.083551,4.370920,0.119713,2.323958,3.600385,0.000992,31.071386
1403715887034057984.000000,0.000000,0.000000,21.780294,4.268551,0.118913,2.217044,3.594273,0.549477,30.423316
1403715887084058112.000000,0.000000,0.000000,19.071437,4.243975,0.124449,3.966372,3.358527,0.001152,27.478970
1403715887134057984.000000,0.000000,0.000000,18.983373,4.237414,0.122753,2.812858,3.347807,0.001152,27.699803
1403715887184058112.000000,0.000000,0.000000,22.168393,4.272903,0.116865,2.413110,3.456864,0.001152,30.537173
1403715887234057984.000000,0.000000,0.000000,18.985772,4.331048,0.122145,2.317525,3.107005,0.001216,27.707676
1403715887284058112.000000,0.000000,0.000000,18.772810,4.265831,0.118401,2.236277,3.253694,0.673318,27.177623
1403715887334057984.000000,0.000000,0.000000,20.329497,4.419976,0.117121,3.790979,3.708642,0.000896,29.105225
1403715887384058112.000000,0.000000,0.000000,20.666427,4.201543,0.116353,2.985979,3.852867,0.001024,30.425813
1403715887434057984.000000,0.000000,0.000000,19.284687,4.305352,0.116417,2.851482,4.073669,0.001056,27.819837
1403715887484058112.000000,0.000000,0.000000,21.689317,4.004452,0.117217,2.385398,3.809859,0.001056,29.818799
1403715887534057984.000000,0.000000,0.000000,19.263407,1.965970,0.061313,2.599736,4.020165,0.779495,25.093316
1403715887584058112.000000,0.000000,0.000000,20.277016,4.292903,0.115937,5.002285,5.762069,0.000992,28.846406
1403715887634057984.000000,0.000000,0.000000,20.677628,4.425448,0.119361,3.932516,6.328474,0.001184,29.917456
1403715887684058112.000000,0.000000,0.000000,20.183480,4.267303,0.120097,3.621953,6.104824,0.001088,28.726501
1403715887734057984.000000,0.000000,0.000000,21.152448,1.955090,0.060576,3.242141,6.140697,0.001056,26.783540
1403715887784058112.000000,0.000000,0.000000,21.305762,4.377960,0.121857,2.990459,6.539356,0.493445,30.023985
1403715887834057984.000000,0.000000,0.000000,23.313748,4.343368,0.120481,4.947885,6.344122,0.001120,32.485320
1403715887884058112.000000,0.000000,0.000000,20.053686,4.204967,0.123329,3.759907,7.339683,0.001024,28.592644
1403715887934057984.000000,0.000000,0.000000,21.276065,4.421097,0.122625,3.754595,6.685565,0.001216,30.171090
1403715887984058112.000000,0.000000,0.000000,20.335897,4.124230,0.119810,2.991291,6.279706,0.001472,29.178474
1403715888034057984.000000,0.000000,0.000000,21.248801,4.269831,0.115585,2.838010,6.192057,0.586694,29.850448
1403715888084058112.000000,0.000000,0.000000,22.672910,4.154694,0.121282,4.911405,8.201867,0.000960,31.213212
1403715888134057984.000000,0.000000,0.000000,22.975504,4.440840,0.122466,3.202142,7.227266,0.000992,31.886434
1403715888184058112.000000,0.000000,0.000000,19.785012,4.486568,0.120225,2.610488,6.324698,0.001088,28.554403
1403715888234057984.000000,0.000000,0.000000,22.284715,4.231974,0.119937,3.012892,6.364762,0.001088,30.767544
1403715888284058112.000000,0.000000,0.000000,20.271129,4.269191,0.122305,2.834426,6.234041,0.769543,28.985512
1403715888334057984.000000,0.000000,0.000000,21.269633,4.705131,0.123905,4.705995,8.350764,0.001024,30.481845
1403715888384058112.000000,0.000000,0.000000,19.958806,4.314311,0.117601,3.748930,7.568133,0.000992,28.579652
1403715888434057984.000000,0.000000,0.000000,19.924086,4.143909,0.121441,3.284734,7.078785,0.001216,28.406786
1403715888484058112.000000,0.000000,0.000000,22.273034,4.060613,0.122241,2.779418,7.457348,0.001088,31.183228
1403715888534057984.000000,0.000000,0.000000,21.141377,4.677898,0.118785,2.830202,6.936864,0.634694,30.182866
1403715888584058112.000000,0.000000,0.000000,18.701034,4.236326,0.122273,4.359176,6.847039,0.000992,27.368505
1403715888634057984.000000,0.000000,0.000000,20.789502,4.385128,0.118177,3.381951,7.358819,0.001088,29.509549
1403715888684058112.000000,0.000000,0.000000,19.869237,4.274823,0.122049,2.880858,7.694407,0.001184,28.681637
1403715888734057984.000000,0.000000,0.000000,20.467450,2.486231,0.070464,2.557144,7.534757,0.001088,27.138423
1403715888784058112.000000,0.000000,0.000000,20.302968,4.450761,0.121217,2.373398,7.509029,0.769799,29.154025
1403715888834057984.000000,0.000000,0.000000,21.685126,4.130437,0.122017,2.434006,6.863615,0.001089,29.933392
1403715888884058112.000000,0.000000,0.000000,22.427596,4.109030,0.122082,0.075521,8.689712,0.089281,31.108571
1403715888934057984.000000,0.000000,0.000000,19.973814,4.647435,0.127458,0.038048,10.197054,0.670694,29.264458
1403715888984058112.000000,0.000000,0.000000,21.336834,4.378696,0.124257,0.101184,11.024806,0.588197,30.020785
1403715889034057984.000000,0.000000,0.000000,21.492611,4.172518,0.123393,0.097441,11.028389,0.788679,29.971345
1403715889084058112.000000,0.000000,0.000000,21.378467,4.237383,0.116129,0.100065,14.505861,0.137602,30.006705
1403715889134057984.000000,0.000000,0.000000,19.638131,4.691371,0.117281,0.076256,11.831437,0.549669,28.589477
1403715889184058112.000000,0.000000,0.000000,20.278745,4.231014,0.125121,0.088033,13.755582,0.096417,28.741830
1403715889234057984.000000,0.000000,0.000000,19.733076,2.324789,0.068929,0.057697,10.201341,0.578310,25.783594
1403715889284058112.000000,0.000000,0.000000,20.952543,4.174662,0.124737,0.064897,13.047223,0.106209,29.486125
1403715889334057984.000000,0.000000,0.000000,18.792715,2.155923,0.065728,0.079585,12.706452,0.651846,24.841987
1403715889384058112.000000,0.000000,0.000000,19.412145,4.357032,0.130561,0.055456,14.690887,0.103841,28.103328
1403715889434057984.000000,0.000000,0.000000,18.752235,4.301255,0.118209,0.071073,12.735829,0.698918,27.354809
1403715889484058112.000000,0.000000,0.000000,21.535524,4.299208,0.122850,0.108065,15.094154,0.107617,30.438069
1403715889534057984.000000,0.000000,0.000000,21.919432,4.723627,0.123521,0.070688,12.941111,0.735015,30.986714
1403715889584058112.000000,0.000000,0.000000,20.124855,4.261094,0.119521,0.076769,13.115256,0.107329,28.660677
1403715889634057984.000000,0.000000,0.000000,22.445357,4.241958,0.119681,0.052481,10.914468,0.644166,30.872633
1403715889684058112.000000,0.000000,0.000000,19.517394,4.484777,0.128257,0.048673,13.574076,0.097280,28.285282
1403715889734057984.000000,0.000000,0.000000,21.020383,4.325960,0.121441,0.046177,9.955835,0.596005,29.698383
1403715889784058112.000000,0.000000,0.000000,20.645276,4.107557,0.144001,0.062817,10.662722,0.076257,29.351147
1403715889834057984.000000,0.000000,0.000000,22.214283,4.214342,0.121921,0.061376,10.783427,0.797128,30.994234
1403715889884058112.000000,0.000000,0.000000,20.968639,4.423945,0.128769,0.077313,11.062630,0.086785,29.729551
1403715889934057984.000000,0.000000,0.000000,22.204139,4.459112,0.143329,0.030688,6.204345,0.043904,30.959355
1403715889984058112.000000,0.000000,0.000000,19.337488,4.484233,0.118817,0.075713,14.434916,0.078720,28.140672
1403715890034057984.000000,0.000000,0.000000,19.029262,4.503017,0.124513,0.078913,15.448686,0.078753,28.068895
1403715890084058112.000000,0.000000,0.000000,20.055255,4.176294,0.127073,0.079969,14.833576,0.084065,28.521860
1403715890134057984.000000,0.000000,0.000000,21.252801,4.396520,0.125602,0.081280,15.793169,0.084992,30.055090
1403715890184058112.000000,0.000000,0.000000,20.743677,4.533417,0.121281,0.086785,14.801255,0.723558,29.853009
1403715890234057984.000000,0.000000,0.000000,20.130296,4.689803,0.126049,0.133601,15.786257,0.168194,29.415948
1403715890284058112.000000,0.000000,0.000000,25.006180,4.373160,0.124770,0.067552,13.054488,0.100705,34.092183
1403715890334057984.000000,0.000000,0.000000,20.148312,4.233671,0.129794,0.077153,13.406395,0.801671,28.540228
1403715890384058112.000000,0.000000,0.000000,21.916776,4.230278,0.121217,0.146626,17.110749,0.115649,30.688184
1403715890434057984.000000,0.000000,0.000000,19.398257,1.999986,0.063489,0.083297,13.625821,0.080993,25.332679
1403715890484058112.000000,0.000000,0.000000,19.606258,4.237607,0.123873,0.079808,15.967603,0.719463,28.925736
1403715890534057984.000000,0.000000,0.000000,20.714301,4.231559,0.129889,0.098273,15.157867,0.123937,29.176170
1403715890584058112.000000,0.000000,0.000000,19.834837,1.906161,0.062913,0.069633,15.780241,0.127137,25.933260
1403715890634057984.000000,0.000000,0.000000,18.958733,4.156422,0.129954,0.068640,13.337467,0.762951,27.419482
1403715890684058112.000000,0.000000,0.000000,22.062378,4.042565,0.152834,0.133954,16.224085,0.108225,30.566519
1403715890734057984.000000,0.000000,0.000000,20.062615,4.325991,0.127810,0.057953,13.478075,0.689062,28.806599
1403715890784058112.000000,0.000000,0.000000,21.695046,4.378824,0.123201,0.085249,16.288854,0.105089,30.425141
1403715890834057984.000000,0.000000,0.000000,19.319985,4.435240,0.126081,0.052768,13.013720,0.076257,28.045152
1403715890884058112.000000,0.000000,0.000000,20.210744,4.420713,0.129121,0.078976,16.048436,0.833608,28.756934
1403715890934057984.000000,0.000000,0.000000,22.491693,4.447049,0.127458,0.098369,15.786577,0.122785,31.336478
1403715890984058112.000000,0.000000,0.000000,22.217930,4.419401,0.128929,0.073440,15.217484,0.116897,30.927450
1403715891034057984.000000,0.000000,0.000000,19.242735,4.197542,0.125569,0.068641,13.705662,0.678950,27.771933
1403715891084058112.000000,0.000000,0.000000,18.915052,4.313864,0.125601,0.077089,11.402025,0.092385,27.657372
1403715891134057984.000000,0.000000,0.000000,19.868149,4.290727,0.124641,0.072864,11.939246,0.727591,28.939176
1403715891184058112.000000,0.000000,0.000000,18.193798,4.339784,0.129985,0.087777,14.760264,0.106017,26.819028
1403715891234057984.000000,0.000000,0.000000,20.748766,4.373672,0.122529,0.053601,12.936278,0.680198,29.389132
1403715891284058112.000000,0.000000,0.000000,20.235833,4.122789,0.138977,0.084321,15.390125,0.111329,28.836839
1403715891334057984.000000,0.000000,0.000000,23.297236,4.113030,0.125377,0.051777,10.749539,0.787463,31.902435
1403715891384058112.000000,0.000000,0.000000,19.243536,4.414568,0.128257,0.048097,9.884954,0.083136,28.118208
1403715891434057984.000000,0.000000,0.000000,21.161537,4.198054,0.126721,0.028544,6.765247,0.405732,29.524461
1403715891484058112.000000,0.000000,0.000000,21.290499,4.135813,0.126306,0.082881,7.110657,0.075681,29.625615
1403715891534057984.000000,0.000000,0.000000,20.588380,4.335495,0.125889,0.059904,8.529103,0.570853,29.323180
1403715891584058112.000000,0.000000,0.000000,20.490075,4.304071,0.123937,0.073409,7.315651,0.095009,29.064553
1403715891634057984.000000,0.000000,0.000000,20.926271,4.228294,0.122081,0.037537,7.497765,0.722023,29.488398
1403715891684058112.000000,0.000000,0.000000,20.599004,2.038867,0.063040,0.094561,12.900823,0.089985,26.500274
1403715891734057984.000000,0.000000,0.000000,20.051159,4.148422,0.129025,0.063041,9.878938,0.079488,28.572612
1403715891784058112.000000,0.000000,0.000000,21.158625,4.428168,0.129985,0.041696,6.932512,0.903848,29.906193
1403715891834057984.000000,0.000000,0.000000,19.686196,2.098099,0.128258,0.099681,13.699613,0.102305,26.540946
1403715891884058112.000000,0.000000,0.000000,20.417787,4.421480,0.124961,0.058496,8.671952,1.089130,29.157162
1403715891934057984.000000,0.000000,0.000000,20.543291,4.022757,0.121953,0.088193,11.146694,0.100929,29.166250
1403715891984058112.000000,0.000000,0.000000,20.118968,4.410184,0.125121,0.085345,11.808204,0.089825,29.013289
1403715892034057984.000000,0.000000,0.000000,19.468785,4.417672,0.120129,0.068320,12.877047,0.091425,28.341603
1403715892084058112.000000,0.000000,0.000000,20.181176,4.285511,0.126081,0.061985,12.355377,0.092448,28.648101
1403715892134057984.000000,0.000000,0.000000,21.992361,4.420040,0.117985,0.060865,11.286567,1.058186,32.916396
1403715892184058112.000000,0.000000,0.000000,21.787303,4.545065,0.118273,0.086977,12.568147,0.098272,30.820185
1403715892234057984.000000,0.000000,0.000000,20.017495,4.399464,0.128674,0.063200,8.142827,0.081793,29.103114
1403715892284058112.000000,0.000000,0.000000,23.287573,4.629546,0.128481,0.080161,12.729781,0.098913,32.486889
1403715892334057984.000000,0.000000,0.000000,18.991534,4.332551,0.128225,0.074464,10.681155,0.831367,27.682621
1403715892384058112.000000,0.000000,0.000000,19.232592,1.720784,0.062208,0.079841,12.596051,0.096641,24.824322
1403715892434057984.000000,0.000000,0.000000,20.301690,4.556490,0.126593,0.075809,10.839268,0.088897,29.176491
1403715892484058112.000000,0.000000,0.000000,20.837278,4.353800,0.124897,0.071520,12.936087,0.096097,29.323532
1403715892534057984.000000,0.000000,0.000000,21.107937,4.337096,0.127745,0.073696,12.232593,0.837416,29.733008
1403715892584058112.000000,0.000000,0.000000,19.990806,4.637610,0.121441,0.100832,10.668867,0.098337,28.941512
1403715892634057984.000000,0.000000,0.000000,21.157762,4.462249,0.121921,0.041408,6.430395,0.070337,31.252030
1403715892684058112.000000,0.000000,0.000000,20.593212,4.527818,0.125026,0.067392,12.455987,0.081825,29.199179
1403715892734057984.000000,0.000000,0.000000,22.043306,4.542153,0.127522,0.070785,11.327336,0.702471,32.615242
1403715892784058112.000000,0.000000,0.000000,22.235435,4.769068,0.126049,0.103745,13.367739,0.095585,31.407007
1403715892834057984.000000,0.000000,0.000000,20.988768,4.508457,0.133537,0.054464,6.695293,0.088641,30.050867
1403715892884058112.000000,0.000000,0.000000,20.675037,4.478505,0.129377,0.082945,12.462386,0.089088,29.268876
