#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.015136,3,1,0,1034
0.005248,4,1,0,933
0.497350,5,1,0,1397
0.436197,6,1,0,1894
1.008973,7,1,0,2193
0.741546,8,1,0,2553
1.091086,9,1,0,2808
0.879787,10,1,0,2796
1.715285,0,0,0,0
47.146677,0,0,0,0
1.669846,0,0,0,0
1.997753,0,0,0,0
2.344062,0,0,0,0
3.138632,0,0,0,0
2.453471,0,0,0,0
3.026342,0,0,0,0
2.627361,0,0,0,0
3.145352,0,0,0,0
3.197257,0,0,0,0
3.961650,0,0,0,0
3.920658,0,0,0,0
5.008352,0,0,0,0
5.021824,0,0,0,0
5.068032,0,0,0,0
5.055456,0,0,0,0
4.917951,0,0,0,0
3.979539,0,0,0,0
4.619707,0,0,0,0
6.151982,0,0,0,0
5.078144,0,0,0,0
5.692840,0,0,0,0
6.996985,0,0,0,0
5.866826,0,0,0,0
5.889195,0,0,0,0
6.734358,0,0,0,0
4.200597,0,0,0,0
5.352163,0,0,0,0
5.420324,0,0,0,0
5.817929,0,0,0,0
5.336452,0,0,0,0
6.477394,0,0,0,0
6.472178,0,0,0,0
6.366193,0,0,0,0
6.322576,0,0,0,0
6.426033,0,0,0,0
5.242339,0,0,0,0
6.294320,0,0,0,0
6.354352,0,0,0,0
5.354499,0,0,0,0
7.288604,0,0,0,0
5.396549,0,0,0,0
7.110458,0,0,0,0
5.150561,0,0,0,0
6.252399,0,0,0,0
7.208027,0,0,0,0
4.740092,0,0,0,0
6.176014,0,0,0,0
7.064729,0,0,0,0
5.442917,0,0,0,0
5.618471,0,0,0,0
4.874782,0,0,0,0
5.962955,0,0,0,0
6.725493,0,0,0,0
4.198869,0,0,0,0
6.406321,0,0,0,0
6.159085,0,0,0,0
6.882103,0,0,0,0
5.620968,0,0,0,0
7.618336,0,0,0,0
4.506713,0,0,0,0
4.690044,0,0,0,0
6.783797,0,0,0,0
4.744444,0,0,0,0
6.798006,0,0,0,0
4.712444,0,0,0,0
5.885610,0,0,0,0
6.496242,0,0,0,0
5.561030,0,0,0,0
6.014156,0,0,0,0
5.690376,0,0,0,0
6.112717,0,0,0,0
3.835217,0,0,0,0
3.468044,0,0,0,0
5.001055,0,0,0,0
4.965566,0,0,0,0
5.144929,0,0,0,0
3.638094,0,0,0,0
5.701449,0,0,0,0
4.346551,0,0,0,0
6.386321,0,0,0,0
4.436696,0,0,0,0
5.684840,0,0,0,0
5.640456,0,0,0,0
5.791049,0,0,0,0
5.176834,0,0,0,0
6.461938,0,0,0,0
6.681365,0,0,0,0
6.746646,0,0,0,0
7.311613,0,0,0,0
6.935640,0,0,0,0
6.585172,0,0,0,0
8.715407,0,0,0,0
8.809839,0,0,0,0
11.592594,0,0,0,0
8.948369,0,0,0,0
9.031026,0,0,0,0
9.421943,0,0,0,0
9.306005,0,0,0,0
7.516640,0,0,0,0
9.697531,0,0,0,0
10.335586,0,0,0,0
7.594944,0,0,0,0
