#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403636579763555584.000000,0.000000,0.000000,30.111836,4.397527,0.004352,15.685798,8.926865,0.003136,38.227107
1403636579813555456.000000,0.000000,0.000000,24.787738,6.760021,0.086369,5.363748,9.638938,0.001344,35.428288
1403636579863555584.000000,0.000000,0.000000,24.076368,4.820349,0.104769,4.548890,9.279509,0.001248,32.925056
1403636579913555456.000000,0.000000,0.000000,25.885383,8.743247,0.087041,3.315562,8.031910,0.830475,38.525095
1403636579963555584.000000,0.000000,0.000000,23.002530,11.009260,0.115041,6.715701,10.122848,0.001504,42.281687
1403636580013555456.000000,0.000000,0.000000,26.930005,10.656039,0.129890,4.589338,9.992031,0.001152,66.932815
1403636580113555456.000000,0.000000,0.000000,26.395086,9.168372,0.180098,2.765026,9.855069,0.757929,0.000000
1403636580163555584.000000,0.000000,0.000000,24.831226,8.613709,0.125121,1.864792,4.896766,0.001056,0.078177
1403636580213555456.000000,0.000000,0.000000,23.049540,7.909060,0.113793,2.961125,6.576819,0.001249,55.854786
1403636580313555456.000000,0.000000,0.000000,22.785312,5.325284,0.151010,3.031719,6.954007,0.001120,51.700397
1403636580413555456.000000,0.000000,0.000000,22.355131,8.123654,0.154786,3.016167,7.202459,0.001216,47.392439
1403636580463555584.000000,0.000000,0.000000,26.033961,7.297852,0.158178,3.446795,7.448894,0.802218,0.000000
1403636580513555456.000000,0.000000,0.000000,28.749675,2.494879,0.059489,5.416292,6.125838,0.000992,0.090050
1403636580563555584.000000,0.000000,0.000000,23.622731,6.393169,0.164611,3.226793,6.804534,0.000992,49.814550
1403636580613555456.000000,0.000000,0.000000,24.234451,6.840982,0.170850,3.242921,6.007468,0.000864,0.000000
1403636580663555584.000000,0.000000,0.000000,23.824781,7.883876,0.172802,3.174408,6.156110,1.294000,0.083778
1403636580713555456.000000,0.000000,0.000000,22.919713,8.468267,0.167427,7.471134,8.613036,0.001248,49.970200
1403636580763555584.000000,0.000000,0.000000,25.744550,8.346313,0.120866,4.132469,7.393405,0.000928,51.189639
1403636580863555584.000000,0.000000,0.000000,26.505231,9.458039,0.154306,3.857105,7.475263,0.000928,42.451225
1403636580913555456.000000,0.000000,0.000000,22.457532,9.847356,0.149506,5.174305,9.612730,1.376306,44.209615
1403636580963555584.000000,0.000000,0.000000,20.721382,10.923754,0.154402,8.674253,10.632775,0.001568,45.588033
1403636581013555456.000000,0.000000,0.000000,25.304480,11.355824,0.103073,5.760873,9.377846,0.001088,46.442027
1403636581063555584.000000,0.000000,0.000000,21.952501,7.953605,0.114113,6.641748,11.333903,0.001568,47.597017
1403636581113555456.000000,0.000000,0.000000,22.247993,9.988926,0.154434,5.828522,9.570681,0.991373,50.470398
1403636581213555456.000000,0.000000,0.000000,22.708063,13.802703,0.168418,8.080262,11.069324,0.001248,0.000000
1403636581263555584.000000,0.000000,0.000000,23.342855,5.870251,0.160418,7.426942,12.728257,0.001280,0.082369
1403636581313555456.000000,0.000000,0.000000,24.512021,9.887133,0.131042,7.283581,11.721492,0.001281,50.542879
1403636581413555456.000000,0.000000,0.000000,24.360308,10.282402,0.163810,5.190593,10.870922,0.850507,45.787203
1403636581463555584.000000,0.000000,0.000000,25.578084,11.036332,0.157698,7.330460,9.999935,0.001152,46.526093
1403636581513555456.000000,0.000000,0.000000,24.195218,6.460241,0.101249,6.804662,10.048831,0.001152,57.285589
1403636581613555456.000000,0.000000,0.000000,23.853517,9.974814,0.107810,5.386981,11.823221,0.001056,45.670529
1403636581663555584.000000,0.000000,0.000000,25.640612,10.405059,0.156322,4.697628,11.986551,0.700073,47.764060
1403636581713555456.000000,0.000000,0.000000,24.324243,8.596429,0.158178,5.231682,12.185178,0.001344,0.000000
1403636581763555584.000000,0.000000,0.000000,22.949858,5.187042,0.132354,3.215113,11.672179,0.001248,0.073537
1403636581813555456.000000,0.000000,0.000000,23.323911,5.789737,0.151522,2.232028,9.374230,0.001088,57.430295
1403636581913555456.000000,0.000000,0.000000,22.508348,8.435274,0.156418,2.759234,10.982123,0.732457,53.192737
1403636582013555456.000000,0.000000,0.000000,23.340295,7.755682,0.177570,0.108353,13.472171,0.083873,53.752039
1403636582113555456.000000,0.000000,0.000000,22.570173,4.840829,0.187555,0.096994,15.934217,0.112289,0.000000
1403636582163555584.000000,0.000000,0.000000,25.326912,7.335709,0.173954,0.098498,14.745466,0.092353,0.075617
1403636582213555456.000000,0.000000,0.000000,22.741632,5.390052,0.137538,0.098177,14.219892,0.084417,57.237747
1403636582313555456.000000,0.000000,0.000000,23.962383,6.636436,0.179714,0.112449,16.746996,0.105762,57.294453
