#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.181878,0.042305,0.504870,0.014880,0.014880,9.756605
9.444985,0.113282,0.886987,0.004640,0.004640,10.453894
9.641500,0.152130,1.552756,0.230179,0.230179,20.826508
9.903967,0.162562,2.401343,0.331493,0.331493,25.772491
5.502855,0.089281,1.306161,0.162626,0.162626,16.925530
5.887435,0.099970,13.110280,0.311620,0.311620,38.966612
6.085166,0.194274,9.991745,0.448326,0.448326,38.247915
12.188637,0.484806,26.475444,0.644361,0.644361,82.005630
12.644611,0.533767,31.604822,0.942988,0.942988,90.542092
13.873618,0.314628,30.211556,41.481205,41.481205,136.668380
14.503290,0.237635,36.345491,1.190928,1.190928,97.599494
13.265131,0.264035,33.068425,0.990733,0.990733,99.194267
13.123529,0.252003,27.332543,1.256528,1.256528,91.105619
14.242135,0.326884,30.750987,1.412594,1.412594,99.750914
17.295263,0.372708,38.597424,1.648117,1.648117,124.722179
17.926278,0.403173,38.748466,1.695254,1.695254,128.775031
20.327717,0.268131,41.467317,1.989946,1.989946,139.819140
13.778737,0.193027,35.362982,2.111579,2.111579,128.514612
14.286968,0.230979,32.416161,2.098267,2.098267,132.420422
13.289674,0.207395,29.080822,2.580833,2.580833,128.071853
15.941293,0.219747,41.735352,2.856389,2.856389,178.261171
24.253496,0.257795,36.982427,4.036020,4.036020,164.361856
13.566767,0.166882,31.791224,4.165846,4.165846,148.148432
13.784561,0.172643,34.719870,4.248247,4.248247,150.879123
25.194692,0.307364,48.610864,4.273399,4.273399,199.965034
22.908551,0.405669,56.932059,3.840561,3.840561,206.684416
24.118582,0.429989,54.051511,4.137461,4.137461,403.935526
15.258501,0.334340,40.195908,4.116693,4.116693,157.642634
24.194199,0.358469,60.707180,3.915922,3.915922,208.634265
24.380858,0.447589,62.983722,4.267575,4.267575,204.735527
23.118282,0.441989,57.512163,3.155976,3.155976,198.915964
24.543963,0.343397,57.474370,3.358571,3.358571,195.534768
