#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.013856,3,1,0,1870
0.003424,4,1,0,2271
0.185091,5,1,0,2683
0.631240,6,1,0,3255
1.136943,7,1,0,3842
1.808214,8,1,0,4459
2.778371,9,1,0,5015
2.681025,10,1,0,5412
3.157256,0,0,0,0
66.475716,0,0,0,0
3.469163,0,0,0,0
3.615437,0,0,0,0
3.995410,0,0,0,0
4.306711,0,0,0,0
4.638042,0,0,0,0
5.117889,0,0,0,0
5.564070,0,0,0,0
5.796169,0,0,0,0
6.141613,0,0,0,0
7.070200,0,0,0,0
6.734004,0,0,0,0
7.865859,0,0,0,0
8.442634,0,0,0,0
6.643187,0,0,0,0
7.952740,0,0,0,0
9.090962,0,0,0,0
9.885564,0,0,0,0
8.643597,0,0,0,0
7.608032,0,0,0,0
6.383568,0,0,0,0
6.151438,0,0,0,0
6.729972,0,0,0,0
6.012971,0,0,0,0
7.332156,0,0,0,0
7.591328,0,0,0,0
7.428414,0,0,0,0
8.255848,0,0,0,0
9.778875,0,0,0,0
9.436055,0,0,0,0
8.738446,0,0,0,0
9.995933,0,0,0,0
11.582929,0,0,0,0
11.561425,0,0,0,0
13.109349,0,0,0,0
11.786101,0,0,0,0
14.668281,0,0,0,0
11.667027,0,0,0,0
10.595942,0,0,0,0
12.336827,0,0,0,0
11.436368,0,0,0,0
14.514711,0,0,0,0
12.955587,0,0,0,0
16.307085,0,0,0,0
16.827796,0,0,0,0
16.942965,0,0,0,0
16.811795,0,0,0,0
15.563683,0,0,0,0
16.873748,0,0,0,0
14.683801,0,0,0,0
12.464189,0,0,0,0
12.403484,0,0,0,0
13.553227,0,0,0,0
9.024689,0,0,0,0
11.467952,0,0,0,0
7.537535,0,0,0,0
9.318870,0,0,0,0
11.200429,0,0,0,0
13.200166,0,0,0,0
9.276309,0,0,0,0
15.700581,0,0,0,0
14.728473,0,0,0,0
9.726522,0,0,0,0
8.053381,0,0,0,0
13.172390,0,0,0,0
9.780795,0,0,0,0
12.806081,0,0,0,0
