#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1413393886005760512.000000,0.000000,0.000000,19.368598,4.357879,0.003968,14.983966,7.463167,0.002816,27.035832
1413393886055760384.000000,0.000000,0.000000,17.418238,6.063373,0.082817,7.082682,6.407698,0.000768,27.318203
1413393886105760512.000000,0.000000,0.000000,19.430359,7.223036,0.073505,7.677921,5.098369,0.000864,30.512612
1413393886155760384.000000,0.000000,0.000000,17.035929,5.739433,0.084993,7.638753,6.729846,0.000864,26.639443
1413393886205760512.000000,0.000000,0.000000,19.442711,9.547834,0.093697,9.256854,5.698216,0.000928,33.145478
1413393886255760384.000000,0.000000,0.000000,17.728546,11.555795,0.122370,8.419851,7.385310,0.536455,33.736237
1413393886305760512.000000,0.000000,0.000000,18.982386,11.594676,0.118882,10.738153,7.710690,0.000800,34.902908
1413393886355760384.000000,0.000000,0.000000,19.110867,11.417169,0.120994,8.413707,7.994854,0.000832,34.992382
1413393886405760512.000000,0.000000,0.000000,18.988178,11.414577,0.125666,11.003660,7.347774,0.000800,34.713242
1413393886455760384.000000,0.000000,0.000000,18.410347,11.327952,0.121217,8.303017,6.640949,0.000832,34.122386
1413393886505760512.000000,0.000000,0.000000,18.833359,11.795767,0.124418,9.457433,6.388817,0.431110,35.005693
1413393886555760384.000000,0.000000,0.000000,17.674113,11.544499,0.119906,8.475404,6.989369,0.001120,33.601643
1413393886605760512.000000,0.000000,0.000000,23.195719,6.341393,0.096225,7.908517,7.764227,0.001152,33.837999
1413393886655760384.000000,0.000000,0.000000,17.246748,11.481938,0.125345,9.399447,7.114395,0.000832,33.172038
1413393886705760512.000000,0.000000,0.000000,18.036997,11.474546,0.119969,8.762095,8.262569,0.001216,33.867727
1413393886755760384.000000,0.000000,0.000000,18.952817,11.431090,0.125122,10.418949,7.976645,0.641192,34.927037
1413393886805760512.000000,0.000000,0.000000,17.473727,11.906711,0.114561,9.307510,6.458802,0.000992,33.866575
1413393886855760384.000000,0.000000,0.000000,20.829769,11.892695,0.121346,10.060192,7.571105,0.001376,37.059447
1413393886905760512.000000,0.000000,0.000000,19.370455,4.176725,0.051873,6.573396,6.382705,0.001024,26.981239
1413393886955760384.000000,0.000000,0.000000,20.490501,4.075028,0.051488,6.718357,6.947129,0.000896,27.539391
1413393887005760512.000000,0.000000,0.000000,41.153132,4.150197,0.049889,8.660462,7.365406,0.530823,48.099876
1413393887055760384.000000,0.000000,0.000000,23.966001,4.043539,0.050208,9.494841,6.756886,0.001056,45.985801
1413393887105760512.000000,0.000000,0.000000,27.876675,3.864689,0.048545,8.032967,7.246396,0.000960,40.543428
