#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.348313,0.108609,1.180335,0.016416,0.016416,10.667082
10.523175,0.289220,3.323211,0.004640,0.004640,14.145302
9.840798,0.314980,4.296407,0.799018,0.799018,43.864211
10.366054,0.361156,14.451226,0.953388,0.953388,57.792615
12.733635,0.412005,18.748497,1.278737,1.278737,80.481642
13.336555,0.514759,23.897139,1.058670,1.058670,92.824329
13.805073,0.551463,29.264633,1.123598,1.123598,91.275701
13.980340,0.491398,33.405933,1.915705,1.915705,113.126958
13.084457,0.556839,34.326969,1.731318,1.731318,112.720553
11.541013,0.550183,32.688836,61.818874,61.818874,181.983555
12.039514,0.430918,27.294399,1.932633,1.932633,83.023691
14.377977,0.588744,36.893050,2.015130,2.015130,97.747081
15.656425,0.399110,44.608925,2.198908,2.198908,111.110996
13.034120,0.362853,41.913178,2.434111,2.434111,119.421951
11.907993,0.358341,37.492674,2.635362,2.635362,112.182594
10.420422,0.423590,36.829945,3.159337,3.159337,105.865297
7.496672,0.308996,34.355770,3.293482,3.293482,105.855569
6.935801,0.386149,27.829542,3.338475,3.338475,96.385367
7.255069,0.398629,37.219391,7.861381,7.861381,141.770174
7.930214,4.418297,36.186865,3.995059,3.995059,140.405645
9.819902,0.290596,42.993737,4.138901,4.138901,125.328619
10.269060,0.278051,25.982798,5.420837,5.420837,117.765673
14.602780,0.389669,48.838292,5.188898,5.188898,141.372793
18.132073,0.475526,55.003555,5.500999,5.500999,160.617584
9.207094,0.366309,26.764376,5.012705,5.012705,109.087130
7.307358,0.302084,23.496526,4.918975,4.918975,117.360804
10.214084,0.405349,33.077257,4.603643,4.603643,122.274116
8.550862,0.396837,26.624887,4.634364,4.634364,175.364590
9.208214,0.423269,31.024943,4.489466,4.489466,98.772021
6.158479,0.278884,17.875813,4.215671,4.215671,91.011730
6.770199,0.274755,19.796831,4.132469,4.132469,91.126579
11.976090,0.548551,45.747500,5.342436,5.342436,142.970669
11.158576,0.601767,35.936846,5.478886,5.478886,136.487482
9.370968,0.829227,31.676503,3.796465,3.796465,129.804996
10.047841,0.860267,37.451969,3.717104,3.717104,145.064648
7.778436,0.488646,27.857574,5.981581,5.981581,131.780574
8.588782,0.482086,27.436545,4.945568,4.945568,125.718512
9.213367,0.493414,25.762219,4.616091,4.616091,125.979699
9.908832,0.545191,27.728836,6.335185,6.335185,135.689392
8.738257,0.449541,23.335244,4.616124,4.616124,114.034170
5.274596,0.375397,12.599618,2.372383,2.372383,90.543468
5.566216,0.486950,14.796606,2.660130,2.660130,97.668616
5.711626,0.403237,14.544443,2.230140,2.230140,102.844138
5.679721,0.396966,13.513645,3.287018,3.287018,106.251638
5.974733,0.421798,14.331192,3.236201,3.236201,107.827818
6.473299,0.389765,14.597372,3.079911,3.079911,109.736034
11.189872,0.602056,26.670870,2.372670,2.372670,134.147516
12.490560,0.613352,32.085533,3.674607,3.674607,149.712868
